timestamp,type,team,player,detail,line,pp_unit,source
2026-02-17T10:35:15.359000+00:00,PROMOTED,EDM,Connor McDavid,moved to line 1,1,,strctlybusines
2026-02-17T10:35:15.359000+00:00,PP_CHANGE,EDM,Connor McDavid,PP1,,1,strctlybusines
