,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
65,Trent Miner,COL,4,23.166666666667,2,2,0,1.000,0.00,0.17,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,181.00,-,COL,pp,2025-10-07,2025-11-20,2026-02-16
66,Mads Sogaard,OTT,2,2,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-,OTT,pp,2025-10-07,2025-11-20,2026-02-16
67,Colten Ellis,BUF,13,66.116666666667,8,8,0,1.000,0.00,0.68,0.31,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.28,3,3,0,1.000,0.00,0.08,1,0,86.38,-,BUF,pp,2025-10-07,2025-11-20,2026-02-16
68,Pyotr Kochetkov,CAR,9,39.166666666667,11,10,1,0.909,1.53,-0.06,0.45,1,1,0,1.000,0.00,0.20,3,2,1,0.667,1.53,-0.58,1,1,0,1.000,0.00,0.03,7,0,102.55,31.00,CAR,pp,2025-10-07,2025-11-20,2026-02-16
69,Arturs Silovs,PIT,26,119.4,29,26,3,0.897,1.51,-0.52,2.32,5,4,1,0.800,0.50,0.01,9,7,2,0.778,1.01,-0.75,8,8,0,1.000,0.00,0.21,1,2,57.03,23.00,PIT,pp,2025-10-07,2025-11-20,2026-02-16
70,Dustin Wolf,CGY,41,200.43333333333,39,38,1,0.974,0.30,2.33,3.84,11,11,0,1.000,0.00,2.21,9,8,1,0.889,0.30,0.25,7,7,0,1.000,0.00,0.18,4,5,62.36,26.00,CGY,pp,2025-10-07,2025-11-20,2026-02-16
71,Nico Daws,N.J,1,2.0666666666667,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-,NJD,pp,2025-10-07,2025-11-20,2026-02-16
72,Drew Commesso,CHI,2,12.316666666667,2,2,0,1.000,0.00,0.17,0.2,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.14,0,0,0,-,0.00,0.00,1,0,60.50,-,CHI,pp,2025-10-07,2025-11-20,2026-02-16
73,Yaroslav Askarov,S.J,35,168.2,28,24,4,0.857,1.43,-1.61,2.52,6,3,3,0.500,1.07,-1.79,10,9,1,0.900,0.36,0.39,6,6,0,1.000,0.00,0.16,6,1,58.61,21.50,SJS,pp,2025-10-07,2025-11-20,2026-02-16
74,Hunter Shepard,OTT,1,6.5166666666667,1,0,1,0.000,9.21,-0.91,0.08,0,0,0,-,0.00,0.00,1,0,1,0.000,9.21,-0.86,0,0,0,-,0.00,0.00,0,0,29.00,29.00,OTT,pp,2025-10-07,2025-11-20,2026-02-16
75,Devin Cooley,CGY,19,77.483333333333,12,11,1,0.917,0.77,0.03,1.29,4,3,1,0.750,0.77,-0.19,1,1,0,1.000,0.00,0.14,3,3,0,1.000,0.00,0.08,1,1,67.58,7.00,CGY,pp,2025-10-07,2025-11-20,2026-02-16
76,Leevi Meriläinen,OTT,20,107.25,15,13,2,0.867,1.12,-0.72,1.21,4,3,1,0.750,0.56,-0.19,3,3,0,1.000,0.00,0.42,5,4,1,0.800,0.56,-0.87,4,1,56.27,13.00,OTT,pp,2025-10-07,2025-11-20,2026-02-16
77,Jakub Dobes,MTL,27,94.15,13,12,1,0.923,0.64,0.11,0.44,0,0,0,-,0.00,0.00,4,3,1,0.750,0.64,-0.45,2,2,0,1.000,0.00,0.05,2,0,98.31,23.00,MTL,pp,2025-10-07,2025-11-20,2026-02-16
78,Jesper Wallstedt,MIN,23,99.05,11,11,0,1.000,0.00,0.94,1.36,2,2,0,1.000,0.00,0.40,5,5,0,1.000,0.00,0.69,1,1,0,1.000,0.00,0.03,1,2,54.73,-,MIN,pp,2025-10-07,2025-11-20,2026-02-16
79,Carl Lindbom,VGK,8,43.916666666667,4,4,0,1.000,0.00,0.34,0.49,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.28,0,0,0,-,0.00,0.00,2,0,91.25,-,VGK,pp,2025-10-07,2025-11-20,2026-02-16
80,Aleksei Kolosov,PHI,4,10.1,1,1,0,1.000,0.00,0.09,0.09,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.14,0,0,0,-,0.00,0.00,0,0,30.00,-,PHI,pp,2025-10-07,2025-11-20,2026-02-16
81,Arvid Soderblom,CHI,17,73.55,10,9,1,0.900,0.82,-0.14,0.95,4,3,1,0.750,0.82,-0.19,1,1,0,1.000,0.00,0.14,4,4,0,1.000,0.00,0.10,0,1,42.80,10.00,CHI,pp,2025-10-07,2025-11-20,2026-02-16
82,Jet Greaves,CBJ,37,148.78333333333,19,18,1,0.947,0.40,0.62,1.6,4,4,0,1.000,0.00,0.81,4,4,0,1.000,0.00,0.55,5,4,1,0.800,0.40,-0.87,6,0,65.95,20.00,CBJ,pp,2025-10-07,2025-11-20,2026-02-16
83,Thomas Milic,WPG,3,6,3,3,0,1.000,0.00,0.26,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,2,0,162.67,-,WPG,pp,2025-10-07,2025-11-20,2026-02-16
84,Clay Stevenson,WSH,3,16.05,2,2,0,1.000,0.00,0.17,0.54,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.14,1,1,0,1.000,0.00,0.03,0,0,34.50,-,WSH,pp,2025-10-07,2025-11-20,2026-02-16
85,Brandon Bussi,CAR,27,134.83333333333,19,18,1,0.947,0.44,0.62,1.83,4,4,0,1.000,0.00,0.81,6,5,1,0.833,0.44,-0.17,5,5,0,1.000,0.00,0.13,0,1,51.79,24.00,CAR,pp,2025-10-07,2025-11-20,2026-02-16
86,Sergei Murashov,PIT,5,17.533333333333,1,1,0,1.000,0.00,0.09,0.21,1,1,0,1.000,0.00,0.20,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,9.00,-,PIT,pp,2025-10-07,2025-11-20,2026-02-16
87,Dennis Hildeby,TOR,19,79.516666666667,11,11,0,1.000,0.00,0.94,1.05,1,1,0,1.000,0.00,0.20,4,4,0,1.000,0.00,0.55,4,4,0,1.000,0.00,0.10,2,1,61.00,-,TOR,pp,2025-10-07,2025-11-20,2026-02-16
88,Vyacheslav Buteyets,ANA,1,2,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-,ANA,pp,2025-10-07,2025-11-20,2026-02-16
89,Jacob Fowler,MTL,10,44.733333333333,5,4,1,0.800,1.34,-0.57,0.58,3,2,1,0.667,1.34,-0.40,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,3,1,49.80,13.00,MTL,pp,2025-10-07,2025-11-20,2026-02-16
90,Nikita Tolopilo,VAN,9,36.783333333333,4,4,0,1.000,0.00,0.34,0.29,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.28,1,1,0,1.000,0.00,0.03,1,0,74.00,-,VAN,pp,2025-10-07,2025-11-20,2026-02-16
