,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
65,Spencer Knight,CHI,39,2334.7833333333,1104,1002,102,0.908,2.62,12.78,121.72,324,278,46,0.858,1.18,14.81,262,226,36,0.863,0.93,-2.68,452,432,20,0.956,0.51,0.01,34,230,34.66,19.54,CHI,all,2025-10-07,2025-11-27,2026-02-16
66,Trent Miner,COL,4,236.56666666667,105,97,8,0.924,2.03,2.92,9.54,15,15,0,1.000,0.00,2.82,32,26,6,0.813,1.52,-1.93,51,49,2,0.961,0.51,0.26,2,18,39.40,26.00,COL,all,2025-10-07,2025-11-27,2026-02-16
67,Mads Sogaard,OTT,2,77.416666666667,36,30,6,0.833,4.65,-2.26,3.83,10,9,1,0.900,0.78,0.88,9,8,1,0.889,0.78,0.14,15,11,4,0.733,3.10,-3.34,3,6,38.00,36.00,OTT,all,2025-10-07,2025-11-27,2026-02-16
68,Colten Ellis,BUF,13,732.2,367,329,38,0.896,3.11,0.16,38.74,104,85,19,0.817,1.56,0.52,88,77,11,0.875,0.90,0.19,154,146,8,0.948,0.66,-1.18,9,76,35.46,18.45,BUF,all,2025-10-07,2025-11-27,2026-02-16
69,Pyotr Kochetkov,CAR,9,490.15,189,170,19,0.899,2.33,0.65,18.93,45,34,11,0.756,1.35,-2.55,66,59,7,0.894,0.86,1.39,65,64,1,0.985,0.12,1.88,15,32,37.65,17.32,CAR,all,2025-10-07,2025-11-27,2026-02-16
70,Arturs Silovs,PIT,26,1516.8166666667,702,628,74,0.895,2.93,-1.02,74.21,198,159,39,0.803,1.54,-1.84,207,186,21,0.899,0.83,5.33,264,250,14,0.947,0.55,-2.31,22,129,33.05,20.22,PIT,all,2025-10-07,2025-11-27,2026-02-16
71,Dustin Wolf,CGY,41,2298.25,1098,983,115,0.895,3.00,-0.85,113.25,306,244,62,0.797,1.62,-4.57,294,253,41,0.861,1.07,-3.61,433,421,12,0.972,0.31,7.17,28,206,34.87,18.69,CGY,all,2025-10-07,2025-11-27,2026-02-16
72,Nico Daws,N.J,1,60,31,30,1,0.968,1.00,2.22,4.45,16,16,0,1.000,0.00,3.00,5,4,1,0.800,1.00,-0.36,8,8,0,1.000,0.00,0.35,0,13,26.29,28.00,NJD,all,2025-10-07,2025-11-27,2026-02-16
73,Drew Commesso,CHI,2,120,60,55,5,0.917,2.50,1.24,6.55,16,12,4,0.750,2.00,-1.00,17,16,1,0.941,0.50,1.16,24,24,0,1.000,0.00,1.06,3,12,33.57,13.40,CHI,all,2025-10-07,2025-11-27,2026-02-16
74,Yaroslav Askarov,S.J,35,1903.5666666667,999,887,112,0.888,3.53,-8.14,113.96,279,224,55,0.803,1.73,-2.64,263,227,36,0.863,1.13,-2.55,417,396,21,0.950,0.66,-2.54,34,221,33.94,21.32,SJS,all,2025-10-07,2025-11-27,2026-02-16
75,Hunter Shepard,OTT,1,37.283333333333,12,10,2,0.833,3.22,-0.75,1.36,1,1,0,1.000,0.00,0.19,7,5,2,0.714,3.22,-1.11,4,4,0,1.000,0.00,0.18,2,2,33.00,27.50,OTT,all,2025-10-07,2025-11-27,2026-02-16
76,Devin Cooley,CGY,19,1058.8666666667,508,468,40,0.921,2.27,12.81,57.48,153,133,20,0.869,1.13,8.71,143,131,12,0.916,0.68,6.19,181,173,8,0.956,0.45,0.01,12,109,34.07,20.38,CGY,all,2025-10-07,2025-11-27,2026-02-16
77,Leevi Meriläinen,OTT,20,1094.4833333333,457,393,64,0.860,3.51,-16.49,47.85,131,101,30,0.771,1.64,-5.42,107,85,22,0.794,1.21,-8.39,194,182,12,0.938,0.66,-3.41,26,97,35.97,22.70,OTT,all,2025-10-07,2025-11-27,2026-02-16
78,Jakub Dobes,MTL,27,1562.8833333333,710,633,77,0.892,2.96,-3.18,83.79,187,151,36,0.807,1.38,-0.91,189,159,30,0.841,1.15,-5.96,296,285,11,0.963,0.42,2.11,35,170,36.56,21.69,MTL,all,2025-10-07,2025-11-27,2026-02-16
79,Artur Akhtyamov,TOR,1,10.533333333333,5,5,0,1.000,0.00,0.52,0.3,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.13,3,3,0,1.000,0.00,0.13,1,0,46.60,-,TOR,all,2025-10-07,2025-11-27,2026-02-16
80,Jesper Wallstedt,MIN,23,1389.3,725,662,63,0.913,2.72,12.38,71.91,176,144,32,0.818,1.38,1.03,208,184,24,0.885,1.04,2.45,315,308,7,0.978,0.30,6.95,19,124,34.92,20.29,MIN,all,2025-10-07,2025-11-27,2026-02-16
81,Carl Lindbom,VGK,8,480.66666666667,189,165,24,0.873,3.00,-4.35,21.03,44,30,14,0.682,1.75,-5.74,59,53,6,0.898,0.75,1.50,77,73,4,0.948,0.50,-0.59,8,43,34.00,19.63,VGK,all,2025-10-07,2025-11-27,2026-02-16
82,Aleksei Kolosov,PHI,4,120.01666666667,47,39,8,0.830,4.00,-3.11,4.56,10,8,2,0.800,1.00,-0.12,13,10,3,0.769,1.50,-1.35,21,18,3,0.857,1.50,-2.07,0,6,34.81,22.13,PHI,all,2025-10-07,2025-11-27,2026-02-16
83,Arvid Soderblom,CHI,17,987.36666666667,506,442,64,0.874,3.89,-11.39,57.97,173,136,37,0.786,2.25,-4.53,127,109,18,0.858,1.09,-1.85,186,177,9,0.952,0.55,-0.76,9,93,31.40,20.13,CHI,all,2025-10-07,2025-11-27,2026-02-16
84,Jet Greaves,CBJ,37,2198.2666666667,1063,967,96,0.910,2.62,14.52,111.18,282,240,42,0.851,1.15,10.92,270,240,30,0.889,0.82,4.34,459,436,23,0.950,0.63,-2.68,34,200,35.89,22.93,CBJ,all,2025-10-07,2025-11-27,2026-02-16
85,Thomas Milic,WPG,3,138.63333333333,62,54,8,0.871,3.46,-1.55,5.77,13,11,2,0.846,0.87,0.44,17,12,5,0.706,2.16,-2.84,28,27,1,0.964,0.43,0.24,4,12,40.65,26.75,WPG,all,2025-10-07,2025-11-27,2026-02-16
86,Clay Stevenson,WSH,3,180.11666666667,73,66,7,0.904,2.33,0.59,9.22,18,14,4,0.778,1.33,-0.62,19,19,0,1.000,0.00,2.42,34,31,3,0.912,1.00,-1.49,2,16,37.41,29.29,WSH,all,2025-10-07,2025-11-27,2026-02-16
87,Brandon Bussi,CAR,27,1638.25,630,571,59,0.906,2.16,6.50,72.34,196,168,28,0.857,1.03,8.78,181,160,21,0.884,0.77,2.02,219,209,10,0.954,0.37,-0.30,15,133,32.63,20.66,CAR,all,2025-10-07,2025-11-27,2026-02-16
88,Sergei Murashov,PIT,5,281.28333333333,116,104,12,0.897,2.56,0.06,11.64,24,21,3,0.875,0.64,1.50,26,22,4,0.846,0.85,-0.69,64,59,5,0.922,1.07,-2.17,6,12,35.19,25.08,PIT,all,2025-10-07,2025-11-27,2026-02-16
89,Dennis Hildeby,TOR,19,950.6,512,466,46,0.910,2.90,7.23,58.6,151,126,25,0.834,1.58,3.34,132,123,9,0.932,0.57,7.79,215,203,12,0.944,0.76,-2.48,15,120,32.71,21.11,TOR,all,2025-10-07,2025-11-27,2026-02-16
90,Vyacheslav Buteyets,ANA,1,20,13,10,3,0.769,9.00,-1.65,1.13,4,3,1,0.750,3.00,-0.25,3,3,0,1.000,0.00,0.38,6,4,2,0.667,6.00,-1.73,2,1,26.46,21.67,ANA,all,2025-10-07,2025-11-27,2026-02-16
91,Jacob Fowler,MTL,10,595.18333333333,262,236,26,0.901,2.62,1.24,30.78,74,60,14,0.811,1.41,-0.11,73,64,9,0.877,0.91,0.28,102,99,3,0.971,0.30,1.52,9,59,35.35,20.19,MTL,all,2025-10-07,2025-11-27,2026-02-16
92,Nikita Tolopilo,VAN,9,493.56666666667,277,252,25,0.910,3.04,3.80,31.26,76,67,9,0.882,1.09,5.26,81,69,12,0.852,1.46,-1.70,111,107,4,0.964,0.49,0.92,12,56,32.14,22.20,VAN,all,2025-10-07,2025-11-27,2026-02-16
