team,opp,moneyline,spread,handicap_spread,game_total,game_total_over,game_total_under
NYI,PHI,101,1.5,-256,6,101,-114
PHI,NYI,-112,-1.5,219,6,,
BOS,NYR,-116,-1.5,204,6.5,-112,-101
NYR,BOS,105,1.5,-237,6.5,,
UTA,TBL,136,1.5,-178,6,-118,105
TBL,UTA,-150,-1.5,156,6,,
ANA,EDM,222,1.5,-104,7,116,-130
EDM,ANA,-253,-1.5,-108,7,,
