name,team,position,salary,projected_fpts,count,pct,std_fpts,baseline_pct,lift
Pontus Holmberg,TBL,W,2600,4.959032371914875,55,2.3,4.49,6.9,0.3
Gage Goncalves,TBL,W,2700,4.031108374346132,50,2.1,4.41,6.9,0.3
Mark Kastelic,BOS,W,2500,4.673731306304012,49,2.1,4.56,6.9,0.3
Jeremy Lauzon,VGK,D,2900,4.844917844851741,47,2.0,2.73,4.5,0.4
Mikey Anderson,LAK,D,2800,4.360464827290434,46,1.9,2.92,4.5,0.4
Taylor Ward,LAK,W,2500,4.039552526831897,45,1.9,3.94,6.9,0.3
Nick Paul,TBL,W,2500,4.923031286269353,43,1.8,4.2,6.9,0.3
Declan Carlile,TBL,D,2500,3.8613940749230338,40,1.7,2.96,4.5,0.4
Keegan Kolesar,VGK,W,2600,3.684726385195057,39,1.6,4.29,6.9,0.2
Samuel Helenius,LAK,C,2500,2.5460511603597458,39,1.6,3.53,9.3,0.2
Mike Reilly,CAR,D,2500,5.90553691548456,38,1.6,3.71,4.5,0.4
Ross Johnston,ANA,W,2500,2.6500592256384845,38,1.6,4.05,6.9,0.2
Jansen Harkins,ANA,C,2700,2.6561655431514906,36,1.5,3.3,9.3,0.2
Cole Reinhardt,VGK,C,2500,2.5147678710295165,35,1.5,3.57,9.3,0.2
Jack Finley,TBL,C,2500,2.4631794852222546,35,1.5,3.86,9.3,0.2
Andre Lee,LAK,W,2500,3.4930061256638902,34,1.4,3.79,6.9,0.2
Drew Helleson,ANA,D,2500,4.625076007851843,34,1.4,3.17,4.5,0.3
Jalen Chatfield,CAR,D,2700,5.6579645813115835,33,1.4,3.96,4.5,0.3
Henri Jokiharju,BOS,D,2500,4.687599710489126,32,1.3,3.35,4.5,0.3
Jonathan Aspirot,BOS,D,2600,4.257666984762005,29,1.2,3.44,4.5,0.3
Cody Ceci,LAK,D,2500,4.143787086574689,24,1.0,2.46,4.5,0.2
Scott Sabourin,TBL,W,2500,3.4730889234304114,24,1.0,4.31,6.9,0.1
Victor Soderstrom,BOS,D,2500,4.221257844746367,23,1.0,2.39,4.5,0.2
Conor Geekie,TBL,W,2500,2.8627784625278685,23,1.0,2.44,6.9,0.1
Joel Nystrom,CAR,D,2500,4.965569094314941,22,0.9,3.16,4.5,0.2
