name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,predicted_ownership,ownership_tier,leverage_score,dk_id
Nathan MacKinnon,COL,C,10300,24.11486802983287,20.98,3.1348680298328695,2.3412493232847447,6.0287170074582175,65.28717007458218,7.677683699353902,Low (5-10%),2.7789521795578174,41766435
Connor McDavid,EDM,C,10500,21.134123673960328,18.74,2.3941236739603298,2.012773683234317,5.283530918490082,57.83530918490082,7.677683699353902,Low (5-10%),2.4354567884899825,41766433
Nikita Kucherov,TBL,W,9200,20.903638572446837,16.59,4.313638572446838,2.2721346274398737,5.225909643111709,57.259096431117094,1.7508740879730549,Contrarian (<5%),7.5989078031010155,41766799
Jack Eichel,VGK,C,9600,19.583611735661005,16.04,3.543611735661006,2.0399595557980215,4.895902933915251,53.959029339152515,7.677683699353902,Low (5-10%),2.256778699725954,41766441
Macklin Celebrini,SJS,C,9800,19.31262244847704,17.38,1.9326224484770407,1.9706757600486773,4.82815561211926,53.2815561211926,7.677683699353902,Low (5-10%),2.225550402340081,41766437
Mark Stone,VGK,W,7600,18.501156636936756,14.81,3.691156636936755,2.434362715386415,4.625289159234189,51.25289159234189,2.020239332276602,Contrarian (<5%),6.125725348722916,41766807
David Pastrnak,BOS,W,9300,18.371997782360868,15.94,2.4319977823608685,1.9754836325119212,4.592999445590217,50.92999445590217,1.7508740879730549,Contrarian (<5%),6.678603670987366,41766797
Leon Draisaitl,EDM,C,9500,17.067493284815612,14.61,2.4574932848156124,1.7965782405069064,4.266873321203903,47.66873321203903,7.319391793384055,Low (5-10%),2.0515313749724386,41766443
Tage Thompson,BUF,C,8700,16.98423286742594,14.36,2.624232867425942,1.952210674416775,4.246058216856485,47.460582168564855,6.653992539440048,Low (5-10%),2.2190030601556447,41766445
Kirill Kaprizov,MIN,W,9400,16.60902331614863,14.78,1.8290233161486302,1.7669173740583648,4.152255829037157,46.52255829037158,1.7508740879730549,Contrarian (<5%),6.0377257500675965,41766795
Jason Robertson,DAL,W,8400,16.54313812646334,15.28,1.2631381264633408,1.96942120553135,4.135784531615835,46.35784531615835,1.1380681571824858,Contrarian (<5%),7.737423183114817,41766801
