name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,predicted_ownership,ownership_tier,leverage_score,dk_id
Nathan MacKinnon,COL,C,10300,24.11486802983287,20.98,3.1348680298328695,2.3412493232847447,6.0287170074582175,65.28717007458218,7.677107394141195,Low (5-10%),2.779136748510833,41766435
Connor McDavid,EDM,C,10500,21.134123673960328,18.74,2.3941236739603298,2.012773683234317,5.283530918490082,57.83530918490082,7.677107394141195,Low (5-10%),2.4356185435978515,41766433
Nikita Kucherov,TBL,W,9200,20.903638572446837,16.59,4.313638572446838,2.2721346274398737,5.225909643111709,57.259096431117094,1.732491835099153,Contrarian (<5%),7.6500278258611205,41766799
Jack Eichel,VGK,C,9600,19.583611735661005,16.04,3.543611735661006,2.0399595557980215,4.895902933915251,53.959029339152515,7.677107394141195,Low (5-10%),2.2569285876171024,41766441
Macklin Celebrini,SJS,C,9800,19.31262244847704,17.38,1.9326224484770407,1.9706757600486773,4.82815561211926,53.2815561211926,7.677107394141195,Low (5-10%),2.2256982161494245,41766437
Mark Stone,VGK,W,7600,18.501156636936756,14.81,3.691156636936755,2.434362715386415,4.625289159234189,51.25289159234189,1.9990290404990225,Contrarian (<5%),6.169048844508108,41766807
David Pastrnak,BOS,W,9300,18.371997782360868,15.94,2.4319977823608685,1.9754836325119212,4.592999445590217,50.92999445590217,1.732491835099153,Contrarian (<5%),6.723532545045724,41766797
Leon Draisaitl,EDM,C,9500,17.067493284815612,14.61,2.4574932848156124,1.7965782405069064,4.266873321203903,47.66873321203903,7.318842382414608,Low (5-10%),2.051666866641803,41766443
Tage Thompson,BUF,C,8700,16.98423286742594,14.36,2.624232867425942,1.952210674416775,4.246058216856485,47.460582168564855,6.653493074922369,Low (5-10%),2.2191478715878,41766445
Kirill Kaprizov,MIN,W,9400,16.60902331614863,14.78,1.8290233161486302,1.7669173740583648,4.152255829037157,46.52255829037158,1.732491835099153,Contrarian (<5%),6.078343255340759,41766795
Jason Robertson,DAL,W,8400,16.54313812646334,15.28,1.2631381264633408,1.96942120553135,4.135784531615835,46.35784531615835,1.1261196928144492,Contrarian (<5%),7.780906306626779,41766801
Andrei Vasilevskiy,TBL,G,8500,16.51030650985028,13.98,2.5303065098502806,1.9423890011588565,3.302061301970056,43.02061301970056,9.918639480109613,Low (5-10%),1.512121225352935,41768071
Cutter Gauthier,ANA,W,6800,16.22059987524246,13.3,2.920599875242459,2.3853823345944796,4.055149968810615,45.55149968810615,1.4293057639568012,Contrarian (<5%),6.677051574118317,41766829
Auston Matthews,TOR,C,9700,16.213531612544976,16.24,-0.026468387455022224,1.6714981043860802,4.053382903136244,45.533829031362444,7.677107394141195,Low (5-10%),1.868541078965139,41766439
Connor Bedard,CHI,C,7800,16.121160677529918,15.07,1.0511606775299178,2.0668154714781948,4.0302901693824795,45.30290169382479,5.405963123374425,Low (5-10%),2.51658655647051,41766453
Alex DeBrincat,DET,W,6600,16.117704940269366,13.89,2.2277049402693656,2.442076506101419,4.0294262350673415,45.294262350673414,1.4293057639568012,Contrarian (<5%),6.63469587871771,41766837
Brad Marchand,FLA,W,6300,16.092482042531298,12.98,3.1124820425312976,2.554362228973222,4.0231205106328245,45.23120510632825,1.5592426515892377,Contrarian (<5%),6.287986030765075,41766849
