name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,player_type
Connor McDavid,EDM,C,10500,21.586488532548074,18.76,2.8264885325480726,2.055856050718864,5.3966221331370186,58.966221331370186,skater
Nikita Kucherov,TBL,W,9500,21.479450304867584,16.35,5.129450304867582,2.26099476893343,5.369862576216896,58.69862576216896,skater
David Pastrnak,BOS,W,9000,17.856551561146755,15.57,2.286551561146755,1.9840612845718617,4.464137890286689,49.64137890286689,skater
Leon Draisaitl,EDM,C,9300,17.24463289862512,14.41,2.83463289862512,1.854261602002701,4.31115822465628,48.111582246562804,skater
Cutter Gauthier,ANA,W,6700,16.8556687017726,13.29,3.5656687017726014,2.5157714480257614,4.21391717544315,47.1391717544315,skater
Brandon Hagel,TBL,W,7500,16.387876074783026,13.53,2.857876074783027,2.1850501433044034,4.096969018695757,45.969690186957564,skater
Bo Horvat,NYI,C,7800,16.277207800744844,13.57,2.7072078007448432,2.0868215129160057,4.069301950186211,45.69301950186211,skater
Artemi Panarin,NYR,W,8000,16.21091696957738,12.81,3.400916969577379,2.0263646211971724,4.052729242394345,45.52729242394345,skater
Jake Guentzel,TBL,C,7000,15.673544483303049,12.95,2.7235444833030495,2.239077783329007,3.918386120825762,44.183861208257625,skater
Zach Hyman,EDM,W,7600,15.290330268767766,12.9,2.390330268767766,2.011885561679969,3.8225825671919416,43.22582567191942,skater
Darren Raddysh,TBL,D,6300,15.23555226042697,12.1,3.135552260426971,2.418341628639202,3.8088880651067427,43.08888065106743,skater
Evan Bouchard,EDM,D,7400,15.040435968949488,13.26,1.7804359689494884,2.0324913471553363,3.760108992237372,42.60108992237372,skater
Mika Zibanejad,NYR,C,7100,14.81491117449433,12.15,2.66491117449433,2.0866072076752578,3.7037277936235826,42.037277936235824,skater
Dylan Guenther,UTA,W,7700,13.000344020159572,12.28,0.7203440201595726,1.6883563662544898,3.250086005039893,37.50086005039893,skater
Matthew Schaefer,NYI,D,6200,12.936593533457911,10.2,2.7365935334579117,2.0865473441061146,3.2341483833644777,37.34148383364478,skater
Travis Konecny,PHI,W,5600,12.834072604005057,10.32,2.5140726040050563,2.291798679286617,3.208518151001264,37.08518151001264,skater
Beckett Sennecke,ANA,W,5000,12.604102263695408,9.46,3.144102263695407,2.5208204527390814,3.151025565923852,36.510255659238524,skater
Morgan Geekie,BOS,C,5200,12.347091544509636,10.81,1.5370915445096358,2.3744406816364685,3.086772886127409,35.86772886127409,skater
Trevor Zegras,PHI,C,5400,12.279163557524177,10.25,2.0291635575241767,2.273919177319292,3.069790889381044,35.69790889381044,skater
Clayton Keller,UTA,W,6900,12.059441069892703,11.42,0.6394410698927029,1.7477450825931453,3.0148602674731757,35.148602674731755,skater
Owen Tippett,PHI,W,5100,12.018078545179325,9.82,2.1980785451793245,2.356485989250848,3.004519636294831,35.04519636294831,skater
J.T. Miller,NYR,C,5700,11.887401870014164,9.17,2.7174018700141644,2.085509100002485,2.971850467503541,34.71850467503541,skater
Jackson LaCombe,ANA,D,4900,11.635174958328932,9.96,1.675174958328931,2.374525501699782,2.908793739582233,34.08793739582233,skater
Mathew Barzal,NYI,C,6800,11.385095645269791,9.46,1.9250956452697903,1.6742787713632046,2.846273911317448,33.46273911317448,skater
Vincent Trocheck,NYR,C,5800,11.305252965103781,9.4,1.9052529651037808,1.9491815457075485,2.8263132412759453,33.263132412759454,skater
Viktor Arvidsson,BOS,W,4400,10.816245879620052,9.62,1.1962458796200526,2.458237699913648,2.704061469905013,32.04061469905013,skater
Mikael Granlund,ANA,C,4500,10.68883197720153,8.64,2.04883197720153,2.3752959949336736,2.6722079943003827,31.722079943003827,skater
Nick Schmaltz,UTA,C,6100,10.66627350089932,11.12,-0.45372649910067864,1.7485694263769378,2.66656837522483,31.665683752248302,skater
Anthony Cirelli,TBL,C,5300,10.577372002245141,8.7,1.8773720022451421,1.9957305664613476,2.6443430005612854,31.443430005612854,skater
Ryan Nugent-Hopkins,EDM,C,6000,10.53491510560186,9.15,1.3849151056018592,1.7558191842669766,2.633728776400465,31.33728776400465,skater
Anders Lee,NYI,W,5300,10.30714423144228,8.46,1.8471442314422788,1.944744194611751,2.57678605786057,30.7678605786057,skater
Jacob Trouba,ANA,D,5100,10.019346250927457,8.99,1.029346250927457,1.9645776962602859,2.5048365627318643,30.048365627318642,skater
Chris Kreider,ANA,W,3600,9.992851404569857,7.77,2.222851404569857,2.7757920568249603,2.498212851142464,29.98212851142464,skater
Jake Walman,EDM,D,4700,9.925837670041954,9.43,0.4958376700419542,2.111880355328075,2.4814594175104885,29.814594175104887,skater
Christian Dvorak,PHI,C,4600,9.8414291152616,8.39,1.4514291152615986,2.139441112013391,2.4603572788154,29.603572788153997,skater
Charlie McAvoy,BOS,D,5000,9.741985897238116,10.31,-0.5680141027618841,1.9483971794476234,2.435496474309529,29.35496474309529,skater
Matvei Michkov,PHI,W,3900,9.659718317424433,7.48,2.179718317424433,2.47685085062165,2.4149295793561083,29.149295793561084,skater
Jack Roslovic,EDM,C,3900,9.543965219658721,7.61,1.9339652196587211,2.447170569143262,2.3859913049146804,28.859913049146805,skater
Mikhail Sergachev,UTA,D,5700,9.50253177102262,10.64,-1.1374682289773812,1.6671108370215122,2.375632942755655,28.756329427556548,skater
Emil Heineman,NYI,W,4500,9.285621994486599,8.01,1.275621994486599,2.0634715543303552,2.3214054986216497,28.214054986216496,skater
Tony DeAngelo,NYI,D,4100,9.167996685548525,6.57,2.597996685548525,2.236096752572811,2.2919991713871313,27.919991713871312,skater
JJ Peterka,UTA,W,4300,9.023189494659828,8.24,0.7831894946598279,2.0984161615487973,2.255797373664957,27.557973736649572,skater
Darnell Nurse,EDM,D,4400,8.909006333813739,9.4,-0.4909936661862613,2.0247741667758494,2.2272515834534348,27.272515834534346,skater
Elias Lindholm,BOS,C,4700,8.907608053069596,8.9,0.00760805306959611,1.8952357559722546,2.226902013267399,27.26902013267399,skater
