name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,predicted_ownership,ownership_tier,leverage_score,dk_id
Nathan MacKinnon,COL,C,10300,24.11486802983287,20.98,3.1348680298328695,2.3412493232847447,6.0287170074582175,65.28717007458218,7.675340753818868,Low (5-10%),2.779702689974172,41766435
Connor McDavid,EDM,C,10500,21.134123673960328,18.74,2.3941236739603298,2.012773683234317,5.283530918490082,57.83530918490082,7.675340753818868,Low (5-10%),2.436114531254248,41766433
Nikita Kucherov,TBL,W,9200,20.903638572446837,16.59,4.313638572446838,2.2721346274398737,5.225909643111709,57.259096431117094,1.7289919217078882,Contrarian (<5%),7.659838933991672,41766799
Jack Eichel,VGK,C,9600,19.583611735661005,16.04,3.543611735661006,2.0399595557980215,4.895902933915251,53.959029339152515,7.675340753818868,Low (5-10%),2.2573881869758643,41766441
Macklin Celebrini,SJS,C,9800,19.31262244847704,17.38,1.9326224484770407,1.9706757600486773,4.82815561211926,53.2815561211926,7.675340753818868,Low (5-10%),2.2261514557771878,41766437
Mark Stone,VGK,W,7600,18.501156636936756,14.81,3.691156636936755,2.434362715386415,4.625289159234189,51.25289159234189,1.9949906788937173,Contrarian (<5%),6.177367017305934,41766807
David Pastrnak,BOS,W,9300,18.371997782360868,15.94,2.4319977823608685,1.9754836325119212,4.592999445590217,50.92999445590217,1.7289919217078882,Contrarian (<5%),6.732155429343703,41766797
Tage Thompson,BUF,C,8700,17.282201865100077,14.36,2.922201865100078,1.9864599844942619,4.320550466275019,48.205504662750194,6.651961986643019,Low (5-10%),2.2585321117992025,41766445
Leon Draisaitl,EDM,C,9500,17.067493284815612,14.61,2.4574932848156124,1.7965782405069064,4.266873321203903,47.66873321203903,7.317158185307322,Low (5-10%),2.052082322417072,41766443
Kirill Kaprizov,MIN,W,9400,16.60902331614863,14.78,1.8290233161486302,1.7669173740583648,4.152255829037157,46.52255829037158,1.7289919217078882,Contrarian (<5%),6.0861386888071785,41766795
Jason Robertson,DAL,W,8400,16.54313812646334,15.28,1.2631381264633408,1.96942120553135,4.135784531615835,46.35784531615835,1.1238447491101275,Contrarian (<5%),7.789240778260638,41766801
Andrei Vasilevskiy,TBL,G,8500,16.51030650985028,13.98,2.5303065098502806,1.9423890011588565,3.302061301970056,43.02061301970056,9.536810442434554,Low (5-10%),1.566916914758081,41768071
Cutter Gauthier,ANA,W,6800,16.22059987524246,13.3,2.920599875242459,2.3853823345944796,4.055149968810615,45.55149968810615,1.426418335409008,Contrarian (<5%),6.684997239978506,41766829
Auston Matthews,TOR,C,9700,16.213531612544976,16.24,-0.026468387455022224,1.6714981043860802,4.053382903136244,45.533829031362444,7.675340753818868,Low (5-10%),1.8689215873633331,41766439
Connor Bedard,CHI,C,7800,16.121160677529918,15.07,1.0511606775299178,2.0668154714781948,4.0302901693824795,45.30290169382479,5.404719114147453,Low (5-10%),2.517075361184804,41766453
Alex DeBrincat,DET,W,6600,16.117704940269366,13.89,2.2277049402693656,2.442076506101419,4.0294262350673415,45.294262350673414,1.426418335409008,Contrarian (<5%),6.642591141462213,41766837
Brad Marchand,FLA,W,6300,16.092482042531298,12.98,3.1124820425312976,2.554362228973222,4.0231205106328245,45.23120510632825,1.5560927295370997,Contrarian (<5%),6.29573483644531,41766849
Ilya Sorokin,NYI,G,7800,16.050097675911477,14.42,1.6300976759114771,2.0577048302450613,3.2100195351822958,42.100195351822954,9.536810442434554,Low (5-10%),1.5232406204512745,41768098
Cale Makar,COL,D,8300,16.03355316370111,14.23,1.8035531637011104,1.9317533932170012,4.008388290925278,45.08388290925278,4.385348697454873,Contrarian (<5%),2.9772544108942474,41767505
Jack Hughes,NJD,C,8100,15.992334385954655,13.62,2.3723343859546553,1.974362269870945,3.9980835964886636,44.98083596488664,5.404719114147453,Low (5-10%),2.496961084621028,41766449
Brandon Hagel,TBL,W,7200,15.710748063409042,13.39,2.3207480634090416,2.1820483421401446,3.9276870158522605,44.276870158522605,1.188681946174173,Contrarian (<5%),7.178177757106969,41766815
Alex Lyon,BUF,G,8000,15.698092981243134,13.06,2.6380929812431333,1.9622616226553917,3.139618596248627,41.39618596248627,9.536810442434554,Low (5-10%),1.4898334811094935,41768091
Matt Boldy,MIN,W,7700,15.566270573365536,14.43,1.136270573365536,2.021593580956563,3.891567643341384,43.915676433413836,1.1238447491101275,Contrarian (<5%),7.329288348353931,41766805
Scott Wedgewood,COL,G,8100,15.330864620750816,13.95,1.3808646207508168,1.8926993358951625,3.0661729241501634,40.66172924150163,9.536810442434554,Low (5-10%),1.4549815339762897,41768085
Kyle Connor,WPG,W,6900,15.268415470751288,13.43,1.838415470751288,2.212813836340766,3.817103867687822,43.17103867687822,1.188681946174173,Contrarian (<5%),6.976077770203457,41766823
Bo Horvat,NYI,C,7900,15.228425112715248,13.08,2.1484251127152483,1.927648748444968,3.807106278178812,43.07106278178812,4.143617987513048,Contrarian (<5%),2.9606446570652554,41766451
Cole Caufield,MTL,W,6700,15.180458335985886,12.83,2.350458335985886,2.265740050147147,3.7951145839964715,42.95114583996472,1.188681946174173,Contrarian (<5%),6.93589050822181,41766831
Zach Hyman,EDM,W,7500,15.150063291116842,13.12,2.030063291116843,2.020008438815579,3.7875158227792105,42.875158227792106,1.4048059363876593,Contrarian (<5%),6.299910966568166,41766809
Seth Jarvis,CAR,C,6700,15.042513287256558,12.96,2.082513287256557,2.245151236903964,3.7606283218141394,42.60628321814139,1.188681946174173,Contrarian (<5%),6.872863968906467,41766833
