name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,predicted_ownership,ownership_tier,leverage_score,dk_id
Nikita Kucherov,TBL,W,9100,14.636819351161465,16.62,-1.9831806488385357,1.6084416869408205,3.6592048377903663,41.592048377903666,11.770122922441589,Moderate (10-15%),1.1461768567191657,41798135
Jack Eichel,VGK,C,9300,13.990094344032215,15.85,-1.8599056559677845,1.50431121978841,3.497523586008054,39.97523586008054,50.631933030589884,Chalk (20%+),0.2709581749678757,41798059
David Pastrnak,BOS,W,9400,13.74919485200105,15.65,-1.90080514799895,1.462680303404367,3.4372987130002626,39.37298713000263,11.770122922441589,Moderate (10-15%),1.0766689510747691,41798133
Mark Stone,VGK,W,7400,13.458412060380567,14.2,-0.741587939619432,1.8187043324838603,3.364603015095142,38.64603015095142,4.155080947331714,Contrarian (<5%),2.6107081921471442,41798137
Andrei Vasilevskiy,TBL,G,8300,13.090216874050805,14.12,-1.0297831259491943,1.577134563138651,3.2725542185127012,36.180433748101606,29.55992443853636,Chalk (20%+),0.4283458521102858,41798373
Cutter Gauthier,ANA,W,6800,12.998424309311716,13.17,-0.17157569068828415,1.9115329866634876,3.249606077327929,37.49606077327929,5.045455436045653,Low (5-10%),2.150114982538688,41798141
Brandon Hagel,TBL,W,7100,12.676310310975406,13.17,-0.49368968902459365,1.7853958184472405,3.1690775777438516,36.69077577743852,7.293552837606305,Low (5-10%),1.5284535541265154,41798139
Darren Raddysh,TBL,D,6200,12.666510630870965,12.58,0.08651063087096489,2.0429855856243493,3.1666276577177412,36.66627657717741,45.42147236765096,Chalk (20%+),0.2728588729490124,41798259
Seth Jarvis,CAR,C,6500,12.478577568936668,12.7,-0.22142243106333126,1.919781164451795,3.119644392234167,36.19644392234167,5.48419069135397,Low (5-10%),1.9244618431064375,41798145
Jake Guentzel,TBL,C,6700,12.26987744199095,12.61,-0.34012255800904967,1.8313249913419327,3.0674693604977374,35.67469360497738,4.84802457115691,Contrarian (<5%),2.0981234419751438,41798143
Brandon Bussi,CAR,G,8200,11.897053500686935,13.06,-1.1629464993130654,1.450860183010602,2.974263375171734,33.794107001373874,26.149163926397538,Chalk (20%+),0.4382106768716827,41798375
Jeremy Swayman,BOS,G,7100,11.83478398785234,12.44,-0.6052160121476593,1.666870984204555,2.958695996963085,33.66956797570468,23.088225005247327,Chalk (20%+),0.4913099236358958,41798386
