name,team,position,actual_fpts,projected_fpts,error,abs_error,salary,date
J. Chychrun,WSH,D,41.1,14.301260507745,-26.798739492255002,26.798739492255002,6300,2026-02-05
M. Stone,VGK,R,29.9,15.30847197486705,-14.591528025132948,14.591528025132948,7200,2026-02-05
A. Hayes,PIT,R,29.0,4.697206573536189,-24.30279342646381,24.30279342646381,2500,2026-02-05
J. Quick,NYR,G,28.2,3.411679646203225,-24.788320353796774,24.788320353796774,7000,2026-02-05
A. Vasilevskiy,TBL,G,25.599999999999998,8.893726361573352,-16.706273638426644,16.706273638426644,8200,2026-02-05
M. Samoskevich,FLA,R,22.0,6.127859749771178,-15.87214025022882,15.87214025022882,2800,2026-02-05
T. Thompson,BUF,C,22.0,14.62057472293982,-7.3794252770601805,7.3794252770601805,8400,2026-02-05
B. Kindel,PIT,C,22.0,7.599722584288606,-14.400277415711393,14.400277415711393,4100,2026-02-05
B. Bussi,CAR,G,21.2,7.289911120700542,-13.910088879299458,13.910088879299458,8400,2026-02-05
J. Eichel,VGK,C,20.8,15.999795935879945,-4.800204064120056,4.800204064120056,9400,2026-02-05
O. Bjorkstrand,TBL,R,20.6,6.074002188354979,-14.525997811645023,14.525997811645023,3300,2026-02-05
I. Sorokin,NYI,G,18.599999999999998,8.442295581893308,-10.15770441810669,10.15770441810669,7600,2026-02-05
P. Holmberg,TBL,R,18.0,4.713506861870675,-13.286493138129325,13.286493138129325,2800,2026-02-05
L. Thompson,WSH,G,17.9,7.864272429703983,-10.035727570296014,10.035727570296014,7900,2026-02-05
P. Dubois,WSH,L,17.8,2.947348991673887,-14.852651008326113,14.852651008326113,2700,2026-02-05
V. Hedman,TBL,D,16.8,7.152062209543667,-9.647937790456334,9.647937790456334,4200,2026-02-05
P. Dorofeyev,VGK,R,16.5,11.924936427909923,-4.575063572090077,4.575063572090077,6200,2026-02-05
B. Horvat,NYI,C,16.3,13.196704970467463,-3.1032950295325374,3.1032950295325374,7100,2026-02-05
N. Hischier,NJD,C,15.8,9.80932669317044,-5.99067330682956,5.99067330682956,6100,2026-02-05
N. Ehlers,CAR,L,15.5,9.719198457714134,-5.780801542285866,5.780801542285866,5400,2026-02-05
E. Malkin,PIT,C,15.5,11.55585420086642,-3.9441457991335795,3.9441457991335795,6200,2026-02-05
J. Marchessault,NSH,R,14.5,7.012755670638511,-7.487244329361489,7.487244329361489,4000,2026-02-05
Z. Girgensons,TBL,C,14.5,4.514568835405643,-9.985431164594356,9.985431164594356,2600,2026-02-05
M. McCarron,NSH,C,14.5,4.214845735575752,-10.285154264424248,10.285154264424248,2700,2026-02-05
N. Cousins,OTT,C,14.3,3.848833444712678,-10.451166555287323,10.451166555287323,2600,2026-02-05
U. Balinskis,FLA,D,13.1,5.576177592415551,-7.523822407584449,7.523822407584449,3000,2026-02-05
J. Staal,CAR,C,13.0,6.5837643330487845,-6.4162356669512155,6.4162356669512155,3500,2026-02-05
J. Reimer,OTT,G,13.0,2.4482469964009677,-10.551753003599032,10.551753003599032,7900,2026-02-05
A. Svechnikov,CAR,R,12.8,12.05359322569118,-0.7464067743088201,0.7464067743088201,6500,2026-02-05
C. Cizikas,NYI,C,12.8,3.619648880111561,-9.180351119888439,9.180351119888439,2500,2026-02-05
A. Wilsby,NSH,D,12.8,4.649439358102342,-8.150560641897659,8.150560641897659,2500,2026-02-05
M. Marner,VGK,R,12.8,10.76285627572017,-2.037143724279831,2.037143724279831,6400,2026-02-05
T. Wilson,WSH,R,12.8,10.919384245575186,-1.8806157544248148,1.8806157544248148,6000,2026-02-05
E. Cernak,TBL,D,12.8,4.71201948603878,-8.08798051396122,8.08798051396122,2500,2026-02-05
