name,team,position,actual_fpts,projected_fpts,error,abs_error,salary,date
N. Kucherov,TBL,R,41.3,14.693964493900545,-26.606035506099452,26.606035506099452,9600,2026-02-03
B. Horvat,NYI,C,32.1,11.930092531410464,-20.169907468589535,20.169907468589535,7500,2026-02-03
J. Brazeau,PIT,R,28.1,7.526058490644708,-20.573941509355294,20.573941509355294,4000,2026-02-03
M. Barzal,NYI,C,27.5,9.319379856277214,-18.180620143722784,18.180620143722784,6300,2026-02-03
E. Merzlikins,CBJ,G,26.799999999999997,4.835254087241183,-21.964745912758815,21.964745912758815,7400,2026-02-03
M. Maccelli,TOR,L,25.6,5.224083707498557,-20.375916292501444,20.375916292501444,3900,2026-02-03
S. Aho,CAR,C,24.5,10.428657384888725,-14.071342615111275,14.071342615111275,6900,2026-02-03
S. Jarvis,CAR,C,24.3,12.069607493908814,-12.230392506091187,12.230392506091187,6700,2026-02-03
M. Schaefer,NYI,D,23.4,10.086954455774212,-13.313045544225787,13.313045544225787,5600,2026-02-03
A. Stolarz,TOR,G,22.799999999999997,3.7631957492128505,-19.036804250787146,19.036804250787146,7200,2026-02-03
M. Samuelsson,BUF,D,21.5,8.072881667094451,-13.427118332905549,13.427118332905549,3700,2026-02-03
D. Raddysh,TBL,D,20.6,12.649313773552922,-7.950686226447079,7.950686226447079,6400,2026-02-03
R. Dahlin,BUF,D,19.8,11.619722628985372,-8.180277371014629,8.180277371014629,6700,2026-02-03
R. Pulock,NYI,D,19.7,6.2302347891300744,-13.469765210869925,13.469765210869925,3400,2026-02-03
J. Drysdale,PHI,D,19.7,5.900447679059854,-13.799552320940144,13.799552320940144,3600,2026-02-03
B. McMann,TOR,C,19.0,7.694854909592509,-11.30514509040749,11.30514509040749,4500,2026-02-03
J. Carlson,WSH,D,18.7,10.202979291163382,-8.497020708836617,8.497020708836617,5000,2026-02-03
M. Olivier,CBJ,R,18.5,4.903426091664703,-13.596573908335298,13.596573908335298,2800,2026-02-03
A. Beauvillier,WSH,L,18.5,6.1566181080276685,-12.343381891972331,12.343381891972331,3100,2026-02-03
J. McCabe,TOR,D,17.9,5.5192949890769425,-12.380705010923055,12.380705010923055,3300,2026-02-03
L. Dostal,ANA,G,17.2,5.4717027957339806,-11.728297204266019,11.728297204266019,8100,2026-02-03
