date_label,pct_drafted,predicted_own,error,abs_error
feb01,44.94,13.07600277373784,-31.863997226262157,31.863997226262157
feb01,35.39,11.01964836248403,-24.37035163751597,24.37035163751597
feb01,34.27,7.347378186895405,-26.9226218131046,26.9226218131046
feb01,31.18,9.662054951137218,-21.51794504886278,21.51794504886278
feb01,29.78,10.90767039774534,-18.87232960225466,18.87232960225466
feb01,26.69,11.580770769963056,-15.109229230036945,15.109229230036945
feb01,24.72,8.254890529005788,-16.46510947099421,16.46510947099421
feb01,23.6,8.48716922367706,-15.11283077632294,15.11283077632294
feb01,21.91,9.874358103712844,-12.035641896287157,12.035641896287157
feb01,19.66,6.981385528786976,-12.678614471213024,12.678614471213024
feb01,19.1,5.12934925359807,-13.970650746401931,13.970650746401931
feb01,18.54,9.839652006613466,-8.700347993386533,8.700347993386533
feb01,18.54,7.943366945319539,-10.59663305468046,10.59663305468046
feb01,18.54,6.140224588537359,-12.39977541146264,12.39977541146264
feb01,18.26,5.139396941519395,-13.120603058480606,13.120603058480606
feb01,17.42,13.567852896972088,-3.8521471030279137,3.8521471030279137
feb01,16.57,2.24682953211919,-14.32317046788081,14.32317046788081
feb01,16.57,11.306720673715148,-5.263279326284852,5.263279326284852
feb01,15.45,8.954922136925214,-6.495077863074785,6.495077863074785
feb01,15.45,9.149375054770374,-6.300624945229625,6.300624945229625
feb01,14.33,11.842549319138548,-2.4874506808614516,2.4874506808614516
feb01,14.04,10.066324594908975,-3.973675405091024,3.973675405091024
feb01,13.76,9.994641626249042,-3.765358373750958,3.765358373750958
feb01,13.76,11.571080939812733,-2.188919060187267,2.188919060187267
feb01,13.76,7.243252866019416,-6.516747133980584,6.516747133980584
feb01,12.36,7.501642068134022,-4.858357931865977,4.858357931865977
feb01,12.08,11.234593670931346,-0.8454063290686538,0.8454063290686538
feb01,11.52,12.462848544499604,0.9428485444996042,0.9428485444996042
feb01,11.52,4.390460396749815,-7.129539603250184,7.129539603250184
feb01,10.67,5.61996460075967,-5.05003539924033,5.05003539924033
feb01,10.67,9.021986134359885,-1.6480138656401149,1.6480138656401149
feb01,10.39,5.070289773843592,-5.319710226156409,5.319710226156409
feb01,9.83,2.965877370788774,-6.864122629211226,6.864122629211226
feb01,9.83,7.186487547821377,-2.643512452178623,2.643512452178623
feb01,9.27,7.744724999579344,-1.5252750004206552,1.5252750004206552
feb01,9.27,6.000259778852598,-3.2697402211474014,3.2697402211474014
feb01,9.27,5.857417427419829,-3.4125825725801704,3.4125825725801704
feb01,8.99,3.4158227637649605,-5.574177236235039,5.574177236235039
feb01,8.43,4.333614677903137,-4.096385322096863,4.096385322096863
feb01,8.43,7.499218477940319,-0.9307815220596805,0.9307815220596805
feb01,8.15,2.2411417281144894,-5.908858271885511,5.908858271885511
feb01,8.15,5.589081974221507,-2.560918025778493,2.560918025778493
feb01,8.15,8.245787204538765,0.09578720453876421,0.09578720453876421
feb01,7.87,5.3763735864943065,-2.4936264135056936,2.4936264135056936
feb01,7.87,6.077055680530517,-1.7929443194694832,1.7929443194694832
feb01,7.3,7.1622670166385936,-0.13773298336140627,0.13773298336140627
feb01,7.3,8.199715646634164,0.8997156466341645,0.8997156466341645
feb01,7.3,5.7035353497214905,-1.5964646502785094,1.5964646502785094
feb01,7.02,5.058267007955621,-1.9617329920443787,1.9617329920443787
feb01,6.46,7.97709535318046,1.5170953531804603,1.5170953531804603
feb01,6.18,5.24416832352426,-0.9358316764757397,0.9358316764757397
feb01,5.62,4.473247518022245,-1.1467524819777548,1.1467524819777548
feb01,5.34,3.3421581394644737,-1.9978418605355261,1.9978418605355261
feb01,5.34,7.1839877450461955,1.8439877450461957,1.8439877450461957
feb01,4.78,3.822395964812704,-0.9576040351872961,0.9576040351872961
feb01,4.21,5.102952383798718,0.8929523837987183,0.8929523837987183
feb01,4.21,7.677406599582292,3.467406599582292,3.467406599582292
feb01,4.21,6.4857913535058085,2.2757913535058085,2.2757913535058085
feb01,3.65,3.2199882550474945,-0.4300117449525054,0.4300117449525054
feb01,3.65,5.543375203014022,1.8933752030140218,1.8933752030140218
feb01,3.37,4.099316328402491,0.7293163284024908,0.7293163284024908
feb01,3.09,3.7040833603727488,0.6140833603727489,0.6140833603727489
feb01,3.09,1.755245887973543,-1.3347541120264568,1.3347541120264568
feb01,2.81,4.411820894359928,1.601820894359928,1.601820894359928
feb01,2.81,4.7866213651604275,1.9766213651604274,1.9766213651604274
feb01,2.81,4.6095039234518005,1.7995039234518004,1.7995039234518004
feb01,2.53,3.0117675973267124,0.4817675973267126,0.4817675973267126
feb01,2.53,3.774352060632539,1.2443520606325391,1.2443520606325391
feb01,2.53,3.9006049584305424,1.3706049584305426,1.3706049584305426
feb01,2.25,3.3420598644721116,1.0920598644721116,1.0920598644721116
feb01,2.25,3.6336794532319967,1.3836794532319967,1.3836794532319967
feb01,1.97,1.668225273009993,-0.30177472699000707,0.30177472699000707
feb01,1.97,3.9691618503629544,1.9991618503629545,1.9991618503629545
feb01,1.97,3.2282701971133467,1.2582701971133468,1.2582701971133468
feb01,1.69,2.5299915541725055,0.8399915541725056,0.8399915541725056
feb01,1.69,5.374728236178917,3.6847282361789166,3.6847282361789166
feb01,1.69,3.9630233568837174,2.2730233568837175,2.2730233568837175
feb01,1.69,3.5221165750451524,1.8321165750451525,1.8321165750451525
feb01,1.4,2.6348056640210915,1.2348056640210916,1.2348056640210916
feb01,1.4,1.7410982386050495,0.3410982386050496,0.3410982386050496
feb01,1.12,3.36899202158844,2.24899202158844,2.24899202158844
