game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts
2025-11-07,8479378,L. Stanley,D,7.1,7.3881235,4.802013
2025-11-07,8479390,T. Raddysh,R,9.6,5.050371,4.7463613
2025-11-07,8479576,V. Desharnais,D,1.8,3.1527078,2.100886
2025-11-07,8479983,M. Ferraro,D,6.4,11.702546,7.028585
2025-11-07,8479992,M. Rasmussen,C,5.1,1.4163615,1.5988643
2025-11-07,8480014,G. Vilardi,C,15.6,14.064461,9.927173
2025-11-07,8480028,M. Frost,C,2.5,5.859181,4.8944354
2025-11-07,8480043,T. Liljegren,D,4.6,6.9077654,4.7082725
2025-11-07,8480113,A. Iafallo,L,0.0,3.4070654,2.6360953
2025-11-07,8480145,N. Pionk,D,9.4,6.82821,3.8790596
2025-11-07,8480797,J. Farabee,L,2.3,7.6419106,6.0586133
2025-11-07,8480798,P. Kurashev,C,11.5,14.910479,10.958104
2025-11-07,8480848,T. Dellandrea,C,4.5,6.3456354,5.46532
2025-11-07,8481014,A. Romanov,D,-0.2,5.6179767,3.0333397
2025-11-07,8481043,C. Koepke,L,1.0,2.7375805,2.6342309
2025-11-07,8481068,Y. Sharangovich,C,1.0,2.458594,2.950606
2025-11-07,8481167,B. Pachal,D,1.3,2.1929126,2.1140115
2025-11-07,8481237,K. MacLean,C,-0.5,1.1365558,1.6251762
2025-11-07,8481525,M. Robertson,D,2.6,2.8446732,2.6482248
2025-11-07,8481542,M. Seider,D,4.5,12.965064,7.894552
2025-11-07,8481557,M. Boldy,L,2.5,9.778728,7.0248346
2025-11-07,8481568,A. Vlasic,D,8.9,7.5975122,5.41136
2025-11-07,8481601,S. Holmstrom,R,-0.5,7.091462,5.906869
2025-11-07,8481607,A. Johansson,D,1.6,4.4536886,3.2423203
2025-11-07,8481624,I. Mikheyev,R,2.8,4.031636,3.9092216
2025-11-07,8481704,J. Parssinen,C,0.0,1.7602795,1.7439234
2025-11-07,8481725,E. Soderblom,L,1.5,1.0898192,1.2881552
2025-11-07,8481806,L. Crevier,D,2.0,3.3613071,2.9685593
