team,opp,moneyline,spread,handicap_spread,game_total,game_total_over,game_total_under
PHI,CBJ,102,1.5,-237,6.5,100,-113
CBJ,PHI,-113,-1.5,204,6.5,,
NYR,NYI,124,1.5,-201,6.5,103,-115
NYI,NYR,-137,-1.5,175,6.5,,
COL,OTT,-138,-1.5,166,6.5,-122,108
OTT,COL,125,1.5,-189,6.5,,
