statistic,yoy_correlation,regression_weight,shrinkage_factor,n_pairs,p_value,ci_lower,ci_upper,y1_mean,y2_mean,y1_std,y2_std
pp_assists_pg,0.8935115102366871,0.8935115102366871,0.10648848976331293,601,1.9083709750481417e-210,0.8761435838458637,0.9085626922979335,0.003843224121255359,0.00334972435866567,0.05397130554603207,0.03792362149682799
hits_per60,0.8718990454510748,0.8718990454510748,0.12810095454892523,601,6.805668343504004e-188,0.8512830448107183,0.8898272160465376,4.803970075385798,4.889377461846919,3.58334395583391,3.5089897697205217
blocks_pg,0.8694445180162952,0.8694445180162952,0.1305554819837048,601,1.35557817184137e-185,0.8484654744337288,0.8876955987714616,0.7278794439643691,0.7615024526882422,0.49907240762094346,0.5249758548774004
toi_per_game,0.8639220192745654,0.8639220192745654,0.13607798072543464,601,1.376880718931367e-180,0.84213050153277,0.8828967611012283,1003.7100783044328,1012.0585770895551,219.44770781496078,224.67598702964875
hits_pg,0.8609156877904991,0.8609156877904991,0.1390843122095009,601,5.926300249745708e-178,0.8386844026644314,0.8802827082065019,1.2413880194563243,1.2742744674889306,0.7820212590013743,0.7843588373298266
shots_pg,0.8435811120175891,0.8435811120175891,0.15641888798241088,601,6.951582980390588e-164,0.8188487828855142,0.8651870485617362,1.7000409767201639,1.8051158603328752,0.6815032491531858,0.7715790785367996
blocks_per60,0.8302394145376251,0.8302394145376251,0.16976058546237494,601,3.554470896631086e-154,0.8036222567147567,0.8535418205307443,2.520172972763725,2.612515033368765,1.4412759822775956,1.5063285156606083
shots_per60,0.8244399416159773,0.8244399416159773,0.17556005838402267,601,3.238584907485696e-150,0.7970143197419707,0.848472512081213,6.121737909311749,6.443899318702311,2.0923723354035357,2.3304804110022155
pp_assists_per60,0.8133851429967177,0.8133851429967177,0.1866148570032823,601,4.661686507009156e-143,0.7844366093166583,0.8387973032579774,0.010578966076167946,0.0106472089768369,0.1288911766797575,0.1066784523401402
dk_fpts_pg,0.8122771181248105,0.8122771181248105,0.18772288187518948,601,2.288992697239292e-142,0.7831772542097851,0.8378266691732477,6.483905101387426,6.9203377006668525,2.6849732622544336,3.072314961407097
assists_pg,0.733855670094345,0.733855670094345,0.26614432990565495,601,1.1318816266184287e-102,0.694647566238156,0.7687164373295805,0.28052380887104583,0.30010647479374764,0.1796928043446429,0.1892029349423659
goals_pg,0.7144546546649666,0.7144546546649666,0.2855453453350334,601,5.672915473481207e-95,0.6729275690891732,0.7514924271944077,0.1666105242437499,0.17889267817953527,0.12767589855083494,0.1426352105173565
goals_per60,0.6695103375911893,0.6695103375911893,0.3304896624088107,601,2.1858845083756563e-79,0.6228847009226015,0.7113964463804597,0.6073922875191075,0.6388073092532106,0.43726065492894095,0.4657399323364808
pp_goals_pg,0.6462355078928804,0.6462355078928804,0.3537644921071196,601,2.40386985519227e-72,0.5971186418552495,0.6905246490297081,0.032539786000191945,0.03469324805601145,0.0489405582346368,0.05144279223423076
assists_per60,0.640608074197612,0.640608074197612,0.359391925802388,601,9.819342734803398e-71,0.59090405213078,0.6854671285133315,0.9753792515233126,1.0254982630279663,0.5177450527187337,0.5279043521419864
pim_pg,0.6282260939770676,0.6282260939770676,0.37177390602293237,601,2.6358195854052654e-67,0.5772508965143991,0.6743238602564405,0.4372223120048496,0.48058600782346583,0.3033126713872667,0.3486274075582531
pp_goals_per60,0.6099829789439711,0.6099829789439711,0.39001702105602887,601,1.5813128802214886e-62,0.5571866810307324,0.6578674706941471,0.11068012400450894,0.11600980192499309,0.1625782044012442,0.16761356528376856
