assists,evGoals,evPoints,faceoff_pct,gw_goals,games_played,goals,lastName,ot_goals,pim,player_id,plus_minus,points,pointsPerGame,position,pp_goals,pp_points,seasonId,sh_goals,sh_points,shooting_pct,shootsCatches,shots,name,team,toi_per_game,goals_per_game,assists_per_game,points_per_game,shots_per_game,pp_points_per_game,goals_pg,assists_pg,points_pg,shots_pg,blocks_pg,pp_points_pg,pp_share,pp_goals_pg,sh_goals_pg,sh_points_pg,shooting_pct_adj,high_shot_volume,elite_shot_volume,prob_5plus_shots,prob_3plus_points,prob_hat_trick,is_center,is_wing,is_defense,toi_minutes,toi_vs_position,opponent,is_home,opp_ga_pg,opp_gf_pg,opp_softness,consistency,projected_fpts,floor,ceiling,salary,dk_position,dk_id,dk_avg_fpts,value,edge,games_started,goals_against,gaa,losses,ot_losses,penaltyMinutes,save_pct,saves,shots_against,shutouts,ties,toi,wins,saves_per_start,ga_per_start,shots_against_per_start,saves_pg,ga_pg,sa_pg,win_rate,save_pct_above_avg,high_workload,prob_35plus_saves,gaa_quality,team_gf_pg,team_ga_pg,team_quality,opp_offense_weakness
20,7.0,25.0,,1.0,74,7,Miller,0.0,22.0,8480817,0.0,27,0.36486,D,0.0,2.0,20242025,0.0,0.0,0.06363,L,110.0,K'Andre Miller,NYR,1316.7972,0.0945945945945946,0.2702702702702703,0.36486486486486486,1.4864864864864864,0.02702702702702703,0.0945945945945946,0.2702702702702703,0.36486486486486486,1.4864864864864864,1.5,0.02702702702702703,0.07407407407407407,0.0,0.0,0.0,0.06363,0.0,0.0,0.06423669895634053,4.654004939249205e-06,4.513669928413132e-29,0.0,0.0,1.0,21.94662,1.1998098087539435,SJS,False,3.5306122448979593,3.122448979591837,1.1768707482993197,1.575299717101086,7.162986070594989,2.8651944282379955,22.90746517648747,3300,D/UTIL,41697164,7.31,2.170601839574239,-0.147013929405011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22.0,39.0,0.52713,4.0,80,23,Howden,1.0,46.0,8479353,17.0,40,0.5,C,0.0,0.0,20242025,1.0,1.0,0.184,L,125.0,Brett Howden,VGK,891.775,0.2875,0.2125,0.5,1.5625,0.0,0.2875,0.2125,0.5,1.5625,0.5,0.0,0.0,0.0,0.0125,0.0125,0.184,0.0,0.0,0.07632686164553515,0.00020342697805520653,1.962762248401295e-09,1.0,0.0,0.0,14.862916666666667,1.042038502892231,TOR,False,3.32,3.32,1.1066666666666667,2.1972245773362196,7.015064325707203,2.8060257302828813,22.53766081426801,2600,W/UTIL,41696900,4.76,2.6981016637335395,2.2550643257072034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10.0,20.0,0.44619,2.0,53,12,Nazar,1.0,24.0,8483493,-11.0,26,0.49056,C,1.0,4.0,20242025,1.0,2.0,0.13186,R,91.0,Frank Nazar,CHI,952.283,0.22641509433962265,0.2641509433962264,0.49056603773584906,1.7169811320754718,0.07547169811320754,0.22641509433962265,0.2641509433962264,0.49056603773584906,1.7169811320754718,0.5,0.07547169811320754,0.15384615384615385,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.13186,0.0,0.0,0.1027502498065944,0.00016719979892230094,4.951898883872913e-12,1.0,0.0,0.0,15.871383333333334,1.112742061225895,TBL,True,2.5208333333333335,3.5416666666666665,0.8402777777777778,1.9568600983145499,6.9738941706608255,2.7895576682643304,22.434735426652065,4300,C/UTIL,41696584,8.14,1.6218358536420525,-1.166105829339175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17.0,31.0,0.08333,3.0,80,20,Mikheyev,0.0,16.0,8481624,4.0,34,0.425,R,0.0,0.0,20242025,3.0,3.0,0.14492,L,138.0,Ilya Mikheyev,CHI,940.6125,0.25,0.175,0.425,1.725,0.0,0.25,0.175,0.425,1.725,0.5,0.0,0.0,0.0,0.0375,0.0375,0.14492,0.0,0.0,0.10417332793592916,3.3631964038671175e-05,7.052879850614729e-11,0.0,1.0,0.0,15.676874999999999,1.0999711955752685,TBL,True,2.5208333333333335,3.5416666666666665,0.8402777777777778,1.8676408907357867,6.7450562810068835,2.6980225124027535,21.862640702517208,2800,W/UTIL,41696876,5.26,2.4089486717881727,1.4850562810068837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,5.0,0.33333,1.0,13,4,Mantha,0.0,11.0,8477511,6.0,7,0.53846,R,1.0,1.0,20242025,1.0,1.0,0.26666,L,15.0,Anthony Mantha,CGY,834.1538,0.3076923076923077,0.23076923076923078,0.5384615384615384,1.1538461538461537,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.5384615384615384,1.1538461538461537,0.5,0.07692307692307693,0.14285714285714285,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.26666,0.0,0.0,0.022361969193544173,0.0004214328550923578,8.410793559209271e-09,0.0,1.0,0.0,13.902563333333335,0.975476248380341,WSH,True,2.980392156862745,3.176470588235294,0.9934640522875817,1.4210308697928313,6.64611811654371,2.6584472466174844,21.615295291359274,3300,W/UTIL,41696840,7.87,2.0139751868314275,-1.22388188345629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,10,0,Silovs,,,8481668,,0,,G,,,20242025,,,,L,,Arturs Silovs,VAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,NJD,True,,2.62,,,6.545758442943092,1.9637275328829276,23.091516885886186,7100,G,41697425,10.11,0.9219378088652243,-3.5642415570569073,9.0,33.0,3.64965,6.0,1.0,2.0,0.86134,205.0,238.0,0.0,,32551.0,2.0,22.77777777777778,3.6666666666666665,26.444444444444443,22.77777777777778,3.6666666666666665,26.444444444444443,0.2222222222222222,-0.04366000000000003,0.0,0.47252769565540637,-0.6496499999999998,2.66,3.66,-1.0,1.1450381679389312
21,4.0,25.0,,0.0,80,5,Lindell,0.0,14.0,8476902,34.0,26,0.325,D,1.0,1.0,20242025,0.0,0.0,0.0505,L,99.0,Esa Lindell,DAL,1330.8375,0.0625,0.2625,0.325,1.2375,0.0125,0.0625,0.2625,0.325,1.2375,1.5,0.0125,0.038461538461538464,0.0125,0.0,0.0,0.0505,0.0,0.0,0.030894621579764456,8.379490563502034e-07,4.215398337519074e-44,0.0,0.0,1.0,22.180625000000003,1.2126027351497835,STL,True,3.42,2.42,1.14,1.4281959752685427,6.449187448387513,2.5796749793550053,21.122968620968784,3400,D/UTIL,41697160,7.85,1.8968198377610332,-1.4008125516124865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3.0,17.0,,0.0,82,4,Vlasic,0.0,12.0,8481568,-23.0,30,0.36585,D,1.0,12.0,20242025,0.0,1.0,0.03883,L,103.0,Alex Vlasic,CHI,1395.7682,0.04878048780487805,0.3170731707317073,0.36585365853658536,1.2560975609756098,0.14634146341463414,0.04878048780487805,0.3170731707317073,0.36585365853658536,1.2560975609756098,1.5,0.14634146341463414,0.4,0.012195121951219513,0.0,0.012195121951219513,0.03883,0.0,0.0,0.03299034530253285,4.833185261644587e-06,1.465600722143592e-56,0.0,0.0,1.0,23.262803333333334,1.2717648375215531,TBL,True,2.5208333333333335,3.5416666666666665,0.8402777777777778,1.6166490028524139,6.379088741418058,2.5516354965672234,20.947721853545147,2900,D/UTIL,41697186,5.48,2.199685772902779,0.8990887414180575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10.0,29.0,0.5,1.0,79,10,Burakovsky,0.0,12.0,8477444,-3.0,37,0.46835,L,0.0,8.0,20242025,0.0,0.0,0.08695,L,115.0,Andre Burakovsky,SEA,865.3417,0.12658227848101267,0.34177215189873417,0.46835443037974683,1.4556962025316456,0.10126582278481013,0.12658227848101267,0.34177215189873417,0.46835443037974683,1.4556962025316456,0.5,0.10126582278481013,0.21621621621621623,0.0,0.0,0.0,0.08695,0.0,0.0,0.05955682714323567,0.00010212721441724979,1.1238799647874026e-21,0.0,1.0,0.0,14.422361666666665,1.0606212877001215,ANA,True,3.52,3.3,1.1733333333333333,2.0523415883915646,6.2240011452241255,2.4896004580896505,20.560002863060312,3600,W/UTIL,41696820,7.28,1.7288892070067015,-1.0559988547758747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11.0,29.0,0.48437,1.0,78,15,Foligno,0.0,48.0,8473422,-17.0,35,0.44871,L,2.0,4.0,20242025,2.0,2.0,0.14423,L,104.0,Nick Foligno,CHI,955.4871,0.19230769230769232,0.2564102564102564,0.44871794871794873,1.3333333333333333,0.05128205128205128,0.19230769230769232,0.2564102564102564,0.44871794871794873,1.3333333333333333,0.5,0.05128205128205128,0.11428571428571428,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.14423,0.0,0.0,0.0424249824979713,6.341705637019239e-05,3.3574820458213175e-14,0.0,1.0,0.0,15.924785000000002,1.1711095840901404,TBL,True,2.5208333333333335,3.5416666666666665,0.8402777777777778,1.9606496773890483,5.869253017356879,2.3477012069427516,19.6731325433922,2500,C/UTIL,41696644,4.74,2.3477012069427516,1.1292530173568789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
