statistic,yoy_correlation,regression_weight,shrinkage_factor,n_pairs,p_value,ci_lower,ci_upper,y1_mean,y2_mean,y1_std,y2_std
pp_assists_pg,0.8934919967084676,0.8934919967084676,0.10650800329153243,580,4.0937455766900546e-203,0.8757847171880012,0.9087977778990818,0.003982375339438743,0.0034710074819966686,0.054934641210353886,0.038598612540806924
hits_per60,0.8724946416272222,0.8724946416272222,0.12750535837277777,580,6.412948203488035e-182,0.8515701357854378,0.8906435889140993,4.778737499324351,4.771316241247096,3.592812856499919,3.4646501708198585
blocks_pg,0.8656969342011742,0.8656969342011742,0.13430306579882578,580,7.465905825848006e-176,0.8437499647862617,0.8847539070640578,0.731180251893358,0.7727986884211397,0.49221678717581147,0.5304141916731484
toi_per_game,0.8651267266441303,0.8651267266441303,0.13487327335586974,580,2.3267706857018514e-175,0.8430944139081379,0.8842595899554434,1007.3439690484781,1018.6286841664178,219.03299881643866,225.0352554120023
hits_pg,0.8591660896019567,0.8591660896019567,0.14083391039804327,580,2.487680077557391e-170,0.8362455623294835,0.879089702139617,1.2392395827599614,1.254109668810637,0.7846054165811194,0.7879054655849345
shots_pg,0.83821410430556,0.83821410430556,0.16178589569444002,580,2.4628513613124128e-154,0.8122280635136127,0.8608799723521594,1.7103813777425922,1.817439996441586,0.683040112166332,0.7835023532392896
blocks_per60,0.8274541034966121,0.8274541034966121,0.17254589650338792,580,5.517878193432271e-147,0.7999278978320847,0.8515056503984406,2.5276865058632287,2.6388537839202075,1.4317939549235101,1.5161110779281994
shots_per60,0.8234444917888846,0.8234444917888846,0.17655550821111543,580,2.2461189750867198e-144,0.7953502660001811,0.8480084620819495,6.137061667835605,6.441457575895995,2.092319690484564,2.3546169297723756
pp_assists_per60,0.8133344079544734,0.8133344079544734,0.18666559204552657,580,4.444524067007456e-138,0.7838221504709859,0.8391809271034174,0.010961997606511956,0.011032711370825822,0.1311878022895398,0.10857294377158225
dk_fpts_pg,0.8049092167467289,0.8049092167467289,0.19509078325327112,580,4.061220949019439e-133,0.7742307631617668,0.8318141235584748,6.524762631972797,6.96535136545169,2.688477001493906,3.0839778990429356
assists_pg,0.7348676753871712,0.7348676753871712,0.26513232461282876,580,1.5227715470238043e-99,0.6950360323644947,0.7702021700869969,0.28265334379333157,0.3023598302124457,0.1801106721382189,0.19157958062771033
goals_pg,0.7140217369385569,0.7140217369385569,0.28597826306144314,580,1.504256354877697e-91,0.671651073674693,0.7517368333802166,0.1675612383589901,0.17814347791442595,0.12827373078910542,0.1451387961991649
goals_per60,0.667239418094137,0.667239418094137,0.332760581905863,580,5.611818073673886e-76,0.6194762564398464,0.7100806352328962,0.6082719782630643,0.6317591084951004,0.4369081371677821,0.47341811705661935
pp_goals_pg,0.6370071288495842,0.6370071288495842,0.3629928711504158,580,2.436233771591233e-67,0.5859821312805837,0.6830005473225774,0.03282692988137487,0.035865345980488114,0.04967853987510817,0.05302872632087351
assists_per60,0.6368950779793464,0.6368950779793464,0.3631049220206536,580,2.6118060483772487e-67,0.5858583144269176,0.682899943819513,0.9803421439989044,1.028325275171419,0.518481089311952,0.5401825705398433
pim_pg,0.6266659332897615,0.6266659332897615,0.3733340667102385,580,1.3305883799607077e-64,0.5745650791425235,0.6737084743652806,0.4410457394110938,0.4819965317222777,0.3040070114828441,0.3494805569684817
pp_goals_per60,0.6058473170928396,0.6058473170928396,0.39415268290716043,580,2.151337068224858e-59,0.5516419118287584,0.6549566979245125,0.11116982330866612,0.11986010659065335,0.16446437037544498,0.17275816064336993
