game_date,player_name,position,actual_fpts,predicted_fpts,error,month
2025-11-17,E. Pettersson,C,26.899999618530273,6.741510391235352,20.158489227294922,2025-11
2025-11-17,E. Pettersson,D,-1.0,6.726545810699463,7.726545810699463,2025-11
2025-11-20,E. Pettersson,C,19.5,6.37407112121582,13.12592887878418,2025-11
2025-11-20,E. Pettersson,D,3.299999952316284,7.577615737915039,4.277615785598755,2025-11
2025-11-20,M. Wood,L,1.0,7.4066667556762695,6.4066667556762695,2025-11
2025-12-02,M. Wood,R,2.0,5.699583530426025,3.6995835304260254,2025-12
2025-12-04,M. Wood,L,2.5,5.673099040985107,3.1730990409851074,2025-12
2025-12-04,M. Wood,R,6.800000190734863,5.774433612823486,1.025566577911377,2025-12
2025-12-16,M. Wood,L,-0.5,4.5233354568481445,5.0233354568481445,2025-12
2025-12-17,M. Wood,R,2.799999952316284,4.253365516662598,1.4533655643463135,2025-12
2025-12-18,M. Wood,L,5.800000190734863,4.013721942901611,1.786278247833252,2025-12
2026-01-01,M. Wood,R,0.30000001192092896,3.4924979209899902,3.1924979090690613,2026-01
2026-01-15,A. Lee,L,4.5,5.4086103439331055,0.9086103439331055,2026-01
2026-01-15,E. Pettersson,C,13.399999618530273,6.355630397796631,7.044369220733643,2026-01
2026-01-27,E. Pettersson,D,3.5999999046325684,5.549500465393066,1.949500560760498,2026-01
2026-01-29,E. Pettersson,C,8.399999618530273,5.776177883148193,2.62382173538208,2026-01
2026-01-29,E. Pettersson,D,2.0,4.982054233551025,2.9820542335510254,2026-01
