game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25
2025-11-07,8471817,R. Reaves,R,-0.5,1.7434039,2.998989,-0.2956843,4.0429707,0.026,0.014,0.002,0.0
2025-11-07,8473422,N. Foligno,L,4.1,3.099708,3.4476922,-0.3296349,7.351083,0.062,0.004,0.0,0.0
2025-11-07,8473604,J. Toews,C,5.1,5.5590057,4.770063,0.3517941,13.3522215,0.224,0.048,0.0,0.0
2025-11-07,8474037,J. van Riemsdyk,L,1.3,2.895345,3.2852893,-0.17172168,7.3516994,0.044,0.002,0.0,0.0
2025-11-07,8474141,P. Kane,R,11.5,7.9042006,6.157918,1.138728,16.463083,0.278,0.12,0.052,0.018
2025-11-07,8474150,M. Backlund,C,6.8,7.5865483,6.590179,1.4485565,16.445007,0.3,0.148,0.048,0.014
2025-11-07,8474568,L. Schenn,D,2.6,3.138895,2.5650802,0.7709502,6.532392,0.02,0.004,0.0,0.0
2025-11-07,8474612,T. Hamonic,D,-0.5,3.7536535,2.9789667,0.83543974,7.9600124,0.04,0.002,0.0,0.0
2025-11-07,8474716,J. Spurgeon,D,8.9,6.361346,4.873102,1.1768906,12.75624,0.222,0.05,0.006,0.0
2025-11-07,8475149,M. Johansson,L,7.5,8.28933,6.642636,1.0417801,18.396238,0.374,0.16,0.072,0.024
2025-11-07,8475151,K. Palmieri,C,3.5,9.430486,7.3403516,1.6859634,18.948055,0.386,0.2,0.088,0.028
2025-11-07,8475172,N. Kadri,C,4.0,9.696289,7.279933,1.4582664,20.260166,0.394,0.186,0.102,0.042
2025-11-07,8475200,D. Orlov,D,4.6,7.811582,5.523592,1.3162729,16.039793,0.344,0.132,0.032,0.002
2025-11-07,8475220,M. Foligno,L,7.0,2.5509458,2.9154544,-0.12760043,6.6240973,0.04,0.004,0.0,0.0
2025-11-07,8475231,C. Cizikas,C,8.9,3.8497338,4.468498,0.06833694,9.350314,0.094,0.04,0.008,0.002
2025-11-07,8475279,B. Chiarot,D,3.6,4.923047,4.0589447,0.9931338,10.340582,0.11,0.02,0.0,0.0
2025-11-07,8475314,A. Lee,L,7.5,8.947834,6.5501833,2.042302,17.499226,0.374,0.152,0.072,0.038
2025-11-07,8475692,M. Zuccarello,R,6.0,6.189804,3.4306438,2.4972558,11.651705,0.128,0.05,0.016,0.0
2025-11-07,8475726,T. Toffoli,C,5.5,9.153782,7.0204134,1.0792311,19.625267,0.396,0.206,0.088,0.032
2025-11-07,8475765,V. Tarasenko,R,7.3,7.0109344,5.686785,1.3713602,16.049582,0.268,0.126,0.042,0.012
2025-11-07,8475784,J. Skinner,L,2.8,5.9913235,5.588986,0.7907219,13.65987,0.214,0.078,0.022,0.006
2025-11-07,8475799,N. Niederreiter,R,9.8,7.0871468,6.3719625,0.86913526,16.822876,0.252,0.14,0.046,0.012
2025-11-07,8475842,S. Carrick,C,0.0,4.941716,4.528722,0.3181645,10.963533,0.124,0.024,0.002,0.0
2025-11-07,8475906,J. Klingberg,D,2.3,6.2989426,5.139456,0.98244154,13.648082,0.222,0.08,0.022,0.004
2025-11-07,8476331,D. DeMelo,D,8.4,7.5027914,5.58033,1.6147387,15.574276,0.314,0.114,0.036,0.004
2025-11-07,8476392,A. Lowry,C,11.7,8.019621,3.8551493,4.051387,12.547395,0.216,0.062,0.012,0.002
2025-11-07,8476399,B. Coleman,L,2.3,8.355082,6.850753,1.0309179,18.39897,0.33,0.174,0.074,0.034
2025-11-07,8476419,J. Pageau,C,13.8,8.56208,7.7650304,0.7112189,20.72768,0.406,0.23,0.118,0.036
2025-11-07,8476429,S. Mayfield,D,3.1,5.697382,4.3289943,1.2289894,11.530425,0.148,0.036,0.004,0.0
2025-11-07,8476456,J. Huberdeau,L,5.5,8.791525,6.9118443,1.1775134,18.848558,0.398,0.186,0.088,0.026
2025-11-07,8476459,M. Zibanejad,C,15.0,10.514441,7.7026935,2.0967226,22.421225,0.476,0.258,0.146,0.056
2025-11-07,8476460,M. Scheifele,C,4.3,15.222483,9.228839,5.7675705,24.452312,0.724,0.454,0.208,0.092
2025-11-07,8476463,J. Brodin,D,16.2,6.894108,5.4770617,1.3690754,15.096063,0.266,0.102,0.024,0.006
2025-11-07,8476468,J. Miller,C,1.5,8.11174,6.178382,1.3241894,17.27063,0.334,0.186,0.046,0.006
2025-11-07,8476473,C. Murphy,D,1.5,4.1069617,3.6051648,0.66980875,9.769375,0.09,0.014,0.002,0.0
2025-11-07,8476480,V. Namestnikov,C,17.4,10.196784,8.632291,1.2553799,23.202122,0.478,0.278,0.152,0.078
2025-11-07,8476624,B. Goodrow,C,2.5,2.63325,3.1170378,-0.014631125,6.7322087,0.042,0.008,0.002,0.0
2025-11-07,8476871,T. Pearson,L,1.6,4.353291,4.5056167,0.65442383,11.805213,0.13,0.06,0.01,0.002
2025-11-07,8476882,T. Teravainen,C,0.0,4.83744,4.998161,-0.08486906,12.708243,0.164,0.056,0.01,0.0
2025-11-07,8476891,M. Grzelcyk,D,7.8,4.5184956,4.0030107,0.5224686,11.090257,0.13,0.034,0.0,0.0
2025-11-07,8476917,A. Pelech,D,2.5,5.6869082,4.3968034,0.8417305,11.2717905,0.136,0.03,0.004,0.0
2025-11-07,8476994,V. Hinostroza,C,10.5,3.5245433,4.7257757,-0.24510705,10.98329,0.118,0.048,0.0,0.0
2025-11-07,8477346,M. Weegar,D,6.7,7.36259,5.241262,1.7721498,15.932742,0.28,0.116,0.024,0.004
2025-11-07,8477369,C. Soucy,D,3.1,3.4612432,3.432476,0.2098707,7.9192715,0.056,0.012,0.002,0.0
2025-11-07,8477380,J. Brodzinski,C,1.5,2.3034291,3.3928041,-0.45134753,7.0544004,0.042,0.01,0.0,0.0
2025-11-07,8477407,A. Duclair,L,0.5,5.1514907,5.250397,0.2612415,12.4408,0.164,0.064,0.016,0.002
2025-11-07,8477429,A. Copp,C,5.0,4.569556,4.966715,0.1170735,11.377364,0.146,0.044,0.002,0.0
2025-11-07,8477444,A. Burakovsky,L,21.0,8.375711,7.246356,0.72597414,19.44717,0.402,0.212,0.094,0.036
2025-11-07,8477451,R. Hartman,R,1.3,8.163117,6.6755824,1.3621712,17.610233,0.316,0.154,0.056,0.014
2025-11-07,8477456,J. Compher,L,19.0,4.791439,4.70577,0.19195639,12.695886,0.17,0.052,0.01,0.0
2025-11-07,8477479,T. Bertuzzi,L,23.0,11.369258,8.857814,1.8418523,25.643307,0.538,0.308,0.168,0.106
2025-11-07,8477494,J. Drouin,L,-1.0,6.325581,5.916395,0.77902454,15.3813095,0.242,0.106,0.034,0.006
2025-11-07,8477500,B. Horvat,C,11.5,16.627512,11.029788,3.2006195,31.498486,0.704,0.494,0.32,0.18
2025-11-07,8477504,J. Morrissey,D,11.5,11.147261,7.247785,3.0183272,21.311495,0.502,0.276,0.126,0.058
2025-11-07,8477505,A. Wennberg,C,1.5,6.334996,6.301757,0.665653,14.805987,0.236,0.098,0.052,0.022
2025-11-07,8477506,R. Pulock,D,9.1,6.739113,5.1742015,1.0251781,14.607429,0.272,0.086,0.02,0.0
2025-11-07,8477810,J. Hanley,D,1.0,4.7187853,3.9284577,0.7058829,10.308245,0.106,0.016,0.002,0.0
2025-11-07,8477839,C. Sheary,L,17.8,5.591091,4.9525113,0.4520263,12.912057,0.182,0.044,0.008,0.002
2025-11-07,8477938,H. Fleury,D,2.1,3.8699741,3.4855006,0.7064201,8.723289,0.082,0.02,0.0,0.0
2025-11-07,8477946,D. Larkin,C,7.3,16.389881,10.25458,4.8194046,29.55951,0.742,0.516,0.278,0.166
2025-11-07,8477950,T. DeAngelo,D,4.6,6.166441,4.8555036,0.8153142,13.117588,0.206,0.07,0.018,0.0
2025-11-07,8477987,R. Donato,C,2.8,9.218237,7.824323,1.0682039,21.696611,0.43,0.222,0.132,0.062
2025-11-07,8478136,J. Middleton,D,3.1,4.9066133,3.8707633,0.9901946,10.890469,0.13,0.03,0.004,0.002
