player_id,player_name,position,team,opponent,game_date,expected_fpts,median_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25,p_hat_trick,p_3plus_points,p_5plus_sog,p_3plus_blocks,exp_goals,exp_assists,exp_shots,exp_blocks,n_historical_games,actual_fpts,error
8475784,J. Skinner,L,SJS,WPG,2025-11-07,7.1576,4.5,8.006838217423903,0.0,17.0,0.277,0.1224,0.0644,0.039,0.016,0.0426,0.1012,0.0272,0.275,0.2534,1.8782,0.332,13,2.8,4.357600000000001
8475799,N. Niederreiter,R,WPG,SJS,2025-11-07,7.2407,4.5,8.097130449115909,0.0,17.0,0.266,0.1232,0.0696,0.0392,0.0146,0.0526,0.088,0.0302,0.2336,0.346,1.8006,0.388,13,9.8,2.5593000000000004
8475842,S. Carrick,C,NYR,DET,2025-11-07,6.354019999999999,4.3,7.888386390105394,0.0,14.8,0.2082,0.0982,0.0528,0.031,0.0134,0.0408,0.0782,0.059,0.1572,0.3002,1.6018,0.6264,14,0.0,6.354019999999999
8475906,J. Klingberg,D,SJS,WPG,2025-11-07,6.943979999999999,4.9,7.0085630310071405,0.0,15.8,0.2452,0.1056,0.0492,0.0266,0.0082,0.0364,0.0634,0.158,0.1528,0.311,1.4304,1.2226,8,2.3,4.643979999999999
8476331,D. DeMelo,D,WPG,SJS,2025-11-07,6.6848,4.9,6.759263640367936,0.0,14.7,0.2156,0.0924,0.046,0.0224,0.0056,0.0356,0.0398,0.2404,0.0824,0.3552,1.1012,1.656,13,8.4,1.7152000000000003
8476392,A. Lowry,C,WPG,SJS,2025-11-07,7.016820000000001,4.5,8.37112794595806,0.0,16.5,0.2506,0.1152,0.0632,0.0366,0.0152,0.0494,0.0816,0.0588,0.2176,0.316,1.6388,0.6114,1,11.7,4.683179999999998
8476399,B. Coleman,L,CGY,CHI,2025-11-07,7.841779999999999,5.8,8.027970878846036,0.0,17.8,0.3028,0.1376,0.0732,0.0378,0.0186,0.038,0.1392,0.0446,0.3056,0.165,2.2462,0.5356,15,2.3,5.541779999999999
8476419,J. Pageau,C,NYI,MIN,2025-11-07,6.564939999999999,4.3,7.938371167714444,0.0,15.8,0.2314,0.1068,0.0548,0.0334,0.0146,0.0462,0.0622,0.067,0.2238,0.2992,1.309,0.6858,13,13.8,7.235060000000002
8476429,S. Mayfield,D,NYI,MIN,2025-11-07,5.94272,4.3,6.797473574910019,0.0,12.9,0.1744,0.073,0.0368,0.0204,0.0084,0.029,0.0456,0.1826,0.0956,0.2464,1.185,1.3694,13,3.1,2.8427199999999995
8476456,J. Huberdeau,L,CGY,CHI,2025-11-07,7.67674,5.6,8.272293090334747,0.0,17.9,0.2972,0.1368,0.0756,0.0422,0.0184,0.053,0.0926,0.042,0.2864,0.3188,1.77,0.4958,10,5.5,2.1767399999999997
8476459,M. Zibanejad,C,NYR,DET,2025-11-07,7.78872,5.6,8.268130911010058,0.0,17.5,0.2928,0.1302,0.0726,0.041,0.0158,0.044,0.1416,0.051,0.2396,0.2374,2.2898,0.5834,14,15.0,7.21128
8476460,M. Scheifele,C,WPG,SJS,2025-11-07,10.48652,8.5,9.85812711875841,1.3,24.1,0.423,0.238,0.1444,0.0922,0.0304,0.107,0.1226,0.0368,0.4162,0.5422,2.1006,0.3964,13,4.3,6.186520000000001
8476463,J. Brodin,D,MIN,NYI,2025-11-07,6.03332,4.3,6.29866857181738,0.0,13.3,0.1882,0.0754,0.0362,0.0166,0.0052,0.0244,0.039,0.2212,0.1154,0.2076,1.1164,1.5314,14,16.2,10.16668
8476468,J. Miller,C,NYR,DET,2025-11-07,7.6251,5.0,8.238249327982249,0.0,17.0,0.2796,0.1278,0.0686,0.042,0.0168,0.051,0.1356,0.0388,0.2066,0.318,2.229,0.429,14,1.5,6.1251
8476473,C. Murphy,D,CHI,CGY,2025-11-07,5.55762,4.1,7.078972095975517,0.0,11.5,0.1542,0.0594,0.0298,0.0172,0.009,0.0248,0.0414,0.1514,0.1,0.2204,1.1612,1.2074,14,1.5,4.05762
8476480,V. Namestnikov,C,WPG,SJS,2025-11-07,7.45448,4.5,8.381905029860455,0.0,17.5,0.2884,0.1334,0.0728,0.0426,0.0188,0.044,0.0924,0.049,0.321,0.2268,1.7132,0.5326,13,17.4,9.945519999999998
8476624,B. Goodrow,C,SJS,WPG,2025-11-07,4.999079999999998,2.8,6.973860849887959,0.0,11.5,0.144,0.0608,0.0332,0.0204,0.0108,0.0272,0.0638,0.0532,0.1172,0.1916,1.3528,0.6036,14,2.5,2.4990799999999984
8476871,T. Pearson,L,WPG,SJS,2025-11-07,5.71028,3.0,7.148656819403209,0.0,13.0,0.1892,0.0802,0.0438,0.0244,0.0122,0.0296,0.0704,0.0486,0.188,0.1888,1.4322,0.5966,13,1.6,4.1102799999999995
8476882,T. Teravainen,C,CHI,CGY,2025-11-07,6.487279999999999,4.5,7.899984949454018,0.0,15.0,0.219,0.103,0.0566,0.0376,0.0108,0.0504,0.061,0.0464,0.1718,0.4004,1.3472,0.5486,14,0.0,6.487279999999999
8476891,M. Grzelcyk,D,CHI,CGY,2025-11-07,5.51536,3.0,6.58084675937679,0.0,12.6,0.1582,0.066,0.0346,0.02,0.0074,0.0286,0.0422,0.1402,0.0922,0.2398,1.208,1.1002,14,7.8,2.2846399999999996
8476917,A. Pelech,D,NYI,MIN,2025-11-07,5.897360000000001,4.3,6.633563222763465,0.0,12.8,0.1712,0.0672,0.034,0.0182,0.0064,0.0254,0.0502,0.1832,0.0878,0.225,1.3042,1.3392,13,2.5,3.397360000000001
8476994,V. Hinostroza,C,MIN,NYI,2025-11-07,5.034619999999999,3.0,6.844986446706816,0.0,12.110000000000037,0.1618,0.069,0.037,0.0224,0.0094,0.0324,0.056,0.0362,0.132,0.2474,1.2752,0.4194,15,10.5,5.465380000000001
8477346,M. Weegar,D,CGY,CHI,2025-11-07,6.89122,5.0,7.231554805959781,1.3,14.3,0.2174,0.088,0.0492,0.026,0.01,0.0338,0.059,0.2258,0.1006,0.2812,1.424,1.5984,15,6.7,0.1912199999999995
8477369,C. Soucy,D,NYR,DET,2025-11-07,5.2863,3.0,6.118385923591286,0.0,11.5,0.1456,0.0562,0.0316,0.0164,0.005,0.0266,0.0346,0.1614,0.0836,0.2148,1.072,1.233,10,3.1,2.1862999999999997
8477380,J. Brodzinski,C,NYR,DET,2025-11-07,5.9572400000000005,3.0,7.5522414939142415,0.0,14.5,0.2016,0.0958,0.0508,0.0318,0.014,0.041,0.066,0.0356,0.2038,0.2578,1.4088,0.4278,6,1.5,4.4572400000000005
8477407,A. Duclair,L,NYI,MIN,2025-11-07,6.3465,4.3,7.3751436426689345,0.0,14.5,0.225,0.095,0.0498,0.0268,0.0126,0.0304,0.0844,0.0518,0.2262,0.1786,1.6666,0.589,13,0.5,5.8465
8477429,A. Copp,C,DET,NYR,2025-11-07,5.784439999999999,3.0,7.1662990369088,0.0,13.5,0.1836,0.08,0.0442,0.0276,0.0094,0.0388,0.0554,0.0734,0.1332,0.3044,1.2478,0.7578,14,5.0,0.7844399999999991
8477444,A. Burakovsky,L,CHI,CGY,2025-11-07,7.0918399999999995,4.5,7.979770010119339,0.0,17.0,0.2722,0.131,0.0698,0.0386,0.0158,0.0538,0.069,0.03,0.2828,0.3226,1.533,0.3598,13,21.0,13.90816
8477451,R. Hartman,R,MIN,NYI,2025-11-07,7.81284,5.8,7.995873631717799,1.3,17.0,0.2914,0.1276,0.0698,0.0396,0.016,0.0394,0.1344,0.0596,0.249,0.2192,2.2714,0.6408,15,1.3,6.51284
8477456,J. Compher,L,DET,NYR,2025-11-07,5.433439999999999,3.0,6.924459384414065,0.0,13.0,0.1742,0.0768,0.0412,0.0242,0.0124,0.0334,0.0532,0.0454,0.173,0.2382,1.228,0.5338,14,19.0,13.56656
8477479,T. Bertuzzi,L,CHI,CGY,2025-11-07,7.773479999999999,5.0,8.54847873540082,0.0,18.5,0.3062,0.1476,0.0826,0.0456,0.0188,0.0518,0.1084,0.0234,0.328,0.2824,1.9118,0.2786,13,23.0,15.22652
8477494,J. Drouin,L,NYI,MIN,2025-11-07,6.43006,4.5,7.548716870859576,0.0,14.810000000000038,0.2268,0.099,0.0524,0.0298,0.0122,0.0402,0.078,0.0334,0.1706,0.3528,1.5938,0.4282,12,-1.0,7.43006
8477500,B. Horvat,C,NYI,MIN,2025-11-07,10.0107,8.0,9.664615435184166,1.5,21.5,0.4078,0.2148,0.1262,0.0766,0.0298,0.0796,0.1602,0.0338,0.4158,0.3644,2.422,0.384,13,11.5,1.4893
8477504,J. Morrissey,D,WPG,SJS,2025-11-07,8.24906,6.4,7.455255804893619,1.3,17.1,0.2964,0.13,0.0696,0.038,0.007,0.0504,0.0696,0.2366,0.0894,0.5012,1.5756,1.6472,13,11.5,3.25094
8477505,A. Wennberg,C,SJS,WPG,2025-11-07,7.309359999999999,4.9,8.282692580942504,0.0,16.550000000000182,0.2554,0.1194,0.0698,0.045,0.0168,0.0562,0.0652,0.0956,0.2212,0.3626,1.3774,0.9002,14,1.5,5.809359999999999
8477506,R. Pulock,D,NYI,MIN,2025-11-07,6.559,4.9,7.258412980810612,0.0,14.1,0.204,0.0838,0.0448,0.0262,0.01,0.0362,0.0438,0.2154,0.1014,0.3104,1.1826,1.518,13,9.1,2.5409999999999995
8477810,J. Hanley,D,CGY,CHI,2025-11-07,5.891,4.1,7.263101472511589,0.0,12.6,0.1654,0.0684,0.0398,0.026,0.01,0.0332,0.0304,0.2136,0.1098,0.2412,0.946,1.507,15,1.0,4.891
8477839,C. Sheary,L,NYR,DET,2025-11-07,5.54584,3.0,6.675013310428677,0.0,12.8,0.1768,0.0688,0.0368,0.0212,0.009,0.031,0.0796,0.0438,0.1014,0.276,1.5968,0.5118,14,17.8,12.25416
8477938,H. Fleury,D,WPG,SJS,2025-11-07,5.434259999999999,4.1,6.404117757536943,0.0,12.0,0.1464,0.0596,0.031,0.0176,0.0048,0.0226,0.0428,0.1928,0.0788,0.1802,1.1468,1.4042,12,2.1,3.334259999999999
8477946,D. Larkin,C,DET,NYR,2025-11-07,9.920219999999999,7.8,9.571625627426094,1.3,21.5,0.407,0.216,0.119,0.0714,0.025,0.0886,0.126,0.0436,0.3746,0.4818,2.1108,0.5004,14,7.3,2.620219999999999
8477950,T. DeAngelo,D,NYI,MIN,2025-11-07,6.55008,4.9,6.805497483182254,1.3,14.1,0.215,0.0802,0.0376,0.0198,0.0048,0.0292,0.0752,0.1584,0.0828,0.2788,1.6762,1.2326,13,4.6,1.9500800000000007
8477987,R. Donato,C,CHI,CGY,2025-11-07,7.761119999999998,5.0,8.684131525120977,0.0,18.5,0.2974,0.1446,0.0844,0.0496,0.0198,0.061,0.0958,0.0356,0.309,0.2998,1.831,0.3964,14,2.8,4.961119999999998
8478136,J. Middleton,D,MIN,NYI,2025-11-07,5.9223,4.3,7.423669221483404,0.0,12.6,0.1654,0.0656,0.0362,0.0228,0.0086,0.0258,0.0434,0.23,0.1086,0.175,1.1256,1.584,15,3.1,2.8223
8478397,R. Andersson,D,CGY,CHI,2025-11-07,7.195059999999999,5.6,6.9853582296400525,1.3,15.0,0.246,0.1008,0.0488,0.028,0.0074,0.0316,0.0852,0.191,0.114,0.2422,1.8452,1.4262,15,5.9,1.2950599999999985
8478398,K. Connor,L,WPG,SJS,2025-11-07,11.042979999999998,8.5,9.95951076708088,1.5,23.030000000000108,0.4578,0.2464,0.147,0.0884,0.0308,0.0944,0.1894,0.0274,0.4272,0.4786,2.6618,0.3336,13,4.5,6.542979999999998
8478445,M. Barzal,C,NYI,MIN,2025-11-07,8.06172,5.8,8.461702348913013,0.0,18.3,0.3018,0.1452,0.0758,0.0438,0.0156,0.0564,0.1092,0.059,0.2322,0.4076,1.875,0.6564,12,5.5,2.5617199999999993
8478493,J. Eriksson Ek,C,MIN,NYI,2025-11-07,8.180959999999999,6.0,8.33921084266371,1.3,18.0,0.3052,0.1418,0.0774,0.0438,0.0142,0.0542,0.1474,0.067,0.1806,0.3746,2.3196,0.6722,15,5.5,2.680959999999999
