game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25
2025-11-07,8477369,C. Soucy,D,3.1,3.1672468,2.8691573,0.4386238,7.7827296,0.046,0.0,0.0,0.0
2025-11-07,8477380,J. Brodzinski,C,1.5,2.4185472,2.7829063,-0.09262197,6.4551854,0.032,0.0,0.0,0.0
2025-11-07,8477407,A. Duclair,L,0.5,2.3517919,3.2041461,0.21439783,7.153661,0.046,0.002,0.0,0.0
2025-11-07,8477429,A. Copp,C,5.0,2.816587,3.9430418,0.024266506,6.5679564,0.044,0.014,0.002,0.0
2025-11-07,8477444,A. Burakovsky,L,21.0,11.712143,7.1700377,2.8197932,21.64623,0.574,0.308,0.138,0.038
2025-11-07,8477451,R. Hartman,R,1.3,3.4642503,3.8744533,0.6034291,10.025827,0.104,0.01,0.002,0.0
2025-11-07,8477456,J. Compher,L,19.0,4.3773565,4.1532326,0.50127023,8.672205,0.078,0.034,0.018,0.006
2025-11-07,8477479,T. Bertuzzi,L,23.0,10.712003,6.511388,1.6007166,20.057713,0.442,0.226,0.102,0.04
2025-11-07,8477494,J. Drouin,L,-1.0,3.7937703,3.5322495,1.0404093,9.056041,0.078,0.006,0.0,0.0
2025-11-07,8477500,B. Horvat,C,11.5,15.6050205,8.189977,3.2428486,25.288355,0.786,0.488,0.278,0.106
2025-11-07,8477504,J. Morrissey,D,11.5,12.102539,6.2881126,3.3818872,21.58004,0.63,0.296,0.14,0.026
2025-11-07,8477505,A. Wennberg,C,1.5,14.893602,6.9706917,6.203856,23.295551,0.766,0.484,0.222,0.054
2025-11-07,8477506,R. Pulock,D,9.1,5.5554395,4.03061,0.98555356,11.053419,0.138,0.018,0.002,0.0
2025-11-07,8477810,J. Hanley,D,1.0,6.1633425,3.478592,1.7854834,11.2491,0.172,0.01,0.0,0.0
2025-11-07,8477839,C. Sheary,L,17.8,4.400999,4.2813754,0.35684624,10.921038,0.12,0.03,0.002,0.0
2025-11-07,8477938,H. Fleury,D,2.1,2.8226109,3.2814384,0.81465423,7.6001077,0.056,0.008,0.0,0.0
2025-11-07,8477946,D. Larkin,C,7.3,10.458217,6.512444,0.92342,19.218365,0.416,0.24,0.092,0.022
2025-11-07,8477950,T. DeAngelo,D,4.6,6.9578204,4.751305,1.8859587,13.666777,0.274,0.06,0.008,0.0
2025-11-07,8477987,R. Donato,C,2.8,3.5561638,4.5520964,0.18046597,10.463972,0.108,0.034,0.004,0.0
2025-11-07,8478136,J. Middleton,D,3.1,4.108865,3.3018293,0.7205323,8.770541,0.068,0.0,0.0,0.0
2025-11-07,8478397,R. Andersson,D,5.9,10.368977,5.1688347,2.8529572,17.240208,0.498,0.182,0.04,0.004
2025-11-07,8478398,K. Connor,L,4.5,14.714571,8.021245,3.8430824,26.069763,0.712,0.488,0.278,0.124
2025-11-07,8478445,M. Barzal,C,5.5,11.315955,7.7623587,2.2211864,21.6764,0.546,0.356,0.166,0.062
2025-11-07,8478493,J. Eriksson Ek,C,5.5,6.35877,5.986825,0.65602535,14.531662,0.234,0.09,0.018,0.002
2025-11-07,8478508,Y. Trenin,C,7.0,3.099672,4.10907,-0.16094619,10.8812895,0.122,0.026,0.002,0.0
2025-11-07,8478550,A. Panarin,L,25.5,7.1594486,5.810366,1.591913,15.624976,0.248,0.114,0.04,0.006
2025-11-07,8478840,W. Borgen,D,1.8,3.182355,3.1763926,0.28967702,8.132475,0.064,0.008,0.0,0.0
2025-11-07,8478864,K. Kaprizov,L,15.0,11.930901,7.5509005,1.1464919,21.704771,0.594,0.344,0.16,0.056
2025-11-07,8478874,A. Gaudette,R,1.0,7.0856433,5.4350095,1.7245609,15.234399,0.294,0.106,0.01,0.002
2025-11-07,8478882,V. Gavrikov,D,4.1,5.4272575,4.8912053,1.1881001,13.048,0.172,0.07,0.016,0.002
2025-11-07,8478891,M. Appleton,C,7.3,2.9799442,3.1350038,0.34781593,6.5731907,0.01,0.004,0.004,0.0
2025-11-07,8479066,R. Lomberg,L,0.0,1.5200305,1.5092728,0.38421935,2.6044502,0.002,0.0,0.0,0.0
2025-11-07,8479323,A. Fox,D,5.0,9.688854,6.178734,3.1540945,19.603664,0.444,0.158,0.094,0.034
2025-11-07,8479337,A. DeBrincat,R,4.0,13.969225,8.223026,2.4744327,26.093508,0.712,0.386,0.258,0.116
2025-11-07,8479378,L. Stanley,D,7.1,4.245572,3.023933,0.95002663,8.949753,0.046,0.0,0.0,0.0
2025-11-07,8479390,T. Raddysh,R,9.6,4.1142755,3.8859568,0.46544147,10.0833435,0.102,0.022,0.002,0.0
2025-11-07,8479576,V. Desharnais,D,1.8,4.983777,4.19523,2.206773,11.280487,0.114,0.052,0.016,0.002
2025-11-07,8479983,M. Ferraro,D,6.4,11.787069,6.8408284,3.3176289,20.240005,0.554,0.296,0.112,0.03
2025-11-07,8479992,M. Rasmussen,C,5.1,1.5721854,1.8598024,0.0070416336,4.4888773,0.01,0.006,0.004,0.0
2025-11-07,8480014,G. Vilardi,C,15.6,14.480082,8.146387,2.7025204,25.062984,0.698,0.468,0.272,0.108
2025-11-07,8480028,M. Frost,C,2.5,9.773308,6.0442753,1.8277711,17.345484,0.44,0.188,0.054,0.002
2025-11-07,8480043,T. Liljegren,D,4.6,7.0636024,5.9064345,2.3141277,16.308043,0.248,0.122,0.03,0.002
2025-11-07,8480113,A. Iafallo,L,0.0,2.419971,2.5903325,0.5039121,7.0142374,0.01,0.0,0.0,0.0
2025-11-07,8480145,N. Pionk,D,9.4,5.0561647,3.2588139,1.6970185,9.697288,0.094,0.0,0.0,0.0
2025-11-07,8480797,J. Farabee,L,2.3,8.707287,5.3055663,2.2660575,16.772032,0.396,0.178,0.032,0.002
2025-11-07,8480798,P. Kurashev,C,11.5,16.83118,8.072114,5.947169,28.075928,0.828,0.592,0.356,0.188
2025-11-07,8480848,T. Dellandrea,C,4.5,10.477289,6.586996,2.8250935,19.702148,0.498,0.266,0.096,0.012
2025-11-07,8481014,A. Romanov,D,-0.2,4.25047,2.7962124,1.160214,7.839531,0.03,0.0,0.0,0.0
2025-11-07,8481043,C. Koepke,L,1.0,3.2269826,3.2792287,0.61067814,8.886015,0.054,0.002,0.0,0.0
2025-11-07,8481068,Y. Sharangovich,C,1.0,3.944046,4.505204,0.67578024,11.0019,0.126,0.028,0.002,0.0
2025-11-07,8481167,B. Pachal,D,1.3,3.4797516,2.860389,1.1001084,8.399187,0.05,0.0,0.0,0.0
2025-11-07,8481237,K. MacLean,C,-0.5,0.78477705,1.4171792,-0.28881484,1.891577,0.0,0.0,0.0,0.0
2025-11-07,8481525,M. Robertson,D,2.6,3.78478,3.4312673,0.81764966,9.922642,0.1,0.016,0.0,0.0
2025-11-07,8481542,M. Seider,D,4.5,15.014633,7.423571,4.3844404,25.140882,0.788,0.39,0.218,0.106
2025-11-07,8481557,M. Boldy,L,2.5,9.970512,7.355159,1.9808459,21.57324,0.464,0.288,0.13,0.038
2025-11-07,8481568,A. Vlasic,D,8.9,6.5534487,4.825263,1.7247311,14.039131,0.192,0.07,0.018,0.002
2025-11-07,8481601,S. Holmstrom,R,-0.5,5.5672398,4.0337057,0.7777318,11.486763,0.168,0.024,0.0,0.0
2025-11-07,8481607,A. Johansson,D,1.6,5.1055675,3.4679108,1.4165337,9.123683,0.092,0.014,0.002,0.0
2025-11-07,8481624,I. Mikheyev,R,2.8,3.7190053,4.3845344,0.22436112,8.819107,0.09,0.03,0.008,0.0
2025-11-07,8481704,J. Parssinen,C,0.0,1.6734006,1.9396775,0.038242023,2.9133503,0.008,0.0,0.0,0.0
2025-11-07,8481725,E. Soderblom,L,1.5,2.281766,1.9168416,0.30442637,4.5355887,0.004,0.0,0.0,0.0
2025-11-07,8481806,L. Crevier,D,2.0,2.853874,2.6051362,0.23688716,4.860103,0.014,0.0,0.0,0.0
2025-11-07,8482073,B. Schneider,D,11.2,6.360795,5.263286,1.1630204,14.29604,0.224,0.076,0.014,0.0
2025-11-07,8482074,C. Zary,C,1.5,3.8010473,3.7402902,0.75907135,10.779397,0.13,0.008,0.0,0.0
2025-11-07,8482078,L. Raymond,L,3.0,12.619282,6.7438993,2.6846917,22.043665,0.662,0.292,0.146,0.058
2025-11-07,8482079,M. Rossi,C,11.5,6.133093,5.836204,0.99333763,15.605021,0.232,0.102,0.024,0.002
2025-11-07,8482094,D. Hunt,D,7.5,0.93516076,1.5417566,-0.51316243,3.5454416,0.0,0.0,0.0,0.0
2025-11-07,8482109,A. Lafrenière,L,15.5,4.555111,4.657196,0.61051345,12.114865,0.15,0.046,0.006,0.0
2025-11-07,8482122,B. Faber,D,13.5,9.447628,5.5023723,2.2935843,16.296568,0.416,0.144,0.04,0.004
2025-11-07,8482157,W. Cuylle,L,20.7,6.3913803,4.4740067,1.3526083,12.876254,0.186,0.048,0.004,0.0
2025-11-07,8482165,Y. Kuznetsov,D,6.0,8.690212,4.242378,2.6809416,13.980382,0.286,0.072,0.006,0.0
2025-11-07,8482166,S. Mukhamadullin,D,2.0,8.243256,5.056789,1.9989853,15.22546,0.372,0.108,0.008,0.0
2025-11-07,8482176,W. Kaiser,D,3.1,2.1873791,2.5166328,0.15909712,5.0170054,0.038,0.006,0.002,0.0
2025-11-07,8482206,E. Cardwell,R,1.5,12.221452,8.165775,2.4666445,24.318817,0.56,0.392,0.234,0.092
2025-11-07,8482476,E. Heineman,L,19.5,7.8929825,4.7757044,1.8328971,14.244285,0.312,0.076,0.012,0.0
2025-11-07,8482679,M. Coronato,R,20.3,11.272747,6.3927164,2.2851906,19.726866,0.528,0.28,0.096,0.016
2025-11-07,8482703,C. Dach,C,4.5,2.048162,2.2784083,0.19100021,4.419253,0.03,0.002,0.0,0.0
2025-11-07,8482762,S. Edvinsson,D,7.1,7.5015736,4.7030163,1.9052893,11.605149,0.234,0.064,0.022,0.008
2025-11-07,8482787,N. Chibrikov,R,0.5,1.9608238,2.5195382,0.3418524,6.357873,0.02,0.0,0.0,0.0
2025-11-07,8482877,J. Chmelar,R,0.0,0.6465403,0.8870984,-0.102629706,1.1057427,0.0,0.0,0.0,0.0
2025-11-07,8483450,R. Greene,C,0.0,3.1312332,3.2590494,0.20278448,6.214403,0.058,0.006,0.002,0.0
2025-11-07,8483464,M. Kasper,C,-0.5,4.7511344,4.8639293,0.89376307,12.562158,0.118,0.076,0.048,0.022
2025-11-07,8483493,F. Nazar,C,0.0,8.596977,6.033889,2.1372592,18.053589,0.34,0.18,0.048,0.008
2025-11-07,8483506,S. Rinzel,D,2.5,5.2091875,3.984196,1.6692008,11.218587,0.112,0.044,0.008,0.0
2025-11-07,8483525,D. Yurov,R,12.0,2.0437765,3.1741252,-0.22641659,6.596824,0.06,0.008,0.0,0.0
2025-11-07,8483609,A. Klapka,R,1.3,4.7164826,4.457538,1.294782,10.464959,0.114,0.032,0.002,0.0
2025-11-07,8483690,N. Laba,C,16.1,4.250965,4.0884514,0.3436657,9.683791,0.092,0.028,0.002,0.0
2025-11-07,8484135,P. Ford,C,2.3,6.4033957,5.689843,1.4525867,15.498651,0.258,0.114,0.018,0.0
2025-11-07,8484144,C. Bedard,C,34.0,15.998744,8.293742,3.5360274,27.449665,0.796,0.464,0.262,0.136
2025-11-07,8484180,S. Honzek,L,-0.5,3.4648442,2.4829326,1.3187242,6.491685,0.022,0.002,0.0,0.0
2025-11-07,8484197,O. Moore,C,3.0,2.5333743,2.9487314,-0.027202427,4.9328647,0.026,0.002,0.0,0.0
2025-11-07,8484221,C. Ritchie,C,8.4,2.717136,2.6962318,0.5442062,6.8276696,0.032,0.002,0.0,0.0
2025-11-07,8484223,A. Sandin-Pellikka,D,2.3,4.3940086,3.8667357,1.0362095,8.488909,0.07,0.028,0.01,0.002
2025-11-07,8484227,W. Smith,C,15.5,17.189175,7.938986,6.187712,27.171686,0.812,0.546,0.356,0.184
2025-11-07,8484471,E. Finnie,C,4.1,4.5624065,3.817284,0.56449175,8.042214,0.078,0.032,0.0,0.0
2025-11-07,8484768,Z. Parekh,D,0.0,4.388768,4.044023,1.5586443,10.997487,0.126,0.024,0.002,0.0
2025-11-07,8484783,A. Levshunov,D,5.0,6.3343854,4.2173343,1.5408328,13.220178,0.192,0.054,0.004,0.0
2025-11-07,8484798,Z. Buium,D,2.0,4.008065,4.1141615,1.092587,9.008247,0.088,0.018,0.0,0.0
2025-11-07,8484801,M. Celebrini,C,26.5,21.888578,9.361445,10.293196,35.73763,0.904,0.774,0.566,0.372
2025-11-07,8484911,C. Graf,R,2.8,6.01287,5.2665453,1.4274607,13.675318,0.228,0.08,0.012,0.0
2025-11-07,8485366,M. Schaefer,D,2.3,10.774222,6.5823193,2.5874557,19.964846,0.518,0.236,0.1,0.014
2025-11-08,8470613,B. Burns,D,14.2,7.4194193,5.005701,1.502684,14.313043,0.256,0.094,0.016,0.0
2025-11-08,8471214,A. Ovechkin,L,5.3,6.5531797,5.360376,1.4771442,14.08619,0.152,0.09,0.046,0.004
2025-11-08,8471215,E. Malkin,C,2.5,6.6048694,5.4444613,0.8767015,15.402282,0.262,0.11,0.022,0.0
2025-11-08,8471675,S. Crosby,C,10.0,10.586586,7.2272253,1.5245129,20.565065,0.468,0.25,0.116,0.042
2025-11-08,8471724,K. Letang,D,5.3,5.669201,4.053225,1.2441812,11.040876,0.144,0.02,0.0,0.0
2025-11-08,8471817,R. Reaves,R,4.8,1.4248481,1.5701525,0.24003652,2.374891,0.012,0.002,0.0,0.0
2025-11-08,8473419,B. Marchand,L,14.5,14.357759,7.6304674,4.249265,24.686243,0.77,0.484,0.262,0.096
2025-11-08,8473507,J. Petry,D,1.5,2.4580064,2.9664266,0.39972684,7.605088,0.044,0.002,0.0,0.0
2025-11-08,8473512,C. Giroux,R,6.3,5.0366564,4.6702285,1.0097039,12.612364,0.162,0.064,0.006,0.0
2025-11-08,8473533,J. Staal,C,9.0,2.0906897,3.5767183,-0.35994846,8.976174,0.08,0.018,0.0,0.0
