statistic,yoy_correlation,regression_weight,shrinkage_factor,n_pairs,p_value,ci_lower,ci_upper,y1_mean,y2_mean,y1_std,y2_std
pp_assists_pg,0.8934995956061091,0.8934995956061091,0.10650040439389086,588,6.594046350777714e-206,0.8759238676043681,0.9087068336416987,0.0039281933620314135,0.003423782890404877,0.05456160680703597,0.03833724650357759
hits_per60,0.8737647008173042,0.8737647008173042,0.12623529918269583,588,1.3417510215565679e-185,0.8531846536466325,0.8916286118300016,4.7773662333130265,4.80406445182791,3.587773027335331,3.481695854650181
blocks_pg,0.863072577592683,0.863072577592683,0.13692742240731703,588,5.6302353033245945e-176,0.8408974117235501,0.8823545617802673,0.7267500594486441,0.7673917124494725,0.49051793773367136,0.5267857563458449
toi_per_game,0.8627134339828368,0.8627134339828368,0.13728656601716316,588,1.1468167248402102e-175,0.8404850852581154,0.8820427903975201,1005.8766302666045,1015.6080153193269,218.78435236390612,225.13305838902497
hits_pg,0.8612986828539764,0.8612986828539764,0.13870131714602363,588,1.8540247697240784e-174,0.83886108477077,0.8808144849209543,1.2371352626154923,1.258257773808142,0.782809496158697,0.7869250905498856
shots_pg,0.8427368781677649,0.8427368781677649,0.15726312183223512,588,9.643785861290554e-160,0.8175908226042075,0.8646745121311311,1.710297280212113,1.8174889253440656,0.6837039251343403,0.7806805903230474
blocks_per60,0.8242557108979898,0.8242557108979898,0.17574428910201023,588,7.074705350201269e-147,0.7964809269693094,0.8485595298248276,2.5154661367054456,2.626002951567188,1.426435513274194,1.5057948735136626
shots_per60,0.8233235461803744,0.8233235461803744,0.1766764538196256,588,2.8728468724226917e-146,0.7954179633981192,0.8477455159537666,6.14356217267468,6.463513244183419,2.092445858251818,2.3569610887948995
pp_assists_per60,0.8133541662186938,0.8133541662186938,0.18664583378130617,588,5.635378422064969e-140,0.7840604332152005,0.8390325433828417,0.010812854781933563,0.010882606454215947,0.13029850041850108,0.10783939704533421
dk_fpts_pg,0.8102780618258616,0.8102780618258616,0.1897219381741384,588,4.136174101440437e-138,0.7805599636103946,0.8363414485635209,6.520588909694149,6.962594096680847,2.6859611881620857,3.096354149036179
assists_pg,0.7293054624980966,0.7293054624980966,0.2706945375019034,588,1.1672181403653374e-98,0.6890822143766075,0.7650488811467733,0.2828256492024673,0.3019688934190151,0.18038312745595322,0.19191843699342978
goals_pg,0.7157258230096013,0.7157258230096013,0.2842741769903987,588,1.9982571429356737e-93,0.6738652883299201,0.7530062373832765,0.16781993944167534,0.17918071564912516,0.1279248994189669,0.14558387024507993
goals_per60,0.6685783226425845,0.6685783226425845,0.33142167735741546,588,2.0459949080427387e-77,0.621307500056722,0.7110002947449535,0.6102988797004997,0.6369748403187588,0.43660167147328355,0.47274916267914446
pp_goals_pg,0.6466389398707146,0.6466389398707146,0.35336106012928536,588,6.273703942702258e-71,0.596994682737161,0.6913496899759982,0.033081948145258944,0.03599323195815297,0.04947995870721966,0.05345897659459859
pim_pg,0.6428678180158355,0.6428678180158355,0.3571321819841645,588,7.2294216060892e-70,0.5928247598042238,0.6879653071067154,0.43845459196128533,0.4779672930821795,0.302878187270282,0.3486351603038117
assists_per60,0.6346756567850258,0.6346756567850258,0.3653243432149742,588,1.3015375609359297e-67,0.5837755034532627,0.6806065099326146,0.9821848455403952,1.029617762889632,0.5194262083203554,0.539343546628469
pp_goals_per60,0.6159912140442546,0.6159912140442546,0.3840087859557454,588,1.0271114085994467e-62,0.5631834279885803,0.6637880355066865,0.11250769158594762,0.12001959112967395,0.16450795818635494,0.17323406144104503
