Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5055285222,Firedog50 (3/5),0,144.5,C Matty Beniers C Andrew Copp D Moritz Seider D Mattias Ekholm G Ilya Sorokin UTIL Evan Bouchard W Alex DeBrincat W Jared McCann W Patrick Kane,,Mikael Granlund,C,28.24%,3
2,5055404043,FantasySultan,0,144.2,C Matty Beniers C Fraser Minten D Rasmus Dahlin D Mason Lohrei G Joey Daccord UTIL Tage Thompson W Alex Tuch W Jared McCann W Jordan Eberle,,Beckett Sennecke,UTIL,27.06%,4.5
3,5055845755,ejamiec,0,141.2,C Sebastian Aho C Sam Bennett D Shayne Gostisbehere D Jake Walman G John Gibson UTIL Matthew Tkachuk W Andrei Svechnikov W Kasperi Kapanen W Sandis Vilmanis,,Connor McDavid,C,22.35%,16.5
4,5055838276,dukedog71,0,138.9,C Connor McDavid C Pavel Buchnevich D Evan Bouchard D Mason Lohrei G Ilya Sorokin UTIL Zach Hyman W Ben Kindel W Anthony Mantha W Justin Brazeau,,Alex DeBrincat,UTIL,21.18%,36.8
5,5055860279,oshevach (2/2),0,137.9,C Connor McDavid C Brayden Schenn D Evan Bouchard D Colton Parayko G Ilya Sorokin UTIL Jack Quinn W Zach Hyman W Jimmy Snuggerud W Jonatan Berggren,,Ilya Sorokin,G,18.82%,16.5
6,5055825674,vishy2773 (5/5),0,132.7,C Elias Pettersson C Brayden Schenn D Darren Raddysh D Filip Hronek G Nikita Tolopilo UTIL Jonatan Berggren W Nikita Kucherov W Brandon Hagel W Jimmy Snuggerud,,Justin Brazeau,W,18.24%,3
7,5055285220,Firedog50 (1/5),0,131.90001,C Connor McDavid C Mikael Granlund D Moritz Seider D Mattias Ekholm G Ilya Sorokin UTIL Alex DeBrincat W Viktor Arvidsson W Anthony Mantha W Justin Brazeau,,Moritz Seider,D,17.06%,10.8
8,5055422274,ekim8,0,130.1,C Dylan Larkin C Mikael Granlund D Darren Raddysh D Jacob Trouba G Alex Lyon UTIL Alex DeBrincat W Beckett Sennecke W Alex Killorn W Marco Kasper,,Cutter Gauthier,UTIL,14.71%,6
9,5055544354,MFedorak1982 (3/5),0,129.3,C Anthony Cirelli C Fraser Minten D Darren Raddysh D Mattias Ekholm G Andrei Vasilevskiy UTIL Jimmy Snuggerud W Nikita Kucherov W Brandon Hagel W Justin Brazeau,,Dylan Larkin,C,14.12%,6.5
10,5055285223,Firedog50 (4/5),0,128.90001,C Pavel Zacha C Andrew Copp D Moritz Seider D Charlie McAvoy G Ilya Sorokin UTIL Alex DeBrincat W David Pastrnak W Viktor Arvidsson W Anthony Mantha,,Matty Beniers,C,14.12%,10
