Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
22,5049016045,FatsoFat6969,0,118.70001,C Nick Suzuki C Erik Haula D Erik Karlsson D Mike Matheson G Connor Hellebuyck UTIL Kirill Kaprizov W Cole Caufield W Rickard Rakell W Kirby Dach,,Nikolaj Ehlers,W,11.31%,5.8
22,5048985705,CosaSpeciale (4/5),0,118.700005,C Connor Bedard C Joel Eriksson Ek D Mattias Ekholm D Artyom Levshunov G Filip Gustavsson UTIL Andre Burakovsky W Kirill Kaprizov W Mats Zuccarello W Ryan Greene,,Roope Hintz,C,10.71%,3
24,5048796028,Firedog50 (4/5),0,118.4,C Connor McDavid C Ryan O'Reilly D Mattias Ekholm D Esa Lindell G Spencer Knight UTIL Jake Walman W Zach Hyman W Steven Stamkos W Luke Evangelista,,Evan Bouchard,D,10.71%,12.3
25,5048886881,gordylamb,0,117.8,C Roope Hintz C Ryan Hartman D Thomas Harley D Mike Matheson G James Reimer UTIL Kirill Kaprizov W Juraj Slafkovsky W Mats Zuccarello W Mavrik Bourque,,Jack Eichel,C,9.52%,19.5
26,5049246368,NYMicky,0,114.1,C Sebastian Aho C Ryan O'Reilly D Darnell Nurse D Jake Walman G Filip Gustavsson UTIL Ryan Hartman W Seth Jarvis W Mats Zuccarello W Boone Jenner,,Jason Robertson,W,9.52%,3
27,5049117831,nolt0032 (4/5),0,113.9,C Joel Eriksson Ek C Matt Duchene D Quinn Hughes D Kaedan Korczak G Connor Hellebuyck UTIL Marco Kasper W Kirill Kaprizov W Wyatt Johnston W Vladimir Tarasenko,,Jack Roslovic,W,9.52%,1.3
28,5049381385,Bears21 (3/3),0,113.4,C Ryan Hartman C Matt Duchene D Mattias Samuelsson D Alexander Nikishin G Tristan Jarry UTIL Evgeni Malkin W Kirill Kaprizov W Wyatt Johnston W Mats Zuccarello,,Lane Hutson,D,9.52%,6
29,5049276142,drscoopy007,0,113.200005,C Ryan Hartman C Logan Stankoven D Brock Faber D Esa Lindell G Akira Schmid UTIL Kirill Kaprizov W Zach Hyman W Jackson Blake W Taylor Hall,,Andrei Svechnikov,W,9.52%,4.3
30,5048965691,knickskid21,0,113.100006,C Roope Hintz C Noah Ostlund D Quinn Hughes D Alexander Nikishin G Filip Gustavsson UTIL Kirill Kaprizov W Filip Forsberg W Mavrik Bourque W Konsta Helenius,,Luke Evangelista,W,8.93%,11.3
31,5049099033,supremexjp,0,110.7,C Jack Eichel C Mitch Marner D Wyatt Kaiser D Mason Lohrei G Spencer Knight UTIL Tomas Hertl W Mark Stone W Pavel Dorofeyev W Egor Chinakhov,,K'Andre Miller,D,8.93%,1.5
32,5048831940,OneDropKing (1/5),0,109.9,C Nick Suzuki C Adam Fantilli D Zach Werenski D Damon Severson G Arturs Silovs UTIL Ryan Shea W Cole Caufield W Evgeni Malkin W Ivan Demidov,,Pavel Dorofeyev,W,8.33%,15.8
33,5049227375,jeffank85 (2/3),0,106.7,C Adam Fantilli C Tommy Novak D Zach Werenski D Louis Crevier G Filip Gustavsson UTIL Mats Zuccarello W Kirill Marchenko W Wyatt Johnston W Egor Chinakhov,,Jackson Blake,W,8.33%,13
34,5049106483,Rickyk07,0,106.299995,C Adam Fantilli C Jonathan Toews D Quinn Hughes D Josh Morrissey G Juuse Saros UTIL Ryan Hartman W Mats Zuccarello W Mason Marchment W Vladimir Tarasenko,,Casey DeSmith,G,7.74%,11.2
35,5049381516,johnbon12,0,105.8,C Dylan Larkin C Shane Pinto D Jake Sanderson D Simon Edvinsson G Cam Talbot UTIL Patrick Kane W Lucas Raymond W Drake Batherson W Steven Stamkos,,Mark Stone,W,7.74%,6.3
36,5049132857,THE_PHANTOM_1 (1/5),0,105.1,C Sidney Crosby C Adam Fantilli D Charlie McAvoy D Ryan Shea G Arturs Silovs UTIL Bryan Rust W Rickard Rakell W Evgeni Malkin W Ryan Greene,,Adam Fantilli,C,7.74%,4.3
37,5049000332,hawkeyemcnutt (1/2),0,104.2,C Jack Eichel C Tomas Hertl D Alexandre Carrier D Hampus Lindholm G Spencer Knight UTIL Matt Savoie W Mark Stone W Pavel Dorofeyev W Juraj Slafkovsky,,Ivan Demidov,W,7.14%,4.3
38,5049091073,timribz,0,102.200005,C Ryan McLeod C Matt Duchene D Quinn Hughes D Alexander Nikishin G Daniil Tarasov UTIL Drake Batherson W Kirill Kaprizov W Matthew Tkachuk W Jack Quinn,,Logan Stankoven,C,7.14%,9.5
