Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5053734490,cmiller0624,0,209.00002,C Leon Draisaitl C Mikael Granlund D Mattias Ekholm D Braden Schneider G Ilya Sorokin UTIL Alex Killorn W Zach Hyman W J.T. Miller W Beckett Sennecke,,Connor McDavid,C,45.86%,18
2,5053387808,maddog2388,0,195.40002,C Connor McDavid C Mikael Granlund D Mattias Ekholm D Pavel Mintyukov G Andrei Vasilevskiy UTIL Vincent Trocheck W J.T. Miller W Beckett Sennecke W Alex Killorn,,Ilya Sorokin,G,37.59%,24.7
3,5053706086,hitman41,0,192.50002,C Anthony Cirelli C Mikael Granlund D Mattias Ekholm D Radko Gudas G Andrei Vasilevskiy UTIL Beckett Sennecke W Nikita Kucherov W Brandon Hagel W Alex Killorn,,Viktor Arvidsson,W,31.14%,0
4,5053616639,Gooser734,0,186.40001,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Mattias Ekholm G Joonas Korpisalo UTIL Jake Walman W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Leon Draisaitl,C,27.63%,24.5
5,5053587156,fourfororr,0,183.19998,C Connor McDavid C Noah Laba D Jackson LaCombe D Tony DeAngelo G Ilya Sorokin UTIL Mikael Granlund W Zach Hyman W Beckett Sennecke W Jonathan Drouin,,Evan Bouchard,D,26.93%,9.1
6,5053526647,Kickandroll,0,182.40001,C Leon Draisaitl C Mathew Barzal D Charlie McAvoy D Tony DeAngelo G Andrei Vasilevskiy UTIL Mikael Granlund W Morgan Geekie W Anthony Duclair W Kasperi Kapanen,,Pavel Zacha,C,26.37%,3
7,5053228532,olrat14,0,181.6,C Leon Draisaitl C Mikael Granlund D Darnell Nurse D J.J. Moser G Ilya Sorokin UTIL Connor McDavid W Beckett Sennecke W Alex Killorn W Kasperi Kapanen,,Zach Hyman,W,25.53%,20.6
8,5053702155,Clippy,0,179.6,C Anthony Cirelli C Elias Lindholm D Cam York D Mattias Ekholm G Andrei Vasilevskiy UTIL Ryan Poehling W David Pastrnak W Jake Guentzel W Beckett Sennecke,,Morgan Geekie,W,23.28%,15.8
9,5053758596,babyhuey621,0,178.09999,C Elias Lindholm C Mikael Granlund D Vladislav Gavrikov D Mattias Ekholm G Ilya Sorokin UTIL Connor McDavid W Ryan Nugent-Hopkins W Morgan Geekie W Oliver Bjorkstrand,,Charlie McAvoy,D,20.20%,8
10,5053565935,CitadelGrad2012,0,175.9,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Hampus Lindholm G Ilya Sorokin UTIL Matthew Schaefer W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Elias Lindholm,C,19.64%,25.6
11,5053263641,fraz27,0,175.30002,C Leon Draisaitl C Mikael Granlund D Braden Schneider D Scott Morrow G Andrei Vasilevskiy UTIL Alex Killorn W Zach Hyman W J.T. Miller W Beckett Sennecke,,Mattias Ekholm,D,18.09%,40.1
11,5053170180,bigbabyperm,0,175.3,C Connor McDavid C Mikael Granlund D Charlie McAvoy D Scott Morrow G Andrei Vasilevskiy UTIL Mattias Ekholm W J.T. Miller W Beckett Sennecke W Viktor Arvidsson,,David Pastrnak,W,17.95%,22.3
11,5053749647,wescheatsinpool,0,175.3,C Leon Draisaitl C Elias Lindholm D Evan Bouchard D Mattias Ekholm G Ilya Sorokin UTIL Chris Kreider W Morgan Geekie W Will Cuylle W Anthony Duclair,,Joonas Korpisalo,G,16.69%,4.8
14,5053753887,Delivery22,0,174.59999,C Leon Draisaitl C Elias Lindholm D Mikhail Sergachev D Matthew Robertson G Ilya Sorokin UTIL Mikael Granlund W Zach Hyman W Morgan Geekie W Marat Khusnutdinov,,Andrei Vasilevskiy,G,16.27%,29.6
15,5053286288,Robd1960,0,174.1,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Jake Walman G Andrei Vasilevskiy UTIL Pavel Zacha W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Casey Mittelstadt,W,15.57%,1.5
16,5053529462,dgreenough,0,173.4,C Connor McDavid C Mikael Granlund D Tony DeAngelo D Cam York G Ilya Sorokin UTIL Zach Hyman W Beckett Sennecke W Viktor Arvidsson W Casey Mittelstadt,,Ryan Nugent-Hopkins,W,15.57%,6.5
17,5053747251,Wgardner2013,0,173.2,C Connor McDavid C Elias Lindholm D Darnell Nurse D Braden Schneider G Andrei Vasilevskiy UTIL Mattias Ekholm W J.T. Miller W Beckett Sennecke W Viktor Arvidsson,,Anthony Cirelli,C,15.29%,10
17,5053747293,jander2000,0,173.2,C Connor McDavid C Elias Lindholm D Darnell Nurse D Mattias Ekholm G Andrei Vasilevskiy UTIL Braden Schneider W J.T. Miller W Beckett Sennecke W Viktor Arvidsson,,Hampus Lindholm,D,15.01%,9.9
19,5053343964,LBDTitan,0,172.70001,C Anthony Cirelli C Mikael Granlund D Travis Sanheim D J.J. Moser G Andrei Vasilevskiy UTIL Alex Killorn W Nikita Kucherov W Brandon Hagel W Beckett Sennecke,,Tristan Jarry,G,14.59%,20.2
20,5053550612,madnkrazy,0,170.9,C Connor McDavid C Mikael Granlund D Mattias Ekholm D Olen Zellweger G Karel Vejmelka UTIL Michael Carcone W Zach Hyman W Cutter Gauthier W Chris Kreider,,Mikael Granlund,C,14.31%,43.3
21,5053289291,sportsbabe50,0,170.5,C Anthony Cirelli C Mikael Granlund D Jacob Trouba D Tony DeAngelo G Andrei Vasilevskiy UTIL Charlie McAvoy W Jake Guentzel W Travis Konecny W Morgan Geekie,,Nikita Kucherov,W,13.32%,27.4
22,5053285473,stupacjmu,0,168.59999,C Connor McDavid C Mikael Granlund D J.J. Moser D Andrew Peeke G Ilya Sorokin UTIL Zach Hyman W Ryan Nugent-Hopkins W Beckett Sennecke W Alex Killorn,,J.J. Moser,D,13.18%,19
22,5053489303,MillionDollarPoker,0,168.59999,C Leon Draisaitl C Elias Lindholm D Darnell Nurse D Ian Cole G Tristan Jarry UTIL Mattias Ekholm W David Pastrnak W Morgan Geekie W Kasperi Kapanen,,Beckett Sennecke,W,13.04%,23.5
24,5053439608,dougcaplinger,0,167.7,C Elias Lindholm C Mikael Granlund D Darren Raddysh D Charlie McAvoy G Ilya Sorokin UTIL Vincent Trocheck W J.T. Miller W Trevor Zegras W Beckett Sennecke,,Kasperi Kapanen,W,12.34%,4.5
24,5053742705,StChicken,0,167.7,C Bo Horvat C Mikael Granlund D Charlie McAvoy D Mattias Ekholm G Ilya Sorokin UTIL Beckett Sennecke W David Pastrnak W Emil Heineman W Marat Khusnutdinov,,Darren Raddysh,D,12.06%,14.3
26,5053295742,bwireman89,0,167.3,C Mathew Barzal C Elias Lindholm D Charlie McAvoy D Mattias Ekholm G Ilya Sorokin UTIL Pavel Zacha W David Pastrnak W Morgan Geekie W Anthony Duclair,,Mika Zibanejad,C,11.36%,9.5
26,5053728101,bdcook2,0,167.3,C Mikael Granlund C Pavel Zacha D Charlie McAvoy D Mattias Ekholm G Joonas Korpisalo UTIL Beckett Sennecke W David Pastrnak W Ryan Nugent-Hopkins W Morgan Geekie,,J.T. Miller,W,11.22%,11.3
28,5053300400,titanhawks,0,167.1,C Connor McDavid C Elias Lindholm D Charlie McAvoy D Mattias Ekholm G Andrei Vasilevskiy UTIL Chris Kreider W J.T. Miller W Beckett Sennecke W Bobby Brink,,Brandon Hagel,W,10.94%,7.3
28,5053605850,Brady69Gronk,0,167.09999,C Connor McDavid C Mikael Granlund D Jackson LaCombe D Hampus Lindholm G Ilya Sorokin UTIL Morgan Geekie W Cutter Gauthier W Beckett Sennecke W Kasperi Kapanen,,Jake Walman,D,9.96%,3
30,5053741135,deznuts5,0,166.2,C Connor McDavid C Elias Lindholm D Mattias Ekholm D Hampus Lindholm G Ilya Sorokin UTIL Bobby Brink W Zach Hyman W Morgan Geekie W Anthony Duclair,,Matvei Michkov,W,9.40%,6
31,5053220228,krisnegus,0,165.90001,C Mikael Granlund C Barrett Hayton D Jake Walman D Mattias Ekholm G Ilya Sorokin UTIL Connor McDavid W Clayton Keller W Beckett Sennecke W Lawson Crouse,,Jake Guentzel,UTIL,9.40%,6.5
32,5053637713,remy19,0,165.5,C Leon Draisaitl C Elias Lindholm D Mattias Ekholm D Braden Schneider G Tristan Jarry UTIL Vincent Trocheck W J.T. Miller W Morgan Geekie W Vasily Podkolzin,,Fraser Minten,C,9.26%,0
33,5053208086,Dmerkel1980,0,165.20001,C Connor McDavid C Pavel Zacha D Tony DeAngelo D Mattias Ekholm G Andrei Vasilevskiy UTIL Beckett Sennecke W Zach Hyman W Viktor Arvidsson W Casey Mittelstadt,,Vincent Trocheck,C,9.26%,15.5
34,5053267311,bdalton61,0,164,C Elias Lindholm C Mikael Granlund D Jacob Trouba D Jackson LaCombe G Ville Husso UTIL Clayton Keller W Cutter Gauthier W Morgan Geekie W Beckett Sennecke,,Artemi Panarin,W,8.27%,8
35,5053386307,jcrac13,0,163.2,C Connor McDavid C Mikael Granlund D Hampus Lindholm D Radko Gudas G Tristan Jarry UTIL Tony DeAngelo W David Pastrnak W Will Cuylle W Alexis Lafreniere,,Chris Kreider,W,7.85%,11
36,5053201975,shrineUSC,0,163.00002,C Elias Lindholm C Dominic James D Darren Raddysh D Mattias Ekholm G Andrei Vasilevskiy UTIL Gage Goncalves W David Pastrnak W Jake Guentzel W Morgan Geekie,,Mason Lohrei,D,7.57%,9.1
37,5053574067,jlvfla,0,162.90001,C Pavel Zacha C Dominic James D Mattias Ekholm D J.J. Moser G Andrei Vasilevskiy UTIL Cutter Gauthier W Nikita Kucherov W Jake Guentzel W Morgan Geekie,,Cam York,D,7.01%,12.9
37,5053351889,jamesd19,0,162.9,C Vincent Trocheck C Mikael Granlund D Jacob Trouba D Jake Walman G Ilya Sorokin UTIL Leon Draisaitl W Beckett Sennecke W Viktor Arvidsson W Vasily Podkolzin,,Vladislav Gavrikov,D,7.01%,2.6
39,5053599143,Thechamp1995,0,162.7,C Connor McDavid C Elias Lindholm D Mattias Ekholm D Travis Sanheim G Joonas Korpisalo UTIL Mikael Granlund W David Pastrnak W Vasily Podkolzin W Kasperi Kapanen,,Barrett Hayton,UTIL,6.87%,10.5
40,5053113573,hrich00,0,160.8,C Connor McDavid C Elias Lindholm D Mattias Ekholm D Will Borgen G Ilya Sorokin UTIL Pavel Zacha W Zach Hyman W Morgan Geekie W Viktor Arvidsson,,Anthony Duclair,W,6.59%,11.5
41,5053534939,jusplay25,0,160.59999,C Elias Lindholm C Barrett Hayton D Charlie McAvoy D Jackson LaCombe G Ville Husso UTIL Mikael Granlund W David Pastrnak W Cutter Gauthier W Beckett Sennecke,,Trevor Zegras,W,6.45%,1.5
42,5053704202,62caddyconvert,0,160.5,C Vincent Trocheck C Mikael Granlund D Evan Bouchard D Charlie McAvoy G Andrei Vasilevskiy UTIL Leon Draisaitl W Chris Kreider W Alex Killorn W Gabe Perreault,,Andrew Peeke,D,6.45%,3
42,5053750541,hawksfan88,0,160.5,C Connor McDavid C Vincent Trocheck D Andrew Peeke D Matthew Robertson G Andrei Vasilevskiy UTIL Mattias Ekholm W Artemi Panarin W Beckett Sennecke W Alex Killorn,,Cutter Gauthier,W,6.45%,15.5
44,5053673595,UCF7,0,159.6,C Anthony Cirelli C Mikael Granlund D Darren Raddysh D J.J. Moser G Andrei Vasilevskiy UTIL Matt Savoie W Nikita Kucherov W Jake Guentzel W Oliver Bjorkstrand,,Vasily Podkolzin,UTIL,6.31%,1.5
45,5053560554,budaman3195,0,159.5,C Leon Draisaitl C Mikael Granlund D Sean Durzi D J.J. Moser G Andrei Vasilevskiy UTIL Jake Walman W Nikita Kucherov W Vasily Podkolzin W Zemgus Girgensons,,Gabe Perreault,W,5.89%,9.5
46,5053440634,dawncats,0,159.1,C Mika Zibanejad C Mikael Granlund D Darren Raddysh D Mattias Ekholm G Andrei Vasilevskiy UTIL Jake Guentzel W Morgan Geekie W Viktor Arvidsson W Bobby Brink,,Jamie Drysdale,D,5.75%,2.8
47,5053495980,getbos,0,158.9,C Connor McDavid C Mikael Granlund D Charlie McAvoy D Jamie Drysdale G Andrei Vasilevskiy UTIL Elias Lindholm W Zach Hyman W Chris Kreider W Max Shabanov,,Christian Dvorak,C,5.75%,2.8
48,5053346883,prettihunter3,0,158.7,C Anthony Cirelli C Mikael Granlund D Vladislav Gavrikov D Hampus Lindholm G Ilya Sorokin UTIL Alex Killorn W Nikita Kucherov W Brandon Hagel W Beckett Sennecke,,Bobby Brink,W,5.75%,0
49,5053716239,cheeseisgood,0,157.8,C Anthony Cirelli C Mikael Granlund D Travis Sanheim D Pavel Mintyukov G Andrei Vasilevskiy UTIL Beckett Sennecke W Nikita Kucherov W Brandon Hagel W Alex Killorn,,Marat Khusnutdinov,UTIL,5.61%,3
50,5053241684,felixr,0,157,C Leon Draisaitl C Anthony Cirelli D Cam York D Mattias Ekholm G Andrei Vasilevskiy UTIL Pavel Zacha W Nikita Kucherov W Oliver Bjorkstrand W Matt Savoie,,Max Shabanov,UTIL,5.61%,0
51,5053730128,hillbillykane,0,156.7,C Connor McDavid C Leon Draisaitl D Hampus Lindholm D Olen Zellweger G Ilya Sorokin UTIL Mikael Granlund W Morgan Geekie W Will Cuylle W Marat Khusnutdinov,,Samuel Ersson,G,5.33%,-0.7
52,5053563599,LushyLeanPocket,0,156.6,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Nate Schmidt G Ville Husso UTIL Cutter Gauthier W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Michael Carcone,UTIL,5.19%,6
52,5053201885,Jimbobwae42,0,156.59999,C Anthony Cirelli C Mikael Granlund D Charlie McAvoy D Tony DeAngelo G Ilya Sorokin UTIL Jake Walman W Nikita Kucherov W J.T. Miller W Calum Ritchie,,Travis Konecny,W,5.05%,1.5
54,5053402435,Tony2Hands,0,156.5,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Jackson LaCombe G Joonas Korpisalo UTIL Lawson Crouse W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Tony DeAngelo,D,5.05%,28.9
55,5053488109,jmerling26,0,156.09999,C Connor McDavid C Leon Draisaitl D Scott Morrow D Andrew Peeke G Ilya Sorokin UTIL Mattias Ekholm W J.T. Miller W Beckett Sennecke W Gabe Perreault,,Oliver Bjorkstrand,W,5.05%,1.5
56,5053654150,zeke-24,0,155.8,C Connor McDavid C Pavel Zacha D Mattias Ekholm D Braden Schneider G Andrei Vasilevskiy UTIL Viktor Arvidsson W Zach Hyman W Beckett Sennecke W Alex Killorn,,Darnell Nurse,D,5.05%,14.1
57,5053502999,dlpwaldo,0,155.3,C Anthony Cirelli C Barrett Hayton D Mattias Ekholm D J.J. Moser G Ilya Sorokin UTIL Dylan Guenther W Nikita Kucherov W Brandon Hagel W Kasperi Kapanen,,Alexis Lafreniere,W,4.91%,6.3
58,5053599833,Vbahn,0,155.20001,C Anthony Cirelli C Mikael Granlund D Darren Raddysh D J.J. Moser G Andrei Vasilevskiy UTIL Brandon Hagel W Nikita Kucherov W Alex Steeves W Casey Mittelstadt,,Alex Killorn,W,4.63%,10
59,5053706191,BlitzKing,0,155.1,C Mika Zibanejad C Mikael Granlund D Jackson LaCombe D Vladislav Gavrikov G Ilya Sorokin UTIL Casey Mittelstadt W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Travis Sanheim,UTIL,4.63%,2.6
60,5053402477,sal-tee-17,0,154.59999,C Connor McDavid C Leon Draisaitl D Scott Morrow D Andrew Peeke G Ilya Sorokin UTIL Mattias Ekholm W J.T. Miller W Beckett Sennecke W Matt Savoie,,Mikhail Sergachev,D,4.63%,4.3
60,5053742409,Troysinger,0,154.59999,C Connor McDavid C Leon Draisaitl D Scott Morrow D Andrew Peeke G Ilya Sorokin UTIL Mattias Ekholm W J.T. Miller W Beckett Sennecke W Matt Savoie,,Radko Gudas,D,4.63%,1.3
62,5053240853,countryclub22,0,154.1,C Elias Lindholm C Mikael Granlund D Evan Bouchard D Jake Walman G Andrei Vasilevskiy UTIL Olen Zellweger W Cutter Gauthier W Kevin Fiala W Beckett Sennecke,,Denver Barkey,UTIL,4.35%,1.5
62,5053571553,watershed1,0,154.1,C Anthony Cirelli C Mikael Granlund D Darren Raddysh D Charlie McAvoy G Andrei Vasilevskiy UTIL Owen Tippett W Nikita Kucherov W Chris Kreider W Kasperi Kapanen,,Matt Savoie,W,4.21%,8
64,5053285852,Reido8,0,153.3,C Mika Zibanejad C Mikael Granlund D Tony DeAngelo D Rasmus Ristolainen G Ilya Sorokin UTIL Christian Dvorak W Artemi Panarin W J.T. Miller W Beckett Sennecke,,Owen Tippett,W,4.21%,6
65,5053570062,bjones58,0,152.6,C Anthony Cirelli C Mikael Granlund D Charlie McAvoy D Mattias Ekholm G Ilya Sorokin UTIL Mika Zibanejad W Cutter Gauthier W Travis Konecny W Viktor Arvidsson,,Jackson LaCombe,D,4.07%,11.9
66,5053571513,Dumpsterfire24,0,151.2,C Elias Lindholm C Fraser Minten D Jake Walman D Mattias Ekholm G Ilya Sorokin UTIL Leon Draisaitl W David Pastrnak W Viktor Arvidsson W Chris Kreider,,Bo Horvat,UTIL,4.07%,1.5
67,5053634076,pac10joe,0,151.00002,C Elias Lindholm C Mikael Granlund D Mikhail Sergachev D Darnell Nurse G Andrei Vasilevskiy UTIL Matthew Schaefer W Cutter Gauthier W Morgan Geekie W Viktor Arvidsson,,Ryan Poehling,C,3.79%,9.1
67,5053183857,muckhocksauce,0,151,C Connor McDavid C Elias Lindholm D Jake Walman D Tony DeAngelo G Ilya Sorokin UTIL Morgan Geekie W Beckett Sennecke W Viktor Arvidsson W Anthony Duclair,,Jack Roslovic,C,3.65%,4.5
67,5053746695,klink,0,151,C Barrett Hayton C Fraser Minten D Evan Bouchard D Mattias Ekholm G Ilya Sorokin UTIL Alex Steeves W Nikita Kucherov W Zach Hyman W Morgan Geekie,,Emil Heineman,UTIL,3.65%,1.3
70,5053242358,brealbc,0,150.8,C Anthony Cirelli C Jack McBain D Mattias Ekholm D J.J. Moser G Ilya Sorokin UTIL Brandon Hagel W Nikita Kucherov W Dylan Guenther W Michael Carcone,,Jonathan Drouin,W,3.37%,4.5
71,5053272435,KLeh22,0,150.40001,C Leon Draisaitl C Mikael Granlund D Evan Bouchard D Jake Walman G Ilya Sorokin UTIL Barrett Hayton W J.T. Miller W Will Cuylle W Chris Kreider,,Pavel Mintyukov,D,3.37%,4.1
72,5053182189,timadigan,0,150.2,C Leon Draisaitl C Mikael Granlund D Evan Bouchard D Jackson LaCombe G Karel Vejmelka UTIL Pavel Zacha W Beckett Sennecke W Will Cuylle W Alex Killorn,,Braden Schneider,D,3.37%,11
73,5053728414,katy50,0,150.09999,C Mika Zibanejad C Mikael Granlund D Mattias Ekholm D Ian Cole G Joonas Korpisalo UTIL David Pastrnak W Zach Hyman W Viktor Arvidsson W Matt Savoie,,Karel Vejmelka,G,3.23%,11.9
74,5053721824,E-Steelers,0,149.4,C Anthony Cirelli C Elias Lindholm D Darnell Nurse D Tony DeAngelo G Ilya Sorokin UTIL Oliver Bjorkstrand W David Pastrnak W Ryan Nugent-Hopkins W Morgan Geekie,,Will Cuylle,W,3.23%,13
75,5053156931,mfps22,0,149.3,C Elias Lindholm C Mikael Granlund D Darren Raddysh D Charlie McAvoy G Samuel Ersson UTIL Marat Khusnutdinov W David Pastrnak W Beckett Sennecke W Alex Killorn,,Dominic James,C,3.09%,6
76,5053642142,ChadChip10,0,149.2,C Mika Zibanejad C Vincent Trocheck D Mattias Ekholm D Hampus Lindholm G Andrei Vasilevskiy UTIL Connor McDavid W Morgan Geekie W Alexis Lafreniere W Kasperi Kapanen,,Matthew Schaefer,D,3.09%,2.8
77,5053573697,Brandon.Kay,0,148,C Mika Zibanejad C Mikael Granlund D Mattias Ekholm D Hampus Lindholm G Joonas Korpisalo UTIL Evan Bouchard W Cutter Gauthier W Morgan Geekie W Viktor Arvidsson,,Lawson Crouse,W,2.95%,1.3
77,5053643872,moneymike2424,0,148,C Leon Draisaitl C Elias Lindholm D Charlie McAvoy D Mattias Ekholm G Karel Vejmelka UTIL Vasily Podkolzin W Zach Hyman W Morgan Geekie W Bobby Brink,,Clayton Keller,W,2.81%,1.5
79,5053576065,kush69,0,147,C Connor McDavid C Mika Zibanejad D Mattias Ekholm D J.J. Moser G Ilya Sorokin UTIL Ryan Poehling W Zach Hyman W Viktor Arvidsson W Michael Carcone,,Sean Couturier,UTIL,2.66%,0
80,5053229869,vymo09,0,146.2,C Connor McDavid C Mikael Granlund D Charlie McAvoy D Hampus Lindholm G Ilya Sorokin UTIL Jake Walman W Morgan Geekie W Beckett Sennecke W Viktor Arvidsson,,Nick Schmaltz,UTIL,2.66%,0
81,5053463039,zak11b,0,146,C Connor McDavid C Mathew Barzal D Tony DeAngelo D Mattias Ekholm G Tristan Jarry UTIL Pavel Zacha W Ryan Nugent-Hopkins W Anthony Duclair W Casey Mittelstadt,,JJ Peterka,W,2.66%,4.3
82,5053727384,tswagener,0,145.9,C Leon Draisaitl C Pavel Zacha D Mattias Ekholm D Andrew Peeke G Ilya Sorokin UTIL Viktor Arvidsson W Zach Hyman W Ryan Nugent-Hopkins W Beckett Sennecke,,Mathew Barzal,UTIL,2.52%,16.3
83,5053756460,Mr_Shamrock,0,145.79999,C Elias Lindholm C Mikael Granlund D Jackson LaCombe D Cam York G Lukas Dostal UTIL Trevor Zegras W Zach Hyman W Jake Guentzel W Beckett Sennecke,,Ian Cole,D,2.38%,1.5
84,5053426305,BillCarmody,0,145.6,C Connor McDavid C Pavel Zacha D Evan Bouchard D Scott Morrow G Andrei Vasilevskiy UTIL Mattias Ekholm W J.T. Miller W Beckett Sennecke W Gabe Perreault,,Jonathan Quick,G,2.38%,15.2
84,5053549749,hruskapapi,0,145.6,C Elias Lindholm C Jack McBain D Jacob Trouba D Charlie McAvoy G Ilya Sorokin UTIL Michael Carcone W David Pastrnak W Dylan Guenther W Morgan Geekie,,Jeffrey Viel,W,2.38%,0
84,5053579072,dada2188,0,145.59999,C Connor McDavid C Elias Lindholm D Mattias Ekholm D Jonathan Aspirot G Joonas Korpisalo UTIL Chris Kreider W David Pastrnak W Morgan Geekie W Matt Savoie,,Noah Cates,C,2.38%,4.5
87,5053697330,tklut,0,145.5,C Nick Schmaltz C Mikael Granlund D Mikhail Sergachev D Jacob Trouba G Ilya Sorokin UTIL J.T. Miller W Clayton Keller W Beckett Sennecke W Alex Killorn,,Will Borgen,D,2.24%,13
88,5053255897,acushing96,0,145.4,C Connor McDavid C Elias Lindholm D Jamie Drysdale D Ty Emberson G Andrei Vasilevskiy UTIL Anthony Duclair W David Pastrnak W Beckett Sennecke W Marat Khusnutdinov,,Anders Lee,W,2.24%,9.5
89,5053386505,pjc08,0,145.3,C Anthony Cirelli C Elias Lindholm D Jake Walman D J.J. Moser G Joonas Korpisalo UTIL Mikael Granlund W David Pastrnak W Brandon Hagel W Alex Killorn,,Jack McBain,C,2.24%,4.5
90,5053371637,buddybinks777,0,145.2,C Connor McDavid C Pavel Zacha D Mattias Ekholm D Hampus Lindholm G Ilya Sorokin UTIL Leon Draisaitl W Beckett Sennecke W Viktor Arvidsson W Casey Mittelstadt,,Dylan Guenther,W,2.24%,11.8
91,5053460058,Stevism7,0,145.1,C Mika Zibanejad C Mikael Granlund D Evan Bouchard D Vladislav Gavrikov G Andrei Vasilevskiy UTIL Will Cuylle W Cutter Gauthier W Anthony Duclair W Chris Kreider,,Adam Pelech,D,1.96%,8.3
