Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5049632607,tide182,0,138.29999,C Nathan MacKinnon C Macklin Celebrini D Jakob Chychrun D Simon Nemec G Lukas Dostal UTIL Cody Glass W Will Smith W Collin Graf W Lenni Hameenaho,,Nathan MacKinnon,C,49.14%,11.5
2,5049592690,HossDaBeast (3/3),0,123.299995,C Nathan MacKinnon C Justin Sourdif D Rasmus Sandin D Mario Ferraro G Logan Thompson UTIL Martin Necas W Tom Wilson W Aliaksei Protas W Victor Olofsson,,Victor Olofsson,W,49.14%,14.3
3,5050019904,Nbot11,0,122,C Nathan MacKinnon C Alexander Wennberg D MacKenzie Weegar D Philip Broberg G Devin Cooley UTIL Tyler Toffoli W Martin Necas W Victor Olofsson W Pavol Regenda,,Will Smith,W,40.52%,13
4,5049718480,FatsoFat6969,0,121.700005,C Macklin Celebrini C Jack Hughes D Dougie Hamilton D Pavel Mintyukov G Logan Thompson UTIL Chris Kreider W Timo Meier W Will Smith W Collin Graf,,Macklin Celebrini,C,33.62%,23
5,5049773659,Hunter4ever89 (3/3),0,120.80001,C Nathan MacKinnon C Matty Beniers D Dougie Hamilton D Nick Seeler G Logan Thompson UTIL Jared McCann W Martin Necas W Will Smith W Victor Olofsson,,Dougie Hamilton,D,26.72%,7.8
6,5049773658,Hunter4ever89 (2/3),0,120,C Nathan MacKinnon C Noah Laba D Mario Ferraro D Tom Willander G Logan Thompson UTIL Macklin Celebrini W Martin Necas W Will Smith W Victor Olofsson,,Matty Beniers,C,25.00%,7.8
7,5049506069,Firedog50 (3/3),0,119.200005,C Nathan MacKinnon C Macklin Celebrini D John Klingberg D Simon Nemec G Logan Thompson UTIL Will Smith W Jordan Kyrou W Victor Olofsson W Collin Graf,,Jared McCann,W,24.14%,13
8,5049635755,tsteffes78,0,118.9,C Macklin Celebrini C Matty Beniers D Vince Dunn D Dougie Hamilton G Devin Cooley UTIL Nico Hischier W Jared McCann W Will Smith W Collin Graf,,Logan Thompson,G,18.97%,20
9,5049798917,hawkeyemcnutt (1/2),0,118.30001,C Nathan MacKinnon C Macklin Celebrini D Zach Whitecloud D Troy Stecher G Devin Cooley UTIL Martin Necas W Will Smith W Victor Olofsson W Nicholas Robertson,,Martin Necas,W,18.97%,26.5
10,5049506067,Firedog50 (1/3),0,116.80001,C Nathan MacKinnon C Matty Beniers D Simon Nemec D Nick Seeler G Logan Thompson UTIL Macklin Celebrini W Tyler Toffoli W Will Smith W Victor Olofsson,,Jordan Eberle,UTIL,18.10%,6.5
11,5049777341,johnbon12,0,114.7,C Anthony Cirelli C Cody Glass D Darren Raddysh D Simon Nemec G Alex Nedeljkovic UTIL Filip Hronek W Nikita Kucherov W Brandon Hagel W Arseny Gritsyuk,,Nikita Kucherov,W,15.52%,11.5
12,5049525426,jdmercer (1/2),0,114.200005,C Nathan MacKinnon C Jack Hughes D Dougie Hamilton D Esa Lindell G Logan Thompson UTIL Victor Olofsson W Jared McCann W Will Smith W Connor Brown,,Vince Dunn,D,13.79%,4.5
13,5049452975,jaker1soe,0,113.70001,C Nathan MacKinnon C Matty Beniers D Sam Malinski D Simon Nemec G Devin Cooley UTIL Jordan Eberle W Martin Necas W Jared McCann W Victor Olofsson,,Tyler Toffoli,W,13.79%,11
14,5049954848,isupol (3/3),0,113.6,C Macklin Celebrini C Matty Beniers D Vince Dunn D John Klingberg G Samuel Ersson UTIL Nico Hischier W Jared McCann W Jordan Eberle W Will Smith,,Philipp Grubauer,G,12.93%,8.4
15,5049981125,Sam6082,0,113.3,C Roope Hintz C Matt Duchene D Miro Heiskanen D Tom Willander G Devin Cooley UTIL Jake DeBrusk W Jason Robertson W Wyatt Johnston W Victor Olofsson,,Brandon Hagel,W,12.93%,8
16,5049954391,isupol (1/3),0,112.3,C Nathan MacKinnon C Pavel Buchnevich D Vince Dunn D Justin Faulk G Logan Thompson UTIL Jordan Kyrou W Martin Necas W Jake Neighbours W Victor Olofsson,,Devin Cooley,G,12.07%,20.5
