Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Andrei Vasilevskiy,,0,G,8500,TB,vs WPG,7:00 pm,Y,51.8%,-107.5,5.5,3.2,2.75,confirm,,59:08,13.1,8.73,33.97,13.73,16.51030651,100,,67,1.9,0,59:27,17.9,2.1
Ilya Sorokin,,0,G,7800,NYI,@ NYR,7:00 pm,Y,47.2%,-89.5,6,3,2.82,confirm,,59:44,14.2,12.32,40.69,14.25,16.05009768,100,,57,2.1,0,60:00,16.5,2.1
Filip Gustavsson,,0,G,8600,MIN,vs CGY,8:00 pm,Y,51.3%,-105.5,6,3.46,3,confirm,,59:05,12.9,7.31,29.28,13.29,14.65580991,100,,72,1.7,0,60:00,22.8,2.7
Scott Wedgewood,,0,G,8100,COL,@ MTL,7:00 pm,Y,44.9%,-81.5,6.5,3.25,3.17,confirm,,56:43,13.3,9.11,33.55,12.36,15.33086462,100,,66,1.9,0,60:00,-9.8,
John Gibson,,0,G,7900,DET,vs WSH,7:30 pm,Y,44.0%,-78.5,6.5,3.43,3.25,confirm,,58:41,12.4,10.59,35.35,12.78,14.17486065,100,,57,1.8,0,63:12,5.5,0.7
Jeremy Swayman,,0,G,8300,BOS,vs PHI,7:00 pm,Y,48.1%,-92.5,6.5,3.62,3.25,confirm,,58:52,12.4,11.1,36.59,11.73,14.38688397,100,,55,1.7,0,60:00,18.6,2.2
Connor Ingram,,0,G,8400,EDM,vs SJ,9:00 pm,Y,52.9%,-112.5,7,4.05,3.5,confirm,,57:34,11.9,9.69,30.58,11.28,11.19666532,100,,59,1.3,0,59:19,7.4,0.9
Brandon Bussi,,0,G,8200,CAR,vs UTA,7:00 pm,Y,50.6%,-102.5,6,3.44,3,confirm,,60:46,12.9,7.22,29.08,11.6,14.63897341,100,,72,1.8,0,59:01,6.7,0.8
Daniil Tarasov,,0,G,8200,FLA,@ STL,8:00 pm,Y,48.7%,-95.0,5.5,2.75,2.54,confirm,,56:35,11.1,7.51,29.27,11.54,14.25061548,100,,66,1.7,0,59:44,0.7,0.1
Alex Lyon,,0,G,8000,BUF,vs LA,7:00 pm,Y,43.5%,-77.0,5.5,2.87,2.75,confirm,,54:27,12.5,8.91,33.52,11.5,15.69809298,100,,64,2,0,60:00,31.4,3.9
Anthony Stolarz,,0,G,7800,TOR,@ SEA,10:00 pm,N,58.5%,+71.0,6,3,3.02,confirm,,54:20,8.6,9.33,26.86,11.59,8.200692925,100,,46,1.1,0,58:34,-2.1,
Arturs Silovs,,0,G,8300,PIT,vs CHI,7:00 pm,Y,50.7%,-103.0,6.5,3.71,3.25,confirm,,58:16,10.3,9.32,28.23,10.71,9.588516122,100,,55,1.2,0,59:57,11.6,1.4
Joey Daccord,,0,G,7600,SEA,vs TOR,10:00 pm,Y,41.5%,-71.0,6,3.02,3,confirm,,58:10,11.7,11.92,36.33,11.52,12.49152778,100,,49,1.6,0,60:00,19.3,2.5
Darcy Kuemper,,0,G,7400,LA,@ BUF,7:00 pm,N,56.5%,+77.0,5.5,2.75,2.87,confirm,,57:44,10.5,8.71,28.75,11.21,11.33004679,100,,59,1.5,0,59:54,9.1,1.2
Karel Vejmelka,,0,G,7200,UTA,@ CAR,7:00 pm,N,49.4%,+102.5,6,3,3.44,,,58:43,10.8,8.96,30.47,10.67,12.54808149,100,,59,1.7,0,60:00,2.1,0.3
Anson Thornton,,0,G,7000,UTA,@ CAR,7:00 pm,N,49.4%,+102.5,6,3,3.44,,,,,,10.61,10.61,10.61,100,,0,1.5,0,,,
Yaroslav Askarov,,0,G,7000,SJ,@ EDM,9:00 pm,N,47.1%,+112.5,7,3.5,4.05,confirm,,54:56,9.7,11.1,31.94,10.61,9.735200505,100,,43,1.4,0,61:06,7.6,1.1
Connor Hellebuyck,,0,G,6900,WPG,@ TB,7:00 pm,N,48.2%,+107.5,5.5,2.75,3.2,confirm,,60:00,10.5,6.91,25.79,10.98,11.97071542,100,,67,1.7,0,58:24,12.6,1.8
Devin Cooley,,0,G,6800,CGY,@ MIN,8:00 pm,N,48.7%,+105.5,6,3,3.46,confirm,,53:44,11.8,9.18,32.28,12.12,13.91882564,100,,61,2,0,59:53,2.1,0.3
Jake Oettinger,,0,G,7400,DAL,@ VGK,10:00 pm,N,53.5%,+87.0,6,3,3.14,confirm,,59:05,11.7,9.3,31.41,10.52,12.81486631,100,,60,1.7,0,65:00,3.9,0.5
Joel Hofer,,0,G,7200,STL,vs FLA,8:00 pm,N,51.3%,+95.0,5.5,2.54,2.75,confirm,,54:17,10.7,11.73,36.64,10.47,13.17600383,100,,45,1.8,0,60:00,3.9,0.5
Lukas Dostal,,0,G,7900,ANA,@ VAN,10:00 pm,Y,48.8%,-95.5,6.5,3.25,3.01,confirm,,57:17,10.5,9.41,29.32,10.03,10.50170577,100,,55,1.3,0,57:47,13.3,1.7
Charlie Lindgren,,0,G,7500,WSH,@ DET,7:30 pm,N,56.0%,+78.5,6.5,3.25,3.43,confirm,,58:58,9.8,10.09,29.47,9.36,9.287787836,100,,49,1.2,0,65:00,8.1,1.1
Jakub Dobes,,0,G,7300,MTL,vs COL,7:00 pm,N,55.1%,+81.5,6.5,3.17,3.25,confirm,,57:17,10.1,10.3,30.99,9.59,10.39037481,100,,49,1.4,0,59:45,13.7,1.9
Jacob Markstrom,,0,G,8100,NJ,vs NSH,7:00 pm,Y,46.4%,-86.5,6,3.19,3,confirm,,56:44,8.5,10.15,28.98,8.65,8.677936169,100,,40,1.1,0,60:38,17.9,2.2
Jonathan Quick,,0,G,7600,NYR,vs NYI,7:00 pm,N,52.8%,+89.5,6,2.82,3,confirm,,55:49,7.1,11.04,30.04,8.5,7.958269168,100,,22,1,0,58:51,6.3,0.8
Nikita Tolopilo,,0,G,7500,VAN,vs ANA,10:00 pm,N,51.2%,+95.5,6.5,3.01,3.25,confirm,,52:57,9.7,7.13,22.92,8.66,8.66,100,,63,1.2,0,57:49,32.4,4.3
Vitek Vanecek,,0,G,7200,UTA,@ CAR,7:00 pm,N,49.4%,+102.5,6,3,3.44,,,58:37,8.1,8.31,25.46,8.84,8.84,100,,49,1.2,0,00:00,0,
Arvid Soderblom,,0,G,7100,CHI,@ PIT,7:00 pm,N,49.3%,+103.0,6.5,3.25,3.71,confirm,,58:04,7.3,10.82,29.23,8.91,7.587079254,100,,26,1.1,0,60:00,8.6,1.2
Adin Hill,,0,G,8000,VGK,vs DAL,10:00 pm,Y,46.5%,-87.0,6,3.14,3,confirm,,51:49,4.4,7.27,19.44,7.51,4.904582687,100,,17,0.6,0,64:05,4.1,0.5
