Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
MacKenzie Blackwood,,0,G,8300,COL,vs SJ,9:00 pm,Y,61.9%,-162.5,6.5,4.15,3.25,confirm,,58:11,14.4,10.7,34.87,13.47,13.47,100,,63,1.6,0,60:00,15.1,1.8
Jet Greaves,,0,G,8100,CBJ,vs CHI,7:00 pm,Y,47.9%,-92.0,5.5,3.06,2.75,confirm,,59:23,12.6,8.11,28.72,12.5,12.5,100,,68,1.5,0,60:00,24.7,3
John Gibson,,0,G,7500,DET,@ UTA,9:00 pm,N,51.4%,+94.5,6,3,3.21,confirm,,58:20,12.1,10.79,34.02,12.44,12.44,100,,55,1.7,0,57:06,4.2,0.6
Filip Gustavsson,,0,G,7800,MIN,@ NSH,8:00 pm,Y,45.7%,-84.0,6.5,3.25,3.2,confirm,,59:14,13,7.35,26.93,12.23,12.23,100,,72,1.6,0,64:10,9.5,1.2
Spencer Knight,,0,G,7300,CHI,@ CBJ,7:00 pm,N,52.1%,+92.0,5.5,2.75,3.06,confirm,,59:50,12.2,9.73,31.62,12.16,12.16,100,,60,1.7,0,58:30,0.7,0.1
Akira Schmid,,0,G,8400,VGK,vs VAN,10:00 pm,Y,62.0%,-163.5,6.5,4.18,3.25,confirm,,58:07,10.4,8.17,27.46,11.12,11.12,100,,61,1.3,0,60:00,13.7,1.6
Jake Oettinger,,0,G,8200,DAL,vs STL,9:30 pm,Y,54.5%,-120.0,6,3.6,3,confirm,,59:19,11.5,9.14,29.75,11.47,11.47,100,,60,1.4,0,60:00,1.8,0.2
Darcy Kuemper,,0,G,8000,LA,vs SEA,10:00 pm,Y,52.7%,-111.5,5.5,3.15,2.75,confirm,,57:56,10.5,8.47,28.72,11.78,11.78,100,,60,1.5,0,60:00,-0.7,
Tristan Jarry,,0,G,7900,EDM,@ CGY,10:00 pm,Y,48.6%,-94.5,6.5,3.25,3.05,confirm,,54:22,11.1,11.22,33.3,10.86,10.86,100,,49,1.4,0,58:32,0.7,0.1
Karel Vejmelka,,0,G,7900,UTA,vs DET,9:00 pm,Y,48.6%,-94.5,6,3.21,3,,,58:46,10.7,8.76,29.29,11.77,11.77,100,,59,1.5,0,59:58,22.8,2.9
Anson Thornton,,0,G,7700,UTA,vs DET,9:00 pm,Y,48.6%,-94.5,6,3.21,3,,,,,,10.87,10.87,10.87,100,,0,1.4,0,,,
Devin Cooley,,0,G,7500,CGY,vs EDM,10:00 pm,N,51.4%,+94.5,6.5,3.05,3.25,confirm,,54:04,11.3,9.2,29.84,11.44,11.44,100,,59,1.5,0,59:56,23.7,3.2
Joonas Korpisalo,,0,G,7400,BOS,@ FLA,7:00 pm,N,48.3%,+107.0,6.5,3.25,3.65,confirm,,54:17,11.3,10.48,31.7,10.74,10.74,100,,54,1.5,0,65:00,3.4,0.5
Joey Daccord,,0,G,7400,SEA,@ LA,10:00 pm,N,47.3%,+111.5,5.5,2.75,3.15,confirm,,58:17,12.2,11.67,34.38,11.04,11.04,100,,52,1.5,0,60:00,16.5,2.2
Connor Hellebuyck,,0,G,7800,WPG,vs MTL,7:00 pm,Y,47.9%,-92.0,6.5,3.46,3.25,confirm,,59:59,10.4,6.79,24.09,10.51,10.51,100,,67,1.3,0,54:30,1.4,0.2
Juuse Saros,,0,G,7600,NSH,vs MIN,8:00 pm,N,54.3%,+84.0,6.5,3.2,3.25,confirm,,57:03,10.4,9.79,29.09,9.51,9.51,100,,53,1.3,0,63:54,10.6,1.4
Yaroslav Askarov,,0,G,7100,SJ,@ COL,9:00 pm,N,38.1%,+162.5,6.5,3.25,4.15,confirm,,54:26,9.1,11.25,32.53,10.03,10.03,100,,38,1.4,0,59:12,19.1,2.7
Vitek Vanecek,,0,G,7900,UTA,vs DET,9:00 pm,Y,48.6%,-94.5,6,3.21,3,,,58:37,8.1,8.31,25.84,9.22,9.22,100,,49,1.2,0,00:00,0,
Kevin Lankinen,,0,G,7000,VAN,@ VGK,10:00 pm,N,38.0%,+163.5,6.5,3.25,4.18,confirm,,54:19,7.4,10.21,28.62,8.2,8.2,100,,31,1.2,0,60:00,0.7,0.1
Sergei Bobrovsky,,0,G,8000,FLA,vs BOS,7:00 pm,Y,51.7%,-107.0,6.5,3.65,3.25,confirm,,58:25,7.7,10,26.91,6.91,6.91,100,,35,0.9,0,65:00,9.5,1.2
Samuel Montembeault,,0,G,7600,MTL,@ WPG,7:00 pm,N,52.1%,+92.0,6.5,3.25,3.46,confirm,,56:08,6.6,9.1,25.69,7.49,7.49,100,,31,1,0,60:00,30.7,4
Jordan Binnington,,0,G,7200,STL,@ DAL,9:30 pm,N,45.5%,+120.0,6,3,3.6,confirm,,55:26,6.3,10.81,28.52,6.9,6.9,100,,14,1,0,59:37,-1.4,
Adin Hill,,0,G,8400,VGK,vs VAN,10:00 pm,Y,62.0%,-163.5,6.5,4.18,3.25,unlikely,,53:23,4.2,6.65,0,0,0,100,,21,0,0,00:00,0,
Scott Wedgewood,,0,G,8300,COL,vs SJ,9:00 pm,Y,61.9%,-162.5,6.5,4.15,3.25,unlikely,,56:49,12.6,9.8,0,0,0,100,,61,0,0,00:00,0,
Casey Desmith,,0,G,8200,DAL,vs STL,9:30 pm,Y,54.5%,-120.0,6,3.6,3,unlikely,,59:02,12.4,7.59,0,0,0,100,,69,0,0,00:00,0,
Carter Hart,,0,G,8200,VGK,vs VAN,10:00 pm,Y,62.0%,-163.5,6.5,4.18,3.25,unlikely,,54:56,6.4,9.72,0,0,0,100,,24,0,0,,,
Elvis Merzlikins,,0,G,8100,CBJ,vs CHI,7:00 pm,Y,47.9%,-92.0,5.5,3.06,2.75,unlikely,,56:33,10.3,9.83,0,0,0,100,,52,0,0,00:00,0,
Daniil Tarasov,,0,G,8000,FLA,vs BOS,7:00 pm,Y,51.7%,-107.0,6.5,3.65,3.25,unlikely,,56:45,10.6,7.67,0,0,0,100,,64,0,0,00:00,2,0.3
Anton Forsberg,,0,G,8000,LA,vs SEA,10:00 pm,Y,52.7%,-111.5,5.5,3.15,2.75,unlikely,,57:11,11.6,7.66,0,0,0,100,,67,0,0,00:00,0,
Connor Ingram,,0,G,7900,EDM,@ CGY,10:00 pm,Y,48.6%,-94.5,6.5,3.25,3.05,unlikely,,55:17,9.7,9.62,0,0,0,100,,50,0,0,00:00,0,
Eric Comrie,,0,G,7800,WPG,vs MTL,7:00 pm,Y,47.9%,-92.0,6.5,3.46,3.25,unlikely,,55:35,9.3,10.41,0,0,0,100,,44,0,0,00:00,0,
Calvin Petersen,,0,G,7800,MIN,@ NSH,8:00 pm,Y,45.7%,-84.0,6.5,3.25,3.2,unlikely,,,,,0,0,0,100,,0,0,0,00:00,2,0.3
Jakub Dobes,,0,G,7600,MTL,@ WPG,7:00 pm,N,52.1%,+92.0,6.5,3.25,3.46,unlikely,,57:41,10.6,10.38,0,0,0,100,,51,0,0,00:00,0,
Jesper Wallstedt,,0,G,7600,MIN,@ NSH,8:00 pm,Y,45.7%,-84.0,6.5,3.25,3.2,unlikely,,60:24,15.8,12.83,0,0,0,100,,59,0,0,,,
Justus Annunen,,0,G,7600,NSH,vs MIN,8:00 pm,N,54.3%,+84.0,6.5,3.2,3.25,unlikely,,50:10,7.9,9.13,0,0,0,100,,42,0,0,00:00,2,0.3
Dustin Wolf,,0,G,7500,CGY,vs EDM,10:00 pm,N,51.4%,+94.5,6.5,3.05,3.25,unlikely,,56:15,9.8,9.78,0,0,0,100,,50,0,0,00:00,0,
Cam Talbot,,0,G,7500,DET,@ UTA,9:00 pm,N,51.4%,+94.5,6,3,3.21,unlikely,,56:04,10,9.05,0,0,0,100,,55,0,0,00:00,0,
Jeremy Swayman,,0,G,7400,BOS,@ FLA,7:00 pm,N,48.3%,+107.0,6.5,3.25,3.65,unlikely,,59:03,12.7,10.87,0,0,0,100,,57,0,0,00:00,2,0.3
Philipp Grubauer,,0,G,7400,SEA,@ LA,10:00 pm,N,47.3%,+111.5,5.5,2.75,3.15,unlikely,,55:48,13.3,9.43,0,0,0,100,,65,0,0,00:00,0,
Arvid Soderblom,,0,G,7300,CHI,@ CBJ,7:00 pm,N,52.1%,+92.0,5.5,2.75,3.06,unlikely,,58:11,7.3,10.52,0,0,0,100,,28,0,0,00:00,0,
Matt Murray,,0,G,7200,SEA,@ LA,10:00 pm,N,47.3%,+111.5,5.5,2.75,3.15,unlikely,,43:22,8,8.16,0,0,0,100,,49,0,0,,,
Joel Hofer,,0,G,7200,STL,@ DAL,9:30 pm,N,45.5%,+120.0,6,3,3.6,unlikely,,54:37,10,11.76,0,0,0,100,,41,0,0,00:00,0,
Alex Nedeljkovic,,0,G,7100,SJ,@ COL,9:00 pm,N,38.1%,+162.5,6.5,3.25,4.15,unlikely,,56:16,10.8,10.02,0,0,0,100,,54,0,0,00:00,0,
Nikita Tolopilo,,0,G,7000,VAN,@ VGK,10:00 pm,N,38.0%,+163.5,6.5,3.25,4.18,unlikely,,54:50,14,10.27,0,0,0,100,,63,0,0,00:00,0,
Carey Price,,0,G,6900,SJ,@ COL,9:00 pm,N,38.1%,+162.5,6.5,3.25,4.15,unlikely,,,,,0,0,0,100,,0,0,0,,,
Thatcher Demko,,0,G,6800,VAN,@ VGK,10:00 pm,N,38.0%,+163.5,6.5,3.25,4.18,unlikely,,56:04,9.6,9.07,0,0,0,100,,53,0,0,,,
Thomas Milic,,0,G,6500,WPG,vs MTL,7:00 pm,Y,47.9%,-92.0,6.5,3.46,3.25,unlikely,,46:12,3.5,2.86,0,0,0,100,,59,0,0,,,
Jacob Fowler,,0,G,6500,MTL,@ WPG,7:00 pm,N,52.1%,+92.0,6.5,3.25,3.46,unlikely,,59:31,10.4,11.11,0,0,0,100,,47,0,0,,,
Trent Miner,,0,G,6500,COL,vs SJ,9:00 pm,Y,61.9%,-162.5,6.5,4.15,3.25,unlikely,,52:49,12.7,10.8,0,0,0,100,,57,0,0,,,
Carl Lindbom,,0,G,6500,VGK,vs VAN,10:00 pm,Y,62.0%,-163.5,6.5,4.18,3.25,unlikely,,60:05,5.9,5.1,0,0,0,100,,57,0,0,,,
