Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5054882030,tommybomb7 (2/3),0,131.1,C Mathew Barzal C Christian Dvorak D Cale Makar D Matthew Schaefer G James Reimer UTIL Trevor Zegras W Travis Konecny W Anthony Duclair W Jonathan Drouin,,Nathan MacKinnon,C,60.95%,2.8
1,5054966408,jeremyshow (3/3),0,131.1,C Tim Stuetzle C Christian Dvorak D Zach Werenski D Jordan Spence G David Rittich UTIL Travis Konecny W Trevor Zegras W Drake Batherson W Claude Giroux,,Victor Olofsson,UTIL,53.33%,3
3,5054594182,Firedog50 (3/3),0,110,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Travis Sanheim G Dan Vladar UTIL Travis Konecny W Victor Olofsson W Bobby Brink W Simon Holmstrom,,Martin Necas,UTIL,32.38%,0
4,5055068141,Koronin (1/2),0,107.6,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Jamie Drysdale G Dan Vladar UTIL Travis Konecny W Victor Olofsson W Bobby Brink W Simon Holmstrom,,Anthony Duclair,W,28.57%,2.8
4,5055171521,vishy2773 (1/3),0,107.6,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Jamie Drysdale G Dan Vladar UTIL Bobby Brink W Travis Konecny W Victor Olofsson W Simon Holmstrom,,Cale Makar,D,27.62%,12.9
6,5055266741,dk3387,0,107,C Tim Stuetzle C Mika Zibanejad D Brent Burns D Jamie Drysdale G Dan Vladar UTIL Drake Batherson W J.T. Miller W Travis Konecny W Trevor Zegras,,Dan Vladar,G,25.71%,4.2
7,5055213930,yolegacy,0,106.60001,C Mathew Barzal C Charlie Coyle D Zach Werenski D Tyler Kleven G David Rittich UTIL Adam Fantilli W Kirill Marchenko W Anthony Duclair W Kent Johnson,,David Rittich,G,23.81%,8.8
8,5054974217,Swamper92,0,104.50001,C Christian Dvorak C Jean-Gabriel Pageau D Sam Malinski D Travis Sanheim G David Rittich UTIL Nathan MacKinnon W J.T. Miller W Travis Konecny W Mason Marchment,,Christian Dvorak,C,20.00%,12.1
9,5055227454,hawkeyemcnutt (3/3),0,102.899994,C Adam Fantilli C Dylan Cozens D Jake Sanderson D Thomas Chabot G James Reimer UTIL Kirill Marchenko W Brady Tkachuk W Simon Holmstrom W Ridly Greig,,Alexis Lafreniere,W,19.05%,3
10,5055287864,vladnj,0,101.200005,C Tim Stuetzle C Mathew Barzal D Matthew Schaefer D Ryan Pulock G David Rittich UTIL Vincent Trocheck W Trevor Zegras W Emil Heineman W Anthony Duclair,,MacKenzie Blackwood,G,19.05%,2.1
11,5054994820,CosaSpeciale,0,100.6,C Nathan MacKinnon C Christian Dvorak D Cam York D Damon Severson G MacKenzie Blackwood UTIL Travis Konecny W Trevor Zegras W Owen Tippett W Matvei Michkov,,Ridly Greig,W,18.10%,10
12,5055278268,vindep20 (1/3),0,99.9,C Dylan Cozens C Charlie Coyle D Jake Sanderson D Braden Schneider G James Reimer UTIL Zach Werenski W Brady Tkachuk W Drake Batherson W Simon Holmstrom,,Zach Werenski,D,17.14%,14.3
13,5054780654,novice1,0,99.600006,C Mika Zibanejad C Adam Fantilli D Matthew Schaefer D Ivan Provorov G James Reimer UTIL Mathew Barzal W Kirill Marchenko W Anthony Duclair W Jonathan Drouin,,Jake Sanderson,D,16.19%,9.1
14,5055281196,saulgoodman23,0,99.5,C Mathew Barzal C Adam Fantilli D Zach Werenski D Artem Zub G James Reimer UTIL Kent Johnson W Kirill Marchenko W Mason Marchment W Anthony Duclair,,Vincent Trocheck,C,16.19%,1.3
15,5054722376,OneDropKing (1/3),0,98.80001,C Mathew Barzal C Adam Fantilli D Zach Werenski D Damon Severson G Elvis Merzlikins UTIL Mason Marchment W Kirill Marchenko W Jonathan Drouin W Ridly Greig,,Charlie Coyle,C,16.19%,15
16,5054884187,FatsoFat6969,0,98.600006,C Nathan MacKinnon C Charlie Coyle D Zach Werenski D Adam Pelech G David Rittich UTIL Kent Johnson W Anders Lee W Boone Jenner W Simon Holmstrom,,James Reimer,G,16.19%,10.2
17,5054711860,B_Heals152 (1/3),0,98.1,C Bo Horvat C Shane Pinto D Jake Sanderson D Matthew Schaefer G James Reimer UTIL Brady Tkachuk W Matvei Michkov W Simon Holmstrom W Ridly Greig,,Simon Holmstrom,W,15.24%,24.5
18,5054703921,jaker1soe,0,97.9,C Bo Horvat C Mathew Barzal D Matthew Schaefer D Rasmus Ristolainen G David Rittich UTIL Ridly Greig W Brady Tkachuk W Emil Heineman W Anthony Duclair,,Sam Malinski,D,15.24%,4.3
19,5054937414,jeffank85 (1/2),0,97.7,C Adam Fantilli C Charlie Coyle D Zach Werenski D Jake Sanderson G James Reimer UTIL Christian Dvorak W Kirill Marchenko W Alexis Lafreniere W Ridly Greig,,Adam Fantilli,C,15.24%,11
20,5054972203,MFedorak1982 (3/3),0,96.40001,C Bo Horvat C Mathew Barzal D Tony DeAngelo D Damon Severson G David Rittich UTIL Brock Nelson W Valeri Nichushkin W Emil Heineman W Anthony Duclair,,Mathew Barzal,C,15.24%,25.9
21,5054866954,Cicima6709 (1/3),0,96.1,C Nathan MacKinnon C Christian Dvorak D Zach Werenski D Cam York G Dan Vladar UTIL Matvei Michkov W Victor Olofsson W Emil Heineman W Simon Holmstrom,,Jonathan Drouin,W,15.24%,1.5
22,5055279416,marsolo90,0,93.9,C Mathew Barzal C Shane Pinto D Zach Werenski D Erik Gudbranson G David Rittich UTIL Brock Nelson W Valeri Nichushkin W Mason Marchment W Cole Sillinger,,Travis Konecny,UTIL,14.29%,37.3
23,5054883290,supremexjp,0,93.00001,C Adam Fantilli C Charlie Coyle D Zach Werenski D Travis Sanheim G David Rittich UTIL Tony DeAngelo W Kirill Marchenko W Mason Marchment W Kent Johnson,,Brock Nelson,C,14.29%,6.3
24,5054774187,tecmo27 (2/3),0,91.899994,C Nathan MacKinnon C Brock Nelson D Cale Makar D Will Borgen G Dan Vladar UTIL Victor Olofsson W Valeri Nichushkin W Simon Holmstrom W Ondrej Palat,,Kirill Marchenko,W,14.29%,13
25,5054802733,giantsquid (1/2),0,90.7,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Vladislav Gavrikov G James Reimer UTIL Brady Tkachuk W Drake Batherson W Anders Lee W Ridly Greig,,Brady Tkachuk,W,14.29%,13
26,5054947951,jeffank85 (2/2),0,88.100006,C Nathan MacKinnon C Charlie Coyle D Cale Makar D Artem Zub G Elvis Merzlikins UTIL Cole Sillinger W Martin Necas W Victor Olofsson W Mathieu Olivier,,Drake Batherson,W,13.33%,6.5
27,5054743088,fborch,0,87.8,C Bo Horvat C Dylan Cozens D Matthew Schaefer D Thomas Chabot G Elvis Merzlikins UTIL Ridly Greig W Brady Tkachuk W Emil Heineman W Alexis Lafreniere,,Matvei Michkov,W,13.33%,7.1
28,5054767141,ariedoz,0,87.4,C Brock Nelson C Charlie Coyle D Cale Makar D Braden Schneider G Elvis Merzlikins UTIL Nathan MacKinnon W Victor Olofsson W Cole Sillinger W Mathieu Olivier,,Tony DeAngelo,D,13.33%,9.5
29,5054722378,OneDropKing (3/3),0,87.1,C Tim Stuetzle C Dylan Cozens D Tony DeAngelo D Vladislav Gavrikov G James Reimer UTIL Jake Sanderson W Brady Tkachuk W Drake Batherson W Ridly Greig,,Dylan Cozens,C,13.33%,1.5
30,5055262183,johnbon12,0,86,C Mathew Barzal C Dylan Cozens D Thomas Chabot D Tony DeAngelo G James Reimer UTIL Adam Fantilli W Brady Tkachuk W Mason Marchment W Anthony Duclair,,J.T. Miller,W,11.43%,6.5
31,5055159949,TheGuch16,0,85.899994,C Nathan MacKinnon C Christian Dvorak D Jamie Drysdale D Nick Jensen G Dan Vladar UTIL Martin Necas W Travis Konecny W Trevor Zegras W Victor Olofsson,,Cam York,D,11.43%,13.6
32,5054972202,MFedorak1982 (2/3),0,84.99999,C Nathan MacKinnon C Christian Dvorak D Jamie Drysdale D Matthew Robertson G Dan Vladar UTIL Travis Konecny W Martin Necas W Trevor Zegras W Victor Olofsson,,Matthew Schaefer,D,11.43%,16.4
33,5054867142,Cicima6709 (3/3),0,84.2,C Nathan MacKinnon C Christian Dvorak D Rasmus Ristolainen D Artem Zub G Dan Vladar UTIL Martin Necas W Travis Konecny W Trevor Zegras W Victor Olofsson,,Mika Zibanejad,C,10.48%,11.5
34,5055068142,Koronin (2/2),0,82.4,C Christian Dvorak C Noah Laba D Vladislav Gavrikov D Jamie Drysdale G MacKenzie Blackwood UTIL Nathan MacKinnon W Martin Necas W Travis Konecny W Victor Olofsson,,Elvis Merzlikins,G,10.48%,12.3
35,5054867128,Cicima6709 (2/3),0,82,C Nathan MacKinnon C Christian Dvorak D Adam Pelech D Nick Seeler G Dan Vladar UTIL Martin Necas W Travis Konecny W Trevor Zegras W Victor Olofsson,,Tim Stuetzle,C,10.48%,18
36,5055138838,gadway28,0,81.799995,C Brock Nelson C Tim Stuetzle D Cale Makar D Cam York G Dan Vladar UTIL Jonathan Drouin W Drake Batherson W Owen Tippett W Claude Giroux,,Bobby Brink,W,9.52%,1.3
37,5054774188,tecmo27 (3/3),0,80.4,C Adam Fantilli C Charlie Coyle D Zach Werenski D Ivan Provorov G Elvis Merzlikins UTIL Mason Marchment W Kirill Marchenko W Victor Olofsson W Alexis Lafreniere,,Mason Marchment,W,9.52%,1.5
38,5055278969,nevs2904,0,80.3,C Nathan MacKinnon C Brock Nelson D Tony DeAngelo D Damon Severson G David Rittich UTIL Brady Tkachuk W Anthony Duclair W Ridly Greig W Ondrej Palat,,Owen Tippett,W,9.52%,4.3
39,5054662692,FantasySultan,0,79.49999,C Adam Fantilli C Noah Cates D Zach Werenski D Cam York G MacKenzie Blackwood UTIL Sam Malinski W Kirill Marchenko W Valeri Nichushkin W Matvei Michkov,,Bo Horvat,C,9.52%,6.5
40,5055022080,bizzell88 (3/3),0,79.2,C Vincent Trocheck C Shane Pinto D Zach Werenski D Thomas Chabot G James Reimer UTIL Adam Fantilli W Kirill Marchenko W Alexis Lafreniere W Claude Giroux,,Emil Heineman,W,9.52%,14.5
41,5055260094,nolt0032 (3/3),0,78.9,C Mika Zibanejad C Dylan Cozens D Jake Sanderson D Vladislav Gavrikov G James Reimer UTIL Charlie Coyle W Brady Tkachuk W J.T. Miller W Gabe Perreault,,Trevor Zegras,W,9.52%,12
42,5054948217,cantfademe (1/3),0,78.5,C Nathan MacKinnon C Christian Dvorak D Nick Seeler D Braden Schneider G Dan Vladar UTIL Victor Olofsson W Martin Necas W Travis Konecny W Trevor Zegras,,Jamie Drysdale,D,9.52%,9.5
43,5055022078,bizzell88 (1/3),0,78.4,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Nick Seeler G James Reimer UTIL Drake Batherson W Brady Tkachuk W Owen Tippett W Emil Heineman,,Nick Seeler,D,8.57%,1.3
44,5054882029,tommybomb7 (1/3),0,78.30001,C Bo Horvat C Mathew Barzal D Matthew Schaefer D Sam Malinski G David Rittich UTIL Jake Sanderson W Victor Olofsson W Anthony Duclair W Jonathan Drouin,,Ondrej Palat,W,8.57%,17.8
44,5055061806,tsteffes78,0,78.3,C Adam Fantilli C Charlie Coyle D Zach Werenski D Thomas Chabot G David Rittich UTIL Bobby Brink W Kirill Marchenko W Mason Marchment W Anthony Duclair,,Travis Sanheim,D,7.62%,11.9
46,5055150257,Rickyk07,0,78.2,C Bo Horvat C Shane Pinto D Jake Sanderson D Cam York G David Rittich UTIL Kirill Marchenko W Owen Tippett W Emil Heineman W Matvei Michkov,,Braden Schneider,D,7.62%,5.8
47,5054972201,MFedorak1982 (1/3),0,78.100006,C Dylan Cozens C Charlie Coyle D Zach Werenski D Josh Manson G David Rittich UTIL Adam Fantilli W Kirill Marchenko W Victor Olofsson W Ridly Greig,,Thomas Chabot,D,7.62%,10.6
48,5054896258,gordylamb,0,77.600006,C Brock Nelson C Tim Stuetzle D Matthew Schaefer D Sam Malinski G David Rittich UTIL Artturi Lehkonen W Drake Batherson W Anthony Duclair W Claude Giroux,,Noah Cates,C,6.67%,1.3
49,5054649339,tide182,0,76.5,C Nathan MacKinnon C Noah Laba D Sam Malinski D Cam York G MacKenzie Blackwood UTIL Travis Konecny W Martin Necas W Victor Olofsson W Matvei Michkov,,Will Cuylle,W,6.67%,1.5
50,5054594180,Firedog50 (1/3),0,76.100006,C Nathan MacKinnon C Christian Dvorak D Zach Werenski D Sam Malinski G MacKenzie Blackwood UTIL Victor Olofsson W Alexis Lafreniere W Simon Holmstrom W Ridly Greig,,Brent Burns,D,6.67%,1.5
50,5055178727,dArKMaGiciAnGirl1,0,76.100006,C Nathan MacKinnon C Noah Cates D Cale Makar D Artem Zub G David Rittich UTIL Victor Olofsson W Martin Necas W Simon Holmstrom W Ridly Greig,,Vladislav Gavrikov,D,6.67%,9.3
52,5055118748,dm4k8,0,75.299995,C Adam Fantilli C Charlie Coyle D Zach Werenski D Nick Jensen G MacKenzie Blackwood UTIL Brock Nelson W Kirill Marchenko W Matvei Michkov W Denver Barkey,,Artem Zub,D,6.67%,12.8
53,5055223960,PigskinABlanket (1/3),0,75.2,C Tim Stuetzle C Dylan Cozens D Cale Makar D Brent Burns G Spencer Martin UTIL Drake Batherson W Artturi Lehkonen W Valeri Nichushkin W Ondrej Palat,,Claude Giroux,W,6.67%,14.5
54,5054776454,h418ov21c,0,74.7,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Thomas Chabot G James Reimer UTIL Drake Batherson W Brady Tkachuk W Anthony Duclair W Alexis Lafreniere,,Valeri Nichushkin,W,5.71%,12.8
