Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5053654202,Bears21 (2/4),0,195.3,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Jackson LaCombe G Joonas Korpisalo UTIL Mattias Ekholm W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Connor McDavid,C,50.00%,18
2,5053526736,madbx8 (2/2),0,181.1,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Jake Walman G Andrei Vasilevskiy UTIL Beckett Sennecke W David Pastrnak W Morgan Geekie W Alex Killorn,,Ilya Sorokin,G,34.56%,24.7
3,5053151366,Hunter4ever89 (2/4),0,174.7,C Connor McDavid C Mikael Granlund D J.J. Moser D Mason Lohrei G Ilya Sorokin UTIL Ryan Nugent-Hopkins W Zach Hyman W Beckett Sennecke W Alex Killorn,,Pavel Zacha,C,32.35%,3
4,5053265309,B_Heals152 (1/4),0,174.09999,C Elias Lindholm C Mikael Granlund D Charlie McAvoy D Hampus Lindholm G Joonas Korpisalo UTIL Tony DeAngelo W David Pastrnak W Cutter Gauthier W Morgan Geekie,,Evan Bouchard,D,32.35%,9.1
5,5053440789,jeffank85,0,171.49998,C Leon Draisaitl C Elias Lindholm D Charlie McAvoy D Mattias Ekholm G Ilya Sorokin UTIL Kasperi Kapanen W David Pastrnak W Morgan Geekie W Michael Carcone,,Viktor Arvidsson,UTIL,30.88%,0
6,5053652985,Nsibell21,0,169.40001,C Vincent Trocheck C Pavel Zacha D Mattias Ekholm D J.J. Moser G Ilya Sorokin UTIL Leon Draisaitl W David Pastrnak W Morgan Geekie W Kasperi Kapanen,,Zach Hyman,UTIL,30.15%,20.6
7,5053561620,evisuri,0,160.4,C Connor McDavid C Jack McBain D Mattias Ekholm D Ty Emberson G Ilya Sorokin UTIL Elias Lindholm W Dylan Guenther W Zach Hyman W Michael Carcone,,Casey Mittelstadt,W,26.47%,1.5
8,5053332901,xeqtr1 (1/2),0,154.2,C Mika Zibanejad C Pavel Zacha D Charlie McAvoy D Pavel Mintyukov G Ilya Sorokin UTIL Mikael Granlund W David Pastrnak W Morgan Geekie W Beckett Sennecke,,Leon Draisaitl,C,24.26%,24.5
9,5053521913,radagast23,0,141.8,C Elias Lindholm C Pavel Zacha D Evan Bouchard D Charlie McAvoy G Ilya Sorokin UTIL Beckett Sennecke W Zach Hyman W Morgan Geekie W Anthony Duclair,,Charlie McAvoy,D,22.06%,8
10,5053516293,h418ov21c,0,141.59999,C Vincent Trocheck C Mikael Granlund D Jackson LaCombe D Cam York G Ville Husso UTIL Beckett Sennecke W Artemi Panarin W Cutter Gauthier W Chris Kreider,,Morgan Geekie,W,19.85%,15.8
