Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5046439392,DALLASTILL (7/13),0,167.1,C Jack Eichel C Ryan Hartman D Jacob Trouba D Tony DeAngelo G Spencer Knight UTIL Vladimir Tarasenko W Kirill Kaprizov W Mats Zuccarello W Alex Killorn,,Ilya Sorokin,G,24.71%,15.8
2,5046762674,ColbieJD010116,0,165.90001,C Jack Hughes C Mathew Barzal D Morgan Rielly D Tony DeAngelo G Devin Cooley UTIL Ryan Hartman W Pavel Dorofeyev W Travis Konecny W Vladimir Tarasenko,,Jack Eichel,C,23.21%,6.5
3,5046816546,THE_PHANTOM_1 (3/142),0,162.6,C Tomas Hertl C Ryan Hartman D Quinn Hughes D Shea Theodore G Spencer Knight UTIL Ryan Strome W Kirill Kaprizov W Anthony Duclair W Vladimir Tarasenko,,Mikael Granlund,UTIL,21.70%,0
4,5046487281,TT8607 (19/50),0,162.4,C John Tavares C Ryan Hartman D Quinn Hughes D Tony DeAngelo G Jacob Markstrom UTIL Jonathan Drouin W Kirill Kaprizov W Mats Zuccarello W Vladimir Tarasenko,,Beckett Sennecke,W,20.63%,12
5,5046959186,TheDogSays (2/20),0,161.8,C Ryan Hartman C Christian Dvorak D Quinn Hughes D Tony DeAngelo G Ilya Sorokin UTIL Anthony Duclair W Kirill Kaprizov W Mats Zuccarello W Vladimir Tarasenko,,Mark Stone,W,20.27%,10.6
6,5046391396,Firedog50 (96/142),0,161.20001,C Ryan Hartman C Ryan Poehling D Quinn Hughes D Vladislav Gavrikov G Ilya Sorokin UTIL Cutter Gauthier W Kirill Kaprizov W Vladimir Tarasenko W Alex Killorn,,Kirill Kaprizov,W,19.24%,20.5
7,5046391372,Firedog50 (72/142),0,160.59999,C Mathew Barzal C Ryan Hartman D Quinn Hughes D Jacob Trouba G Devin Cooley UTIL Anthony Duclair W Kirill Kaprizov W Yegor Sharangovich W Vladimir Tarasenko,,Quinn Hughes,D,17.96%,14.1
8,5046391310,Firedog50 (10/142),0,157.8,C Mason McTavish C Ryan Hartman D Jackson LaCombe D Jacob Trouba G Ilya Sorokin UTIL Cutter Gauthier W Kirill Kaprizov W Yegor Sharangovich W Vladimir Tarasenko,,Ryan Hartman,C,17.07%,20.8
8,5046864059,RankS69420 (11/12),0,157.8,C Ryan Hartman C Calum Ritchie D Quinn Hughes D Matthew Schaefer G Spencer Knight UTIL Vladimir Tarasenko W Kirill Kaprizov W Mats Zuccarello W Max Domi,,Jacob Trouba,D,16.61%,17.5
10,5046627639,Varncass (30/40),0,157.7,C Mason McTavish C Ryan Hartman D Quinn Hughes D Tony DeAngelo G Ilya Sorokin UTIL Alex Killorn W Kirill Kaprizov W Mats Zuccarello W Vladimir Tarasenko,,Mitch Marner,C,15.90%,4.1
