Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,5053898991,driverseati (1/10),0,162.20001,C Macklin Celebrini C Elias Pettersson D John Klingberg D Tom Willander G Jesper Wallstedt UTIL Tyler Toffoli W Will Smith W Jake DeBrusk W Viktor Arvidsson,,Uvis Balinskis,D,9.47%,3
26,5054246074,belizzone (8/10),0,162,C Connor Bedard C Frank Nazar D John Klingberg D Justin Faulk G Anton Forsberg UTIL Macklin Celebrini W Will Smith W Tyler Toffoli W Teuvo Teravainen,,Matty Beniers,C,9.22%,19.3
27,5053415342,dbazzell23,0,161.6,C Macklin Celebrini C Matty Beniers D John Klingberg D Nils Lundkvist G Yaroslav Askarov UTIL Wyatt Johnston W Jared McCann W Will Smith W Collin Graf,,Tyler Toffoli,W,8.96%,19
28,5053531809,tide182 (1/6),0,161.5,C Macklin Celebrini C Noah Ostlund D Rasmus Dahlin D Josh Morrissey G Connor Hellebuyck UTIL Will Smith W Josh Doan W Collin Graf W Konsta Helenius,,Jared McCann,W,8.87%,36
29,5053942120,cdegey (5/18),0,161.40001,C Macklin Celebrini C Matty Beniers D Brandt Clarke D Artyom Levshunov G Juuse Saros UTIL Moritz Seider W Jared McCann W Will Smith W Jonathan Marchessault,,Moritz Seider,D,8.87%,17.7
30,5053885471,Cicima6709 (21/37),0,160,C Macklin Celebrini C Elias Pettersson D Filip Hronek D Mattias Samuelsson G Philipp Grubauer UTIL David Pastrnak W Will Smith W Linus Karlsson W Jonathan Lekkerimaki,,Filip Forsberg,W,8.79%,4.5
31,5053447325,yolegacy (4/5),0,159.60002,C Elias Lindholm C Matty Beniers D Charlie McAvoy D Filip Hronek G Jeremy Swayman UTIL David Pastrnak W Jared McCann W Morgan Geekie W Jordan Eberle,,Jonathan Lekkerimaki,UTIL,8.18%,6
31,5053545669,cantfademe (7/37),0,159.60002,C Elias Lindholm C Matty Beniers D Charlie McAvoy D Filip Hronek G Jeremy Swayman UTIL Jordan Eberle W David Pastrnak W Jared McCann W Morgan Geekie,,John Gibson,G,8.10%,6.3
31,5054393481,Ranger13 (11/12),0,159.60002,C Elias Lindholm C Matty Beniers D Charlie McAvoy D Filip Hronek G Jeremy Swayman UTIL Jared McCann W David Pastrnak W Morgan Geekie W Jordan Eberle,,Spencer Knight,G,7.92%,5.5
34,5054472464,Bears21 (5/13),0,159.1,C Macklin Celebrini C Matty Beniers D Roman Josi D Hampus Lindholm G Philipp Grubauer UTIL Linus Karlsson W Jared McCann W Steven Stamkos W Jordan Eberle,,Pavel Zacha,C,7.84%,1.5
35,5053659843,kjk003 (30/37),0,158.20001,C Matty Beniers C Chandler Stephenson D Vince Dunn D Bowen Byram G Yaroslav Askarov UTIL Macklin Celebrini W Jared McCann W Will Smith W Jordan Eberle,,Lucas Raymond,W,7.84%,3
