Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Spencer Martin,,0,G,7600,NYR,vs BOS,7:00 pm,N,54.5%,+83.5,6.5,3.2,3.25,unlikely,,46:07,4,6.91,0,0,0,100,,14,0,0,00:00,2,0.3
Jet Greaves,,0,G,7500,CBJ,vs LA,7:00 pm,Y,42.0%,-72.5,6,3.06,3,unlikely,,59:23,12.5,8.21,0,0,0,100,,67,0,0,,,
Igor Shesterkin,,0,G,7400,NYR,vs BOS,7:00 pm,N,54.5%,+83.5,6.5,3.2,3.25,unlikely,,58:53,12.7,8.94,0,0,0,100,,65,0,0,,,
David Rittich,,0,G,7400,NYI,@ PHI,7:00 pm,N,56.7%,+76.5,6,3,3.09,unlikely,,59:35,10.5,10.17,0,0,0,100,,52,0,0,00:00,0,
Semyon Varlamov,,0,G,7200,NYI,@ PHI,7:00 pm,N,56.7%,+76.5,6,3,3.09,unlikely,,,,,0,0,0,100,,0,0,0,,,
Lukas Dostal,,0,G,7000,ANA,@ EDM,8:30 pm,N,39.1%,+156.0,7,3.5,4.4,unlikely,,57:17,10.5,9.41,0,0,0,100,,55,0,0,00:00,0,
Petr Mrazek,,0,G,6800,ANA,@ EDM,8:30 pm,N,39.1%,+156.0,7,3.5,4.4,unlikely,,51:35,4.9,9.67,0,0,0,100,,1,0,0,,,
Marcus Hogberg,,0,G,6500,NYI,@ PHI,7:00 pm,N,56.7%,+76.5,6,3,3.09,unlikely,,13:29,-3.5,0,0,0,0,100,,0,0,0,,,
Pheonix Copley,,0,G,6500,LA,@ CBJ,7:00 pm,N,58.0%,+72.5,6,3,3.06,unlikely,,39:17,5.6,1.4,0,0,0,100,,0,0,0,,,
Vyacheslav Buteyets,,0,G,6500,ANA,@ EDM,8:30 pm,N,39.1%,+156.0,7,3.5,4.4,unlikely,,20:00,-3.5,0,0,0,0,100,,0,0,0,,,
