Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Ilya Sorokin,,0,G,7400,NYI,@ PHI,7:00 pm,N,56.7%,+76.5,6,3,3.09,confirm,,59:45,13.9,12.37,38.46,13.72,13.72,100,,56,1.9,0,59:36,24.7,3.3
Andrei Vasilevskiy,,0,G,8200,TB,vs UTA,7:00 pm,Y,49.4%,-97.5,6,3.37,3,confirm,,59:07,12.6,8.36,29.7,12.98,12.98,100,,67,1.6,0,60:00,29.6,3.6
Tristan Jarry,,0,G,8400,EDM,vs ANA,8:30 pm,Y,60.9%,-156.0,7,4.4,3.5,confirm,,54:56,11.5,10.9,33.65,11.85,11.85,100,,53,1.4,0,60:00,20.2,2.4
Darcy Kuemper,,0,G,7900,LA,@ CBJ,7:00 pm,N,58.0%,+72.5,6,3,3.06,prob,,57:44,10.5,8.71,28.63,11.21,11.21,100,,59,1.4,0,,,
Ville Husso,,0,G,7000,ANA,@ EDM,8:30 pm,N,39.1%,+156.0,7,3.5,4.4,confirm,,54:57,9.6,9.1,30.35,12.15,12.15,100,,53,1.7,0,57:37,0,
Joonas Korpisalo,,0,G,7800,BOS,@ NYR,7:00 pm,Y,45.5%,-83.5,6.5,3.25,3.2,confirm,,53:51,11.6,10.63,32.35,11.09,11.09,100,,54,1.4,0,63:29,4.8,0.6
Karel Vejmelka,,0,G,7200,UTA,@ TB,7:00 pm,N,50.6%,+97.5,6,3,3.37,,,58:41,10.8,9.07,28.69,10.55,10.55,100,,58,1.5,0,60:00,11.9,1.7
Anson Thornton,,0,G,7000,UTA,@ TB,7:00 pm,N,50.6%,+97.5,6,3,3.37,,,,,,10.66,10.66,10.66,100,,0,1.5,0,,,
Jonathan Quick,,0,G,7600,NYR,vs BOS,7:00 pm,N,54.5%,+83.5,6.5,3.2,3.25,confirm,,55:21,6.9,11.33,31.47,8.81,8.81,100,,18,1.2,0,63:49,10.2,1.3
Elvis Merzlikins,,0,G,7500,CBJ,vs LA,7:00 pm,Y,42.0%,-72.5,6,3.06,3,prob,,56:00,9.1,9.73,28.6,9.14,9.14,100,,47,1.2,0,,,
Vitek Vanecek,,0,G,7200,UTA,@ TB,7:00 pm,N,50.6%,+97.5,6,3,3.37,,,58:31,7.6,8.42,25.59,8.75,8.75,100,,45,1.2,0,00:00,0,
Samuel Ersson,,0,G,8000,PHI,vs NYI,7:00 pm,Y,43.3%,-76.5,6,3.09,3,confirm,,58:19,5.2,8.94,24.4,6.52,6.52,100,,14,0.8,0,60:00,-0.7,
Connor Ingram,,0,G,8400,EDM,vs ANA,8:30 pm,Y,60.9%,-156.0,7,4.4,3.5,unlikely,,57:34,11.9,9.69,0,0,0,100,,59,0,0,00:00,0,
Jonas Johansson,,0,G,8200,TB,vs UTA,7:00 pm,Y,49.4%,-97.5,6,3.37,3,unlikely,,57:25,9.6,8.76,0,0,0,100,,54,0,0,00:00,0,
Calvin Pickard,,0,G,8200,EDM,vs ANA,8:30 pm,Y,60.9%,-156.0,7,4.4,3.5,unlikely,,54:35,6,9.37,0,0,0,100,,22,0,0,,,
Alexei Kolosov,,0,G,8000,PHI,vs NYI,7:00 pm,Y,43.3%,-76.5,6,3.09,3,unlikely,,30:00,0.8,7.56,0,0,0,100,,0,0,0,00:00,0,
Anton Forsberg,,0,G,7900,LA,@ CBJ,7:00 pm,N,58.0%,+72.5,6,3,3.06,unlikely,,56:50,11.1,7.7,0,0,0,100,,65,0,0,,,
Jeremy Swayman,,0,G,7800,BOS,@ NYR,7:00 pm,Y,45.5%,-83.5,6.5,3.25,3.2,unlikely,,58:50,12.2,11.2,0,0,0,100,,54,0,0,00:00,2,0.3
Dan Vladar,,0,G,7800,PHI,vs NYI,7:00 pm,Y,43.3%,-76.5,6,3.09,3,unlikely,,58:32,11.3,7.64,0,0,0,100,,66,0,0,,,
