Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,5054997722,Zooloo,0,108.799995,C Brock Nelson C Christian Dvorak D Tony DeAngelo D Cam York G Dan Vladar UTIL Kirill Marchenko W Travis Konecny W Artturi Lehkonen W Valeri Nichushkin,,Charlie Coyle,C,12.63%,15
27,5054740641,schubes75,0,108.700005,C Nathan MacKinnon C Mathew Barzal D Cale Makar D Rasmus Ristolainen G David Rittich UTIL Sean Monahan W Kent Johnson W Claude Giroux W Simon Holmstrom,,Sam Malinski,D,12.46%,4.3
28,5054825122,tworth1,0,108.6,C Nathan MacKinnon C Christian Dvorak D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Travis Konecny W Martin Necas W J.T. Miller W Simon Holmstrom,,Matvei Michkov,W,12.29%,7.1
28,5054996250,BackOffBltches,0,108.6,C Nathan MacKinnon C Christian Dvorak D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Travis Konecny W Martin Necas W J.T. Miller W Simon Holmstrom,,Brent Burns,D,12.12%,1.5
28,5055040154,poochie0001,0,108.6,C Nathan MacKinnon C Christian Dvorak D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Travis Konecny W Martin Necas W J.T. Miller W Simon Holmstrom,,Ridly Greig,W,12.12%,10
28,5055095081,Dusty6564,0,108.6,C Nathan MacKinnon C Christian Dvorak D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Travis Konecny W Martin Necas W J.T. Miller W Simon Holmstrom,,Matthew Schaefer,D,10.94%,16.4
32,5054764744,tommienation1,0,108.50001,C Nathan MacKinnon C Tim Stuetzle D Tony DeAngelo D Ivan Provorov G Elvis Merzlikins UTIL Claude Giroux W Drake Batherson W Anders Lee W Simon Holmstrom,,Alexis Lafreniere,W,10.27%,3
33,5054972316,ski1711,0,107.7,C Dylan Cozens C Christian Dvorak D Cale Makar D Matthew Schaefer G Dan Vladar UTIL Brady Tkachuk W Anders Lee W Simon Holmstrom W Ridly Greig,,Jamie Drysdale,UTIL,9.93%,9.5
34,5054821958,lostboy712,0,107.6,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Jamie Drysdale G Dan Vladar UTIL Travis Konecny W Victor Olofsson W Bobby Brink W Simon Holmstrom,,Simon Holmstrom,W,9.60%,24.5
35,5055042679,Coxy1664,0,107.40001,C Bo Horvat C Christian Dvorak D Sam Malinski D Cam York G David Rittich UTIL Travis Konecny W Artturi Lehkonen W Trevor Zegras W Valeri Nichushkin,,Vincent Trocheck,C,9.60%,1.3
36,5054945368,Lekanoem,0,107.3,C Bo Horvat C Brock Nelson D Matthew Schaefer D Tony DeAngelo G David Rittich UTIL Kirill Marchenko W Emil Heineman W Claude Giroux W Ondrej Palat,,Mika Zibanejad,C,9.60%,11.5
37,5055043429,bcrenslow,0,107.1,C Bo Horvat C Adam Fantilli D Thomas Chabot D Ivan Provorov G Dan Vladar UTIL Anders Lee W Travis Konecny W Valeri Nichushkin W Owen Tippett,,Bo Horvat,C,9.43%,6.5
38,5054869761,nateklipp,0,106.7,C Brock Nelson C Christian Dvorak D Tony DeAngelo D Vladislav Gavrikov G Dan Vladar UTIL Trevor Zegras W Brady Tkachuk W Travis Konecny W Victor Olofsson,,Emil Heineman,W,8.92%,14.5
39,5055108324,Dencope,0,105.9,C Nathan MacKinnon C Noah Cates D Cale Makar D Travis Sanheim G MacKenzie Blackwood UTIL Anders Lee W Travis Konecny W Claude Giroux W Ridly Greig,,Josh Manson,D,8.59%,1.5
40,5054394229,bigbabyperm,0,105.8,C Nathan MacKinnon C Brock Nelson D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Jamie Drysdale W Martin Necas W Travis Konecny W Simon Holmstrom,,Travis Sanheim,D,8.42%,11.9
40,5054729356,fraz27,0,105.8,C Nathan MacKinnon C Brock Nelson D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Jamie Drysdale W Martin Necas W Travis Konecny W Simon Holmstrom,,Jake Sanderson,D,8.42%,9.1
40,5054779383,titanhawks,0,105.8,C Nathan MacKinnon C Brock Nelson D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Jamie Drysdale W Martin Necas W Travis Konecny W Simon Holmstrom,,Anders Lee,UTIL,8.08%,13.1
40,5054833915,rpwing,0,105.8,C Nathan MacKinnon C Brock Nelson D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Jamie Drysdale W Martin Necas W Travis Konecny W Simon Holmstrom,,Sean Monahan,C,7.74%,11.3
40,5054996889,mariahexp,0,105.8,C Nathan MacKinnon C Brock Nelson D Travis Sanheim D Adam Pelech G Dan Vladar UTIL Jamie Drysdale W Martin Necas W Travis Konecny W Simon Holmstrom,,Adam Pelech,D,7.58%,9.3
45,5054663708,DeviousHandsome,0,105.70001,C Tim Stuetzle C Mathew Barzal D Cam York D Ivan Provorov G David Rittich UTIL Anthony Duclair W Kirill Marchenko W Trevor Zegras W Owen Tippett,,Drake Batherson,W,7.58%,6.5
45,5054756195,gav8,0,105.7,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Vladislav Gavrikov G Samuel Ersson UTIL Sam Carrick W Travis Konecny W Trevor Zegras W Ondrej Palat,,Thomas Chabot,D,7.58%,10.6
47,5054740139,llmc,0,105.4,C Bo Horvat C Christian Dvorak D Matthew Schaefer D Brent Burns G MacKenzie Blackwood UTIL Victor Olofsson W Travis Konecny W Trevor Zegras W Emil Heineman,,Nick Seeler,D,7.58%,1.3
48,5054749190,mcnallytm,0,105,C Christian Dvorak C Sean Monahan D Cale Makar D Nick Seeler G MacKenzie Blackwood UTIL Travis Konecny W Brady Tkachuk W Trevor Zegras W Victor Olofsson,,Valeri Nichushkin,UTIL,7.58%,12.8
48,5054981425,jamielori26,0,105,C Tim Stuetzle C Mika Zibanejad D Travis Sanheim D Rasmus Ristolainen G Dan Vladar UTIL Jake Sanderson W J.T. Miller W Travis Konecny W Drake Batherson,,Boone Jenner,W,7.41%,2.8
50,5054763715,5number5,0,104.8,C Adam Fantilli C Sean Monahan D Zach Werenski D Samuel Girard G Ilya Sorokin UTIL Cam York W Kirill Marchenko W Travis Konecny W Owen Tippett,,Jonathan Drouin,UTIL,7.41%,1.5
50,5054908599,bwireman89,0,104.799995,C Mathew Barzal C Dylan Cozens D Jake Sanderson D Tony DeAngelo G Dan Vladar UTIL Travis Konecny W Brady Tkachuk W Anthony Duclair W Jonathan Drouin,,James Reimer,G,6.73%,10.2
52,5054925864,npfleming,0,104.3,C Brock Nelson C Mathew Barzal D Brent Burns D Josh Manson G Dan Vladar UTIL Trevor Zegras W Travis Konecny W Valeri Nichushkin W Anthony Duclair,,Tim Stuetzle,UTIL,6.57%,18
