Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5047466525,cantfademe (109/150),0,185,C Roope Hintz C Ryan O'Reilly D Lane Hutson D Brandt Clarke G Jake Allen UTIL Luke Evangelista W Jason Robertson W Filip Forsberg W Mavrik Bourque,,Nikita Kucherov,W,24.95%,18
2,5047419552,Slick517 (4/6),0,181.09999,C Anthony Cirelli C Ryan O'Reilly D Jake Walman D Simon Nemec G Andrei Vasilevskiy UTIL Kirby Dach W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Connor McDavid,C,20.42%,6
3,5047466447,cantfademe (31/150),0,180.7,C Anthony Cirelli C Ryan O'Reilly D Mike Matheson D Mikey Anderson G Jake Allen UTIL Luke Evangelista W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Vasily Podkolzin,W,20.17%,5.8
4,5047568011,THE_PHANTOM_1 (78/150),0,180.40001,C Ryan O'Reilly C Justin Hryckowian D Roman Josi D Brady Skjei G Jonathan Quick UTIL Luke Evangelista W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Brandon Hagel,W,17.72%,38.1
5,5047730623,t-red (1/7),0,179.99998,C Anthony Cirelli C Ryan O'Reilly D Simon Nemec D Dylan DeMelo G Eric Comrie UTIL Luke Evangelista W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Kirby Dach,C,17.31%,9.9
6,5047633673,sullybrochill (1/4),0,179.7,C Ryan O'Reilly C Kirby Dach D Darren Raddysh D Brady Skjei G Jake Allen UTIL Filip Forsberg W Nikita Kucherov W Brandon Hagel W Luke Evangelista,,Zach Hyman,W,17.14%,11.8
7,5047556979,craftylefty (38/50),0,178.20001,C Roope Hintz C Ryan O'Reilly D Miro Heiskanen D Brady Skjei G Jake Oettinger UTIL Noah Ostlund W Jason Robertson W Filip Forsberg W Steven Stamkos,,Darren Raddysh,D,16.78%,6.9
8,5047285852,Firedog50 (114/150),0,175.20001,C Anthony Cirelli C Ryan O'Reilly D Dougie Hamilton D Charle-Edouard D'Astous G Joel Hofer UTIL Filip Forsberg W Nikita Kucherov W Brandon Hagel W Vladimir Tarasenko,,Ryan Hartman,C,15.00%,1.5
9,5047597640,LeBrockJrROTO,0,174.79999,C Anthony Cirelli C Ryan O'Reilly D Artem Zub D Ty Emberson G James Reimer UTIL Luke Evangelista W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Tristan Jarry,G,14.82%,3.5
10,5047444763,corksoaker (5/41),0,174.59999,C Roope Hintz C Noah Ostlund D Miro Heiskanen D Darren Raddysh G Alex Lyon UTIL Vasily Podkolzin W Jason Robertson W Brandon Hagel W Mavrik Bourque,,Ryan O'Reilly,C,14.41%,31
11,5047624482,bizzell88 (98/150),0,174.49998,C Anthony Cirelli C Cody Glass D Owen Power D Dylan DeMelo G Andrei Vasilevskiy UTIL Kyle Connor W Nikita Kucherov W Brandon Hagel W Vladimir Tarasenko,,Vladimir Tarasenko,W,13.92%,22.8
12,5047466430,cantfademe (14/150),0,169.8,C Anthony Cirelli C Ryan O'Reilly D Mattias Ekholm D Dylan DeMelo G Joel Hofer UTIL Luke Evangelista W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Jeremy Swayman,G,12.53%,-1.4
13,5047821141,Cruz55360 (87/100),0,169.59999,C Ryan O'Reilly C Jack Roslovic D Darren Raddysh D Brady Skjei G Andrei Vasilevskiy UTIL Kevin Fiala W Brandon Hagel W Filip Forsberg W Luke Evangelista,,Luke Evangelista,W,12.17%,11
14,5047305776,mustafael (2/40),0,169.09999,C Ryan O'Reilly C Kirby Dach D Darren Raddysh D Simon Nemec G Jake Allen UTIL Filip Forsberg W Nikita Kucherov W Brandon Hagel W Luke Evangelista,,Cole Caufield,W,12.10%,15.8
