Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Andrei Vasilevskiy,,0,G,8300,TB,vs BOS,6:30 pm,Y,54.9%,-121.5,6,3.58,3,confirm,,59:09,13.2,8.64,31.12,13.84,13.84,100,,67,1.7,0,64:59,8.8,1.1
Anton Forsberg,,0,G,7200,LA,@ CAR,3:00 pm,N,49.4%,+102.5,5.5,2.75,3.15,confirm,,56:59,11.5,7.83,28.08,12.42,12.42,100,,66,1.7,0,61:25,13.2,1.8
Brandon Bussi,,0,G,8200,CAR,vs LA,3:00 pm,Y,50.6%,-102.5,5.5,3.15,2.75,confirm,,60:42,12.6,7.18,25.67,11.31,11.31,100,,72,1.4,0,61:25,6.7,0.8
Jeremy Swayman,,0,G,7100,BOS,@ TB,6:30 pm,N,45.1%,+121.5,6,3,3.58,confirm,,58:54,12.6,10.99,33.92,11.94,11.94,100,,56,1.7,0,65:00,16.2,2.3
Lukas Dostal,,0,G,7600,ANA,vs VGK,9:30 pm,Y,42.9%,-75.0,6.5,3.35,3.25,confirm,,57:17,10.5,9.29,29.01,10.43,10.43,100,,56,1.4,0,60:00,15.1,2
Adin Hill,,0,G,7800,VGK,@ ANA,9:30 pm,N,57.1%,+75.0,6.5,3.25,3.35,confirm,,52:56,4.3,6.93,21.12,7.26,7.26,100,,19,0.9,0,58:21,2.8,0.4
Jonas Johansson,,0,G,8300,TB,vs BOS,6:30 pm,Y,54.9%,-121.5,6,3.58,3,unlikely,,57:25,9.6,8.76,0,0,0,100,,54,0,0,00:00,2,0.2
Frederik Andersen,,0,G,8200,CAR,vs LA,3:00 pm,Y,50.6%,-102.5,5.5,3.15,2.75,unlikely,,60:13,6.6,7.92,0,0,0,100,,40,0,0,00:00,2,0.2
Pyotr Kochetkov,,0,G,8000,CAR,vs LA,3:00 pm,Y,50.6%,-102.5,5.5,3.15,2.75,unlikely,,55:28,10,9.5,0,0,0,100,,53,0,0,,,
Akira Schmid,,0,G,7800,VGK,@ ANA,9:30 pm,N,57.1%,+75.0,6.5,3.25,3.35,unlikely,,58:07,10.4,8.17,0,0,0,100,,61,0,0,00:00,0,
Ville Husso,,0,G,7600,ANA,vs VGK,9:30 pm,Y,42.9%,-75.0,6.5,3.35,3.25,unlikely,,55:10,8.8,9.11,0,0,0,100,,48,0,0,00:00,0,
Carter Hart,,0,G,7600,VGK,@ ANA,9:30 pm,N,57.1%,+75.0,6.5,3.25,3.35,unlikely,,54:56,6.4,9.72,0,0,0,100,,24,0,0,,,
Petr Mrazek,,0,G,7400,ANA,vs VGK,9:30 pm,Y,42.9%,-75.0,6.5,3.35,3.25,unlikely,,51:35,4.9,9.67,0,0,0,100,,1,0,0,,,
Darcy Kuemper,,0,G,7200,LA,@ CAR,3:00 pm,N,49.4%,+102.5,5.5,2.75,3.15,unlikely,,57:56,10.5,8.47,0,0,0,100,,60,0,0,00:00,2,0.3
Joonas Korpisalo,,0,G,7100,BOS,@ TB,6:30 pm,N,45.1%,+121.5,6,3,3.58,unlikely,,54:17,11.3,10.48,0,0,0,100,,54,0,0,00:00,2,0.3
Pheonix Copley,,0,G,6500,LA,@ CAR,3:00 pm,N,49.4%,+102.5,5.5,2.75,3.15,unlikely,,39:17,5.6,1.4,0,0,0,100,,0,0,0,,,
Carl Lindbom,,0,G,6500,VGK,@ ANA,9:30 pm,N,57.1%,+75.0,6.5,3.25,3.35,unlikely,,60:05,5.9,5.1,0,0,0,100,,57,0,0,,,
Vyacheslav Buteyets,,0,G,6500,ANA,vs VGK,9:30 pm,Y,42.9%,-75.0,6.5,3.35,3.25,unlikely,,20:00,-3.5,0,0,0,0,100,,0,0,0,,,
