Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,5055865278,WILL_Da_THRILL,0,125.1,C Sam Bennett C Ryan McLeod D Rasmus Dahlin D Brandon Montour G Alex Lyon UTIL Nico Hischier W Artturi Lehkonen W Jason Zucker W Jack Quinn,,Pavel Zacha,C,6.57%,10
26,5055879223,lantzzz,0,124.600006,C John Tavares C Teddy Blueger D Jackson LaCombe D Mattias Samuelsson G Ilya Sorokin UTIL Sean Durzi W Nikita Kucherov W Alex DeBrincat W Viktor Arvidsson,,John Gibson,G,6.40%,5.5
27,5055821604,whiteduece,0,124.40001,C Connor McDavid C Dylan Larkin D Mike Matheson D Connor Murphy G Justus Annunen UTIL Moritz Seider W Alex DeBrincat W Viktor Arvidsson W Justin Brazeau,,Jeremy Swayman,G,6.23%,18.6
28,5055670927,xnodak,0,124.3,C Sebastian Aho C Mathew Barzal D Shayne Gostisbehere D Filip Hronek G Ilya Sorokin UTIL Seth Jarvis W Andrei Svechnikov W Egor Chinakhov W Justin Brazeau,,Alex Killorn,W,6.23%,3
29,5055865534,schromcak,0,123.8,C Nick Suzuki C Ryan O'Reilly D Charlie McAvoy D Darnell Nurse G Karel Vejmelka UTIL Mitch Marner W Alex Tuch W Jordan Eberle W Tyler Bertuzzi,,Joel Eriksson Ek,C,6.06%,5
30,5055743089,Baldomire,0,123.700005,C Oliver Kapanen C Fraser Minten D Lane Hutson D Filip Hronek G Devin Cooley UTIL Brandon Hagel W Nikita Kucherov W Juraj Slafkovsky W Ivan Demidov,,Dylan Larkin,C,6.06%,6.5
31,5055892583,apayne331,0,123.600006,C Connor McDavid C Matty Beniers D Evan Bouchard D Filip Hronek G Devin Cooley UTIL Fraser Minten W Jared McCann W Jordan Eberle W Justin Brazeau,,Charlie McAvoy,D,6.06%,9.3
32,5055803593,kingofviper01,0,123.1,C Nick Suzuki C Dylan Larkin D Mattias Samuelsson D Parker Wotherspoon G Yaroslav Askarov UTIL Cole Caufield W Alex DeBrincat W Lucas Raymond W Ivan Demidov,,Simon Holmstrom,W,6.06%,1.3
33,5055893730,vikingduckman32,0,122.899994,C Sebastian Aho C Pavel Buchnevich D Lane Hutson D Shayne Gostisbehere G Filip Gustavsson UTIL William Carrier W Seth Jarvis W Andrei Svechnikov W Taylor Hall,,Leon Draisaitl,C,5.72%,24.5
34,5055706866,MS-Saints-Fan,0,122.8,C Connor Bedard C Sam Bennett D Brandt Clarke D Artyom Levshunov G Ilya Sorokin UTIL Sam Reinhart W Matthew Tkachuk W Frank Nazar W Teuvo Teravainen,,Brandt Clarke,D,5.56%,14.9
35,5055878533,bosshogstu,0,122.200005,C Pavel Buchnevich C Matt Duchene D Moritz Seider D Vince Dunn G Jeremy Swayman UTIL Danila Yurov W Nikita Kucherov W Matthew Tkachuk W Jordan Eberle,,Jackson LaCombe,D,5.39%,4.3
36,5055791339,chickenfish1017,0,121.8,C Tage Thompson C Matty Beniers D Rasmus Dahlin D Mattias Samuelsson G Ilya Sorokin UTIL Jaden Schwartz W Alex Tuch W Evgeni Malkin W Konsta Helenius,,Sam Bennett,C,5.39%,5
37,5055873267,illest879,0,121.700005,C Ryan O'Reilly C Oliver Kapanen D Charlie McAvoy D Brady Skjei G Jeremy Swayman UTIL Viktor Arvidsson W Kyle Connor W Andrei Svechnikov W Adrian Kempe,,Steven Stamkos,W,5.39%,11.8
37,5055770787,AJSuperman,0,121.7,C Connor McDavid C Elias Pettersson D Morgan Rielly D Mattias Samuelsson G Jeremy Swayman UTIL Matty Beniers W Jared McCann W Chris Kreider W Egor Chinakhov,,Darnell Nurse,D,5.22%,5.8
39,5055694698,SkyU27,0,121.600006,C Connor McDavid C Fraser Minten D Jake Walman D Mario Ferraro G Ilya Sorokin UTIL Zach Hyman W Ryan Nugent-Hopkins W Viktor Arvidsson W Casey Mittelstadt,,Lukas Dostal,G,5.22%,13.3
40,5055891406,MCStu,0,121,C Mikael Granlund C Andrew Copp D Jakob Chychrun D Connor Murphy G Filip Gustavsson UTIL Patrick Kane W Cutter Gauthier W Alex DeBrincat W Beckett Sennecke,,Darren Raddysh,D,5.05%,32
41,5055881200,twigger2,0,120,C Brock Nelson C Ryan McLeod D Sam Malinski D Kris Letang G Jacob Markstrom UTIL Sidney Crosby W Alex Tuch W Viktor Arvidsson W Tyler Bertuzzi,,Egor Chinakhov,UTIL,4.88%,19
42,5055865194,njkampas,0,119.5,C Connor McDavid C Leon Draisaitl D Evan Bouchard D Ryan Pulock G Devin Cooley UTIL Fraser Minten W Simon Holmstrom W Justin Brazeau W Ondrej Palat,,Tony DeAngelo,D,4.88%,8.6
43,5055734638,richgee21,0,119.299995,C Sebastian Aho C Ryan McLeod D Shayne Gostisbehere D Tony DeAngelo G Brandon Bussi UTIL Jack Quinn W Seth Jarvis W Andrei Svechnikov W Jason Zucker,,Evan Bouchard,D,4.88%,32
44,5055715169,nawada,0,119.100006,C Noah Ostlund C Parker Kelly D Quinn Hughes D Ryan McDonagh G Filip Gustavsson UTIL Fraser Minten W Kirill Kaprizov W Matt Boldy W Ross Colton,,Chris Kreider,W,4.88%,6
45,5055873092,ski1711,0,118.600006,C Pavel Zacha C Michael Misa D Charlie McAvoy D Shayne Gostisbehere G Devin Cooley UTIL Alex DeBrincat W David Pastrnak W Morgan Geekie W Viktor Arvidsson,,Justin Faulk,D,4.88%,18.6
45,5055652704,Nick628,0,118.6,C Connor McDavid C Fraser Minten D Evan Bouchard D Alex Vlasic G Ilya Sorokin UTIL Kaapo Kakko W David Pastrnak W Egor Chinakhov W Ondrej Palat,,Nikita Kucherov,W,4.88%,17.8
47,5055790191,actionjackson69,0,118.3,C Nick Suzuki C Alex Laferriere D J.J. Moser D Owen Power G Joey Daccord UTIL Vladislav Gavrikov W Martin Necas W Kyle Connor W J.T. Miller,,Sidney Crosby,C,4.88%,3
48,5055734898,Cuca5,0,118,C Evan Rodrigues C Barrett Hayton D Jakob Chychrun D Matthew Schaefer G Ilya Sorokin UTIL Brad Marchand W Martin Necas W Matthew Tkachuk W Michael Carcone,,Moritz Seider,D,4.71%,10.8
49,5055880750,DaBanker,0,117.399994,C Connor McDavid C Leon Draisaitl D Connor Murphy D Kaiden Guhle G Joey Daccord UTIL Vasily Podkolzin W Zach Hyman W Egor Chinakhov W Justin Brazeau,,Lucas Raymond,W,4.71%,4.5
50,5055660077,CFinch,0,117.00001,C Macklin Celebrini C Fraser Minten D John Klingberg D Jamie Drysdale G Nikita Tolopilo UTIL Will Smith W Kirill Kaprizov W Matvei Michkov W Jonatan Berggren,,Kirill Kaprizov,W,4.55%,18
50,5055818477,stiggy24,0,117,C Mitch Marner C Matty Beniers D Darren Raddysh D Rasmus Andersson G Joey Daccord UTIL Jordan Eberle W Pavel Dorofeyev W Jared McCann W Braeden Bowman,,Filip Hronek,D,4.55%,11.3
52,5055679560,Gashouse3501,0,116.3,C Elias Pettersson C Mikael Granlund D Evan Bouchard D Darren Raddysh G Samuel Ersson UTIL Ryan McDonagh W Zach Hyman W Owen Tippett W Denver Barkey,,Jesper Bratt,W,4.55%,11.3
53,5055898133,carlson2000,0,116.200005,C Dylan Larkin C Ryan O'Reilly D Mattias Samuelsson D Justin Faulk G Ilya Sorokin UTIL Darnell Nurse W Jake Guentzel W Alex Tuch W Evgeni Malkin,,Matt Boldy,W,4.38%,11.5
53,5055908150,stockboy872,0,116.2,C Sam Bennett C Mikael Granlund D Justin Faulk D Travis Sanheim G Filip Gustavsson UTIL Kevin Fiala W Andrei Svechnikov W Ryan Nugent-Hopkins W Owen Tippett,,Quinn Hughes,D,4.38%,11
55,5055868317,mbcurmnygo,0,116.00001,C Nico Hischier C Mikael Granlund D Charlie McAvoy D Jake Walman G Alex Lyon UTIL Ryan O'Reilly W Nikita Kucherov W Kasperi Kapanen W Justin Brazeau,,Erik Karlsson,D,4.38%,4.3
56,5055865474,riverrat304,0,114.8,C Mikael Granlund C Matty Beniers D Shayne Gostisbehere D Noah Dobson G Alex Lyon UTIL Tomas Hertl W Evgeni Malkin W Morgan Geekie W Trevor Zegras,,Ryan Hartman,C,4.21%,10.8
57,5055694599,loveland4,0,114.600006,C Dylan Larkin C J.T. Compher D Moritz Seider D Jacob Trouba G John Gibson UTIL Ryan Shea W Alex Ovechkin W Alex DeBrincat W Rickard Rakell,,Ryan O'Reilly,C,4.04%,3
58,5055880115,tailarson10,0,114.50001,C Sam Bennett C Fraser Minten D Charlie McAvoy D Uvis Balinskis G Jeremy Swayman UTIL Dalibor Dvorsky W David Pastrnak W Matthew Tkachuk W Morgan Geekie,,Patrick Kane,W,4.04%,10.8
59,5055688137,DraftKingsEAD,0,114.4,C Connor McDavid C Chandler Stephenson D Evan Bouchard D Justin Faulk G Devin Cooley UTIL Jordan Eberle W Jared McCann W Viktor Arvidsson W Ondrej Palat,,Trevor Zegras,W,4.04%,1.3
60,5055853043,WaitTilNextYear,0,114.200005,C Pavel Zacha C Noah Ostlund D Rasmus Dahlin D Charlie McAvoy G Alex Lyon UTIL Nick Suzuki W Cole Caufield W Josh Doan W Viktor Arvidsson,,Ryan Nugent-Hopkins,W,4.04%,6.5
61,5055857401,Wamba22,0,113.80001,C Connor McDavid C Matty Beniers D Tony DeAngelo D Ben Chiarot G John Gibson UTIL Filip Hronek W Alex DeBrincat W Bobby McMann W Jackson Blake,,Roman Josi,D,3.87%,11.4
61,5055889931,ccrider729,0,113.8,C Mikael Granlund C Matty Beniers D Darren Raddysh D Dougie Hamilton G Ilya Sorokin UTIL Chris Kreider W Cutter Gauthier W Jared McCann W Jordan Eberle,,Seth Jarvis,W,3.87%,8
63,5055877742,Daley1978,0,113.3,C Danila Yurov C Jonathan Toews D Quinn Hughes D Justin Faulk G Filip Gustavsson UTIL Lenni Hameenaho W Kirill Kaprizov W Matt Boldy W Jonathan Marchessault,,Sebastian Aho,C,3.87%,4.5
