Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5047643728,sullybrochill (1/4),0,179.7,C Ryan O'Reilly C Kirby Dach D Darren Raddysh D Brady Skjei G Jake Allen UTIL Filip Forsberg W Nikita Kucherov W Brandon Hagel W Luke Evangelista,,Vasily Podkolzin,W,31.11%,5.8
2,5047466354,cantfademe (6/8),0,172.70001,C Anthony Cirelli C Ryan O'Reilly D Mike Matheson D Braden Schneider G Jonathan Quick UTIL Luke Evangelista W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Nikita Kucherov,W,30.37%,18
3,5047706921,isupol (4/4),0,158.1,C Tim Stuetzle C Ryan O'Reilly D Roman Josi D Brandt Clarke G James Reimer UTIL Kevin Fiala W Filip Forsberg W Luke Evangelista W Andrei Kuzmenko,,Brandon Hagel,W,24.44%,38.1
4,5047598899,Hunter4ever89 (1/8),0,157.7,C Anthony Cirelli C Ryan O'Reilly D Charle-Edouard D'Astous D Erik Gudbranson G Juuse Saros UTIL Luke Evangelista W Nikita Kucherov W Brandon Hagel W Filip Forsberg,,Kirby Dach,C,22.96%,9.9
5,5047406113,tecmo27 (4/8),0,157.3,C Anthony Cirelli C Ryan O'Reilly D Roman Josi D Brandt Clarke G Tristan Jarry UTIL Luke Evangelista W Brandon Hagel W Filip Forsberg W Vasily Podkolzin,,Connor McDavid,UTIL,22.22%,6
6,5047729357,CosaSpeciale (1/4),0,154.2,C Anthony Cirelli C Alex Turcotte D Brandt Clarke D Esa Lindell G Andrei Vasilevskiy UTIL Andrei Kuzmenko W Nikita Kucherov W Brandon Hagel W Kevin Fiala,,Ryan O'Reilly,C,20.74%,31
7,5047556183,Chillman9 (4/7),0,153.3,C Ryan O'Reilly C Kirby Dach D Darren Raddysh D Nick Blankenburg G Elvis Merzlikins UTIL Filip Forsberg W Nikita Kucherov W Brandon Hagel W Luke Evangelista,,Luke Evangelista,UTIL,20.37%,11
7,5047759485,NBARocks,0,153.3,C Ryan O'Reilly C Alex Turcotte D Roman Josi D Mason Lohrei G Joel Hofer UTIL Filip Forsberg W Nikita Kucherov W Brandon Hagel W Luke Evangelista,,Vladimir Tarasenko,W,20.00%,22.8
9,5047733237,nickps (8/8),0,152.70001,C Roope Hintz C Ryan O'Reilly D Roman Josi D Charle-Edouard D'Astous G Jake Oettinger UTIL Brady Skjei W Jason Robertson W Filip Forsberg W Luke Evangelista,,Darren Raddysh,D,19.63%,6.9
10,5047531029,HossDaBeast (8/8),0,152.49998,C Mark Scheifele C Ryan O'Reilly D Roman Josi D Brett Pesce G Jake Allen UTIL Filip Forsberg W Kyle Connor W Luke Evangelista W Alex Iafallo,,Roman Josi,D,18.89%,7.3
11,5047689950,isupol (1/4),0,150.1,C Tim Stuetzle C Ryan O'Reilly D Roman Josi D Brandt Clarke G Jake Allen UTIL Adrian Kempe W Filip Forsberg W Luke Evangelista W Corey Perry,,Zach Hyman,W,18.89%,11.8
12,5047556180,Chillman9 (1/7),0,149.3,C Mark Scheifele C Noah Ostlund D Josh Morrissey D Brandt Clarke G Alex Lyon UTIL Andrei Kuzmenko W Kyle Connor W Kevin Fiala W Gabriel Vilardi,,Cole Caufield,W,17.41%,15.8
13,5047302713,B_Heals152 (4/8),0,146.90001,C Roope Hintz C Kirby Dach D Roman Josi D Brady Skjei G Juuse Saros UTIL Ryan O'Reilly W Jason Robertson W Filip Forsberg W Luke Evangelista,,Ryan Hartman,C,17.04%,1.5
14,5047406112,tecmo27 (3/8),0,145.2,C Dylan Cozens C Kirby Dach D Thomas Chabot D Erik Gudbranson G Andrei Vasilevskiy UTIL Ridly Greig W Nikita Kucherov W Brady Tkachuk W Brandon Hagel,,Tristan Jarry,G,16.30%,3.5
15,5047466352,cantfademe (4/8),0,144.4,C Anthony Cirelli C Alex Turcotte D Roman Josi D Mike Matheson G Jake Allen UTIL Andrei Kuzmenko W Nikita Kucherov W Brandon Hagel W Kevin Fiala,,Filip Forsberg,W,15.56%,36.3
16,5047278308,Firedog50 (1/8),0,143.3,C Ryan O'Reilly C Kirby Dach D Darren Raddysh D Roman Josi G Tristan Jarry UTIL Vasily Podkolzin W Nikita Kucherov W Brandon Hagel W Vladimir Tarasenko,,Jeremy Swayman,G,14.44%,-1.4
17,5047624806,luckyguesses (1/3),0,143.1,C Wyatt Johnston C Roope Hintz D Miro Heiskanen D Braden Schneider G Jake Allen UTIL Cody Glass W Jason Robertson W Mikko Rantanen W Arseny Gritsyuk,,Anthony Cirelli,C,13.70%,15
18,5047654875,vishy2773 (3/8),0,142.6,C Ryan O'Reilly C Kirby Dach D Darren Raddysh D Roman Josi G Andrei Vasilevskiy UTIL Luke Evangelista W Nikita Kucherov W Filip Forsberg W Casey Mittelstadt,,Nick Suzuki,C,12.96%,9.1
19,5047287621,hawkeyemcnutt (2/2),0,141.90001,C Anthony Cirelli C Kirby Dach D Darren Raddysh D Alexandre Carrier G Alex Lyon UTIL David Perron W Nikita Kucherov W Brandon Hagel W Jake Guentzel,,Kirill Kaprizov,W,11.85%,11.5
20,5047699497,isupol (2/4),0,140.2,C Nick Suzuki C Ryan O'Reilly D Roman Josi D Lane Hutson G Jakub Dobes UTIL Connor Brown W Filip Forsberg W Cole Caufield W Luke Evangelista,,Adam Fantilli,C,11.48%,5.8
21,5047481654,BroncsRocks,0,139.50002,C Anthony Cirelli C Ryan O'Reilly D Roman Josi D J.J. Moser G Jesper Wallstedt UTIL Vladimir Tarasenko W Nikita Kucherov W Filip Forsberg W Steven Stamkos,,Alex Lyon,G,10.37%,17.2
22,5047466356,cantfademe (8/8),0,138.7,C Nick Suzuki C Anthony Cirelli D Mike Matheson D Brett Pesce G Jake Allen UTIL Kirby Dach W Nikita Kucherov W Brandon Hagel W Cole Caufield,,Dylan Cozens,C,10.37%,8
22,5047496842,Cicima6709 (6/8),0,138.7,C Ryan Hartman C Ryan O'Reilly D Darren Raddysh D Mike Matheson G Tristan Jarry UTIL Corey Perry W Nikita Kucherov W Brandon Hagel W Vladimir Tarasenko,,Lane Hutson,D,10.00%,16.5
24,5047777656,jpeters6 (4/8),0,136.6,C Dylan Cozens C Ryan O'Reilly D Roman Josi D Nick Blankenburg G Jake Allen UTIL Filip Forsberg W Nikita Kucherov W Steven Stamkos W Luke Evangelista,,Kirill Marchenko,W,10.00%,1.5
25,5047733235,nickps (6/8),0,134.9,C Ryan O'Reilly C Alex Laferriere D Roman Josi D Ivan Provorov G Darcy Kuemper UTIL Filip Forsberg W Brandon Hagel W Gabriel Vilardi W Luke Evangelista,,Joel Hofer,G,9.63%,2.1
26,5047490260,Cicima6709 (4/8),0,133.6,C Connor McDavid C Ryan O'Reilly D Roman Josi D Ivan Provorov G Tristan Jarry UTIL Vladimir Tarasenko W Filip Forsberg W Luke Evangelista W Vasily Podkolzin,,Brady Tkachuk,W,9.63%,10
27,5047567648,THE_PHANTOM_1 (3/8),0,133.29999,C Noah Ostlund C Kirby Dach D Darren Raddysh D Charlie McAvoy G Alex Lyon UTIL Brandon Hagel W Nikita Kucherov W Jake Guentzel W Oliver Bjorkstrand,,Zach Werenski,D,9.26%,3
28,5047466349,cantfademe (1/8),0,133.09999,C Anthony Cirelli C Ryan Hartman D Mike Matheson D Braden Schneider G Alex Lyon UTIL Vasily Podkolzin W Nikita Kucherov W Brandon Hagel W Jake Guentzel,,Jake Walman,UTIL,8.89%,14.9
29,5047497122,finnismybiotch,0,131.9,C Connor McDavid C Jack Roslovic D Mike Matheson D Braden Schneider G Alex Lyon UTIL Nikita Kucherov W Brandon Hagel W Vladimir Tarasenko W Vasily Podkolzin,,Jake Guentzel,W,8.89%,16.3
30,5047647436,nolt0032 (5/8),0,131.20001,C Dylan Cozens C Ryan O'Reilly D Roman Josi D Mattias Samuelsson G Tristan Jarry UTIL Luke Evangelista W Brady Tkachuk W Filip Forsberg W Ridly Greig,,Evan Bouchard,D,8.52%,1.5
31,5047329434,clothsofheaven (3/6),0,130.70001,C Nick Suzuki C Kirby Dach D Jake Walman D Ivan Provorov G Tristan Jarry UTIL Sean Monahan W Nikita Kucherov W Brandon Hagel W Cole Caufield,,Kent Johnson,W,8.15%,6.5
31,5047488945,bkreider (5/8),0,130.7,C Ryan Hartman C Danila Yurov D Quinn Hughes D Dougie Hamilton G Jake Allen UTIL Nikita Kucherov W Brandon Hagel W Vladimir Tarasenko W Yakov Trenin,,Jonathan Quick,G,8.15%,2.1
33,5047406111,tecmo27 (2/8),0,130.3,C Wyatt Johnston C Kirby Dach D Miro Heiskanen D Braden Schneider G Jake Oettinger UTIL Roope Hintz W Jason Robertson W Kevin Fiala W Matt Duchene,,Tage Thompson,UTIL,7.41%,10
34,5047474183,yanksspank25,0,129.5,C Anthony Cirelli C Dylan Cozens D Darren Raddysh D Jake Walman G Jesper Wallstedt UTIL Vasily Podkolzin W Nikita Kucherov W Brandon Hagel W Ridly Greig,,Corey Perry,UTIL,7.41%,6.3
