Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Ilya Sorokin,,0,G,7800,NYI,vs PIT,7:30 pm,N,55.2%,+81.0,5.5,2.7,2.75,confirm,,59:43,14.3,11.96,38.81,14.89,14.89,100,,58,1.9,0,60:22,13.7,1.8
Andrei Vasilevskiy,,0,G,8300,TB,vs BUF,7:30 pm,Y,55.7%,-125.5,6.5,3.87,3.25,confirm,,59:19,13.1,8.55,30.82,13.72,13.72,100,,67,1.7,0,63:33,11.6,1.4
Philipp Grubauer,,0,G,7300,SEA,@ ANA,10:00 pm,N,52.2%,+91.5,6,3,3.23,confirm,,55:46,13.7,9.46,31.82,12.9,12.9,100,,65,1.8,0,56:12,4.9,0.7
Brandon Bussi,,0,G,8400,CAR,vs OTT,7:00 pm,Y,50.0%,-100.0,6.5,3.69,3.25,confirm,,60:43,12.4,7.13,25.27,11.01,11.01,100,,71,1.3,0,60:00,10.9,1.3
Clay Stevenson,,0,G,7500,WSH,@ PHI,7:00 pm,N,50.3%,+99.0,6,3,3.25,confirm,,60:51,15.8,7,25.23,11.23,11.23,100,,0,1.5,0,58:25,2.1,0.3
Anthony Stolarz,,0,G,7200,TOR,@ EDM,8:30 pm,N,48.3%,+107.0,7,3.5,4.04,confirm,,54:36,7.9,9.4,30.15,11.35,11.35,100,,41,1.6,0,60:00,22.8,3.2
Colten Ellis,,0,G,7100,BUF,@ TB,7:30 pm,N,44.3%,+125.5,6.5,3.25,3.87,confirm,,52:54,11.2,6.3,23.86,11.26,11.26,100,,72,1.6,0,64:24,9.7,1.4
Lukas Dostal,,0,G,8100,ANA,vs SEA,10:00 pm,Y,47.8%,-91.5,6,3.23,3,confirm,,57:22,10.7,9.2,28.89,10.49,10.49,100,,57,1.3,0,60:00,17.2,2.1
Dan Vladar,,0,G,7900,PHI,vs WSH,7:00 pm,Y,49.7%,-99.0,6,3.25,3,confirm,,57:25,10.7,7.49,25.41,10.43,10.43,100,,65,1.3,0,60:00,17.2,2.2
Connor Ingram,,0,G,8200,EDM,vs TOR,8:30 pm,Y,51.7%,-107.0,7,4.04,3.5,confirm,,54:56,10.4,9.7,29.33,9.93,9.93,100,,53,1.2,0,59:30,1.4,0.2
