Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Karel Vejmelka,,0,G,8400,UTA,vs VAN,9:30 pm,Y,60.9%,-156.0,6.5,4.14,3.25,,,58:45,10.6,8.85,30.32,12.62,12.62,100,,58,1.5,0,59:27,14.4,1.7
MacKenzie Blackwood,,0,G,8300,COL,vs DET,9:00 pm,Y,52.9%,-112.5,6.5,3.81,3.25,confirm,,58:14,14.6,10.95,34.4,12.5,12.5,100,,63,1.5,0,57:14,11.9,1.4
Filip Gustavsson,,0,G,8100,MIN,vs MTL,7:30 pm,Y,44.9%,-81.5,6.5,3.43,3.25,confirm,,59:07,13.2,7.39,27.68,12.9,12.9,100,,72,1.6,0,63:38,7.4,0.9
Joseph Woll,,0,G,7800,TOR,@ CGY,10:00 pm,Y,44.4%,-80.0,6,3,2.98,confirm,,56:39,13.3,10.67,34,12.66,12.66,100,,60,1.6,0,60:00,18.6,2.4
Alex Lyon,,0,G,7400,BUF,@ FLA,7:00 pm,N,54.8%,+82.5,6.5,3.25,3.33,confirm,,54:47,13.1,9.35,31.21,12.51,12.51,100,,64,1.7,0,59:55,25.1,3.4
Anson Thornton,,0,G,8200,UTA,vs VAN,9:30 pm,Y,60.9%,-156.0,6.5,4.14,3.25,,,,,,11.96,11.96,11.96,100,,0,1.5,0,,,
John Gibson,,0,G,7100,DET,@ COL,9:00 pm,N,47.1%,+112.5,6.5,3.25,3.81,confirm,,58:17,11.8,10.73,33.51,12.05,12.05,100,,55,1.7,0,60:00,24.7,3.5
Spencer Knight,,0,G,7500,CHI,vs SJ,8:30 pm,EVEN,55.7%,+79.5,6.5,3.25,3.25,confirm,,59:50,12.2,9.86,31.55,11.83,11.83,100,,60,1.6,0,59:52,13,1.7
Vitek Vanecek,,0,G,8400,UTA,vs VAN,9:30 pm,Y,60.9%,-156.0,6.5,4.14,3.25,,,58:37,8.1,8.31,26.88,10.26,10.26,100,,49,1.2,0,00:00,0,
Jake Oettinger,,0,G,8200,DAL,vs WPG,8:30 pm,Y,46.5%,-87.0,5.5,3,2.75,confirm,,59:15,11.5,9.26,29.45,10.93,10.93,100,,60,1.3,0,62:05,12.3,1.5
Juuse Saros,,0,G,8000,NSH,vs STL,8:00 pm,Y,46.8%,-88.0,6,3.27,3,confirm,,57:49,10.8,9.56,29.73,10.61,10.61,100,,56,1.3,0,23:55,-6.3,
Yaroslav Askarov,,0,G,7900,SJ,@ CHI,8:30 pm,EVEN,44.3%,-79.5,6.5,3.25,3.25,confirm,,55:06,9.6,10.94,32.61,10.73,10.73,100,,43,1.4,0,30:36,-9.8,
