Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5049059440,mt33428 (9/15),0,182.00002,C Ryan O'Reilly C Noah Ostlund D Roman Josi D Mike Matheson G Juuse Saros UTIL Kirill Kaprizov W Mats Zuccarello W Steven Stamkos W Luke Evangelista,,Connor McDavid,C,26.93%,1.5
2,5049212551,Jjsdraft88 (14/20),0,181.00002,C Ryan O'Reilly C Matt Duchene D Quinn Hughes D Owen Power G Spencer Knight UTIL Jason Zucker W Kirill Kaprizov W Mats Zuccarello W Steven Stamkos,,Zach Hyman,W,21.66%,6
3,5049309666,bizzell88 (7/37),0,176.70001,C Ryan Hartman C Jordan Staal D Quinn Hughes D Mike Matheson G Jet Greaves UTIL Kirill Kaprizov W Nikolaj Ehlers W Mats Zuccarello W Jordan Martinook,,Matt Duchene,C,20.63%,3
4,5048962047,giantsquid (32/34),0,176.40001,C Ryan O'Reilly C Elias Lindholm D Charlie McAvoy D Artem Zub G Spencer Knight UTIL Steven Stamkos W David Pastrnak W Filip Forsberg W Luke Evangelista,,Jake Walman,D,18.99%,15
5,5049309669,bizzell88 (10/37),0,170.90001,C Ryan Hartman C Logan Stankoven D Quinn Hughes D Ivan Provorov G Jet Greaves UTIL Kirill Kaprizov W Mats Zuccarello W Jackson Blake W Taylor Hall,,Cole Caufield,W,18.20%,11.5
6,5048939717,tommienation1 (19/50),0,169.40001,C Ryan Hartman C Ben Kindel D Quinn Hughes D Thomas Harley G Arturs Silovs UTIL Mats Zuccarello W Kirill Kaprizov W Anthony Mantha W Justin Brazeau,,Spencer Knight,G,17.91%,15.1
7,5049067014,realist2365,0,169.2,C Ryan Hartman C Logan Stankoven D Quinn Hughes D Mattias Ekholm G Ukko-Pekka Luukkonen UTIL Jackson Blake W Kirill Kaprizov W Mats Zuccarello W Taylor Hall,,Ryan O'Reilly,C,15.93%,19.5
8,5049117998,nolt0032 (3/6),0,167.2,C Ryan Hartman C Logan Stankoven D Moritz Seider D Brock Faber G Ukko-Pekka Luukkonen UTIL Mats Zuccarello W Kirill Kaprizov W Jackson Blake W Taylor Hall,,Ryan Nugent-Hopkins,C,14.80%,0
9,5048945558,Rupster (3/30),0,166.70001,C Nick Suzuki C Ryan O'Reilly D Zach Werenski D Mike Matheson G Jet Greaves UTIL Steven Stamkos W Cole Caufield W Luke Evangelista W Kirby Dach,,Alexander Nikishin,D,13.83%,2.8
10,5049248696,madbx8 (3/6),0,166.00002,C Nick Suzuki C Ryan Hartman D Jake Walman D Mike Matheson G Spencer Knight UTIL Kirill Kaprizov W Cole Caufield W Mats Zuccarello W Kirby Dach,,Filip Gustavsson,G,13.38%,16.5
11,5048803671,SkyU27,0,165.00002,C Nick Suzuki C Ryan Hartman D Jake Walman D Jared Spurgeon G Jet Greaves UTIL Kirill Kaprizov W Cole Caufield W Mats Zuccarello W Kirby Dach,,Nick Suzuki,UTIL,13.21%,19.3
12,5049246709,vishy2773 (43/52),0,164.90001,C Joel Eriksson Ek C Ryan Hartman D Alexander Nikishin D Ryan Shea G Arturs Silovs UTIL Quinn Hughes W Kirill Kaprizov W Mats Zuccarello W Jackson Blake,,Seth Jarvis,W,13.04%,6
13,5049175097,odawg2121 (9/10),0,163.8,C Ryan Hartman C Tommy Novak D Evan Bouchard D Jake Walman G Filip Gustavsson UTIL Egor Chinakhov W Kirill Kaprizov W Evgeni Malkin W Mats Zuccarello,,Vladimir Tarasenko,W,13.04%,4.5
14,5049071992,pgk8 (16/20),0,162.9,C Tomas Hertl C Ryan O'Reilly D Roman Josi D Mattias Ekholm G Ukko-Pekka Luukkonen UTIL Steven Stamkos W Filip Forsberg W Jason Zucker W Luke Evangelista,,Filip Forsberg,W,12.64%,11
15,5049309680,bizzell88 (21/37),0,161.40001,C Anton Lundell C Elias Lindholm D Charlie McAvoy D Alex Vlasic G Spencer Knight UTIL Kirill Kaprizov W David Pastrnak W Mats Zuccarello W Marat Khusnutdinov,,Sebastian Aho,C,12.13%,4.5
