Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,5048395908,ShellRoadSharks,0,148,C Dylan Larkin C Nick Schmaltz D Moritz Seider D Zach Whitecloud G Lukas Dostal UTIL Lawson Crouse W Clayton Keller W Lucas Raymond W James van Riemsdyk,,Bryan Rust,W,9.90%,14.3
26,5047990100,OneDropKing (50/142),0,147.20001,C Dylan Larkin C Matty Beniers D Moritz Seider D Vince Dunn G Philipp Grubauer UTIL Elias Pettersson W Lucas Raymond W Jake DeBrusk W Brock Boeser,,Alex DeBrincat,W,9.88%,12
27,5048012942,B_Heals152 (7/142),0,147.1,C Dylan Strome C Matty Beniers D Jakob Chychrun D Vince Dunn G Philipp Grubauer UTIL Filip Hronek W Tom Wilson W Rickard Rakell W Jared McCann,,Matthew Knies,W,9.38%,1.5
28,5048154684,PresidentLeach (24/50),0,146.9,C Dylan Larkin C Nick Schmaltz D Moritz Seider D Brett Kulak G Lukas Dostal UTIL Lawson Crouse W Clayton Keller W Lucas Raymond W Marco Kasper,,Lawson Crouse,UTIL,9.38%,12.8
29,5047990101,OneDropKing (51/142),0,146.6,C Nick Schmaltz C Mikael Granlund D Mikhail Sergachev D Vince Dunn G Philipp Grubauer UTIL Jared McCann W Clayton Keller W Beckett Sennecke W Lawson Crouse,,Dylan Larkin,C,9.25%,25.3
30,5047912407,LegendsPark,0,146.4,C Dylan Larkin C Christian Dvorak D Brent Burns D Cam York G John Gibson UTIL Anthony Mantha W Martin Necas W Trevor Zegras W Artturi Lehkonen,,Morgan Rielly,D,9.25%,11.4
31,5048172308,tommienation1 (53/106),0,146.3,C Nick Schmaltz C Matty Beniers D Cale Makar D Yan Kuznetsov G Philipp Grubauer UTIL Jordan Eberle W Clayton Keller W Jared McCann W Lawson Crouse,,Mathew Barzal,C,8.75%,8
32,5048531533,tical1994 (60/63),0,146,C Nick Schmaltz C Christian Dvorak D Sam Malinski D Josh Manson G Scott Wedgewood UTIL Travis Konecny W Clayton Keller W Trevor Zegras W Lawson Crouse,,Jake DeBrusk,W,8.37%,10
33,5048172313,tommienation1 (58/106),0,145.8,C Nick Schmaltz C Mikael Granlund D Simon Edvinsson D Matt Roy G Lukas Dostal UTIL Lawson Crouse W Dylan Guenther W Clayton Keller W Beckett Sennecke,,Matthew Schaefer,D,7.84%,0
34,5048090043,realist2365,0,145.5,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Vince Dunn G Philipp Grubauer UTIL Valeri Nichushkin W Clayton Keller W Jared McCann W Jordan Eberle,,Mikhail Sergachev,D,7.84%,6.9
35,5048487160,isupol (4/8),0,145.40001,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Vince Dunn G Kevin Lankinen UTIL Elias Pettersson W Clayton Keller W Jared McCann W Jordan Eberle,,Sam Malinski,D,7.76%,6
36,5048416636,I_Slewfoot_U (11/50),0,145.3,C Nick Schmaltz C Matty Beniers D Jakob Chychrun D John Carlson G Philipp Grubauer UTIL Chandler Stephenson W Clayton Keller W Jared McCann W Lawson Crouse,,Jordan Eberle,W,7.55%,4.3
37,5048401484,gmoney_69 (29/50),0,145.20001,C Nick Schmaltz C Elias Pettersson D Mikhail Sergachev D Filip Hronek G Lukas Dostal UTIL Dylan Guenther W Clayton Keller W Lawson Crouse W Ryan Strome,,Dylan Strome,UTIL,7.34%,29.5
37,5048143050,craftylefty (3/53),0,145.2,C Nick Schmaltz C Elias Pettersson D Tony DeAngelo D Jamie Drysdale G Joseph Woll UTIL Jake DeBrusk W Dylan Guenther W Clayton Keller W JJ Peterka,,Brent Burns,D,7.00%,16.4
37,5048387600,AdrocksBucksWinItAll (12/40),0,145.2,C Elias Pettersson C Christian Dvorak D Cale Makar D Jamie Drysdale G Joseph Woll UTIL Jake DeBrusk W Travis Konecny W Trevor Zegras W Brock Boeser,,Matias Maccelli,W,6.79%,3
40,5048066295,beefcake3922 (2/2),0,144.6,C Dylan Larkin C Nick Schmaltz D Mikhail Sergachev D Josh Manson G John Gibson UTIL Marco Kasper W Clayton Keller W Lucas Raymond W Lawson Crouse,,Valeri Nichushkin,W,6.77%,1.3
41,5048416630,I_Slewfoot_U (5/50),0,144.30002,C Dylan Larkin C Matty Beniers D Vince Dunn D Sean Durzi G Philipp Grubauer UTIL Jared McCann W Alex DeBrincat W Lucas Raymond W Yegor Sharangovich,,Joseph Woll,G,6.62%,25.3
42,5048172334,tommienation1 (79/106),0,144.1,C Nick Schmaltz C Matty Beniers D Jakob Chychrun D Sean Durzi G Lukas Dostal UTIL Jordan Eberle W Clayton Keller W Jared McCann W Lawson Crouse,,Brock Boeser,UTIL,6.54%,20.8
43,5047989085,kbhagat80,0,144,C Brock Nelson C Dylan Larkin D John Carlson D Brent Burns G Philipp Grubauer UTIL Elias Pettersson W Jake DeBrusk W Brock Boeser W Ross Colton,,Lucas Raymond,W,6.52%,8
44,5048447273,zthompsn15 (1/2),0,143.6,C Nick Schmaltz C Elias Pettersson D Cale Makar D Tom Willander G Philipp Grubauer UTIL Clayton Keller W Jake DeBrusk W Brock Boeser W Lawson Crouse,,Jake McCabe,D,6.50%,5.8
44,5048421816,fennergiants (1/4),0,143.59999,C Nick Schmaltz C Christian Dvorak D Sean Durzi D Morgan Rielly G Ilya Sorokin UTIL Bobby Brink W Dylan Guenther W Clayton Keller W JJ Peterka,,Mikael Backlund,C,6.43%,1.5
46,5048416626,I_Slewfoot_U (1/50),0,143.50002,C Dylan Larkin C Christian Dvorak D Jamie Drysdale D Ian Cole G Philipp Grubauer UTIL Nathan MacKinnon W Travis Konecny W Trevor Zegras W Bobby Brink,,Dylan Guenther,W,6.37%,15.8
47,5048013034,B_Heals152 (99/142),0,143.40001,C Sidney Crosby C Matty Beniers D Vince Dunn D Tom Willander G Philipp Grubauer UTIL Bryan Rust W Rickard Rakell W Evgeni Malkin W Jared McCann,,Alex Ovechkin,W,6.29%,8
47,5048416648,I_Slewfoot_U (23/50),0,143.40001,C Sidney Crosby C Matty Beniers D Vince Dunn D Tom Willander G Philipp Grubauer UTIL Jared McCann W Bryan Rust W Rickard Rakell W Evgeni Malkin,,Dustin Wolf,G,6.24%,0.7
49,5047990070,OneDropKing (20/142),0,142.7,C Nazem Kadri C Matty Beniers D Mikhail Sergachev D Vince Dunn G Philipp Grubauer UTIL MacKenzie Weegar W Clayton Keller W Jared McCann W JJ Peterka,,Anders Lee,W,6.22%,0
50,5048201714,giantsquid (112/142),0,142.6,C Nathan MacKinnon C Matty Beniers D Vince Dunn D Morgan Rielly G Philipp Grubauer UTIL Elias Pettersson W Jared McCann W Brock Boeser W Evander Kane,,Bobby McMann,UTIL,6.20%,4.1
51,5048401497,gmoney_69 (42/50),0,142.50002,C Nick Schmaltz C Elias Pettersson D Brandon Montour D Vince Dunn G Karel Vejmelka UTIL Brock Boeser W Clayton Keller W Jake DeBrusk W Lawson Crouse,,Andrew Copp,UTIL,6.14%,3
52,5048378323,flo612 (13/16),0,142.1,C Dylan Larkin C Matty Beniers D Vince Dunn D Travis Sanheim G Philipp Grubauer UTIL Lucas Raymond W Alex DeBrincat W Jared McCann W Jordan Eberle,,Filip Hronek,D,6.12%,12.6
53,5048013064,B_Heals152 (129/142),0,141.70001,C Dylan Larkin C Christian Dvorak D Jackson LaCombe D Jamie Drysdale G Philipp Grubauer UTIL Jaden Schwartz W Alex DeBrincat W Travis Konecny W Trevor Zegras,,Calum Ritchie,C,5.91%,11
54,5048210121,BJLTNYK (48/142),0,141.00002,C Nick Schmaltz C Tommy Novak D Brandon Montour D Sean Durzi G Stuart Skinner UTIL Egor Chinakhov W Dylan Guenther W Clayton Keller W Evgeni Malkin,,Jacob Trouba,D,5.89%,6.9
54,5048123762,UniversalFriend (5/6),0,141,C Nathan MacKinnon C Matty Beniers D Vince Dunn D Filip Hronek G Philipp Grubauer UTIL Elias Pettersson W Jared McCann W Jake DeBrusk W Brock Boeser,,Tom Wilson,W,5.89%,6.5
56,5048167437,cantfademe (138/142),0,140.70001,C Nick Schmaltz C Elias Pettersson D Cale Makar D Jack St. Ivany G Stuart Skinner UTIL Brock Boeser W Clayton Keller W Jake DeBrusk W Lawson Crouse,,Tony DeAngelo,D,5.87%,10.5
57,5048012994,B_Heals152 (59/142),0,140.6,C Dylan Larkin C Matty Beniers D Cale Makar D Vince Dunn G Philipp Grubauer UTIL John Carlson W Jared McCann W Jordan Eberle W Nils Hoglander,,Josh Manson,D,5.55%,11.4
58,5048275916,EricX (32/142),0,140.3,C Christian Dvorak C Matty Beniers D Jakob Chychrun D Cam York G Philipp Grubauer UTIL Jordan Eberle W Travis Konecny W Trevor Zegras W Jared McCann,,Moritz Seider,D,5.47%,9.3
59,5048208337,Verdejo38 (15/20),0,139.6,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Jacob Trouba G Philipp Grubauer UTIL Clayton Keller W Dylan Guenther W Lawson Crouse W Nicholas Robertson,,Anthony Mantha,W,5.38%,1.5
59,5048404016,nickel16161616 (4/14),0,139.6,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Jacob Trouba G Philipp Grubauer UTIL Clayton Keller W Dylan Guenther W Lawson Crouse W Nicholas Robertson,,Vince Dunn,D,5.34%,20.8
61,5048364578,bizzell88 (105/142),0,139.3,C Mason McTavish C Matty Beniers D Jackson LaCombe D Brandon Montour G Lukas Dostal UTIL Jared McCann W Dylan Guenther W Clayton Keller W Chris Kreider,,Max Domi,W,5.34%,3
61,5048387593,AdrocksBucksWinItAll (5/40),0,139.3,C Matty Beniers C Chandler Stephenson D Mikhail Sergachev D Brent Burns G Stuart Skinner UTIL Jared McCann W Dylan Guenther W Clayton Keller W JJ Peterka,,Evgeni Malkin,W,5.17%,19.3
63,5048168468,Dperrin13,0,139.20001,C Dylan Strome C Mason McTavish D Vince Dunn D Oliver Ekman-Larsson G Lukas Dostal UTIL Owen Tippett W Clayton Keller W Bryan Rust W Matthew Knies,,Yegor Sharangovich,W,5.11%,14.3
64,5048425033,thechek182 (70/70),0,139,C Dylan Larkin C Matty Beniers D Moritz Seider D Vince Dunn G Philipp Grubauer UTIL Elias Pettersson W Valeri Nichushkin W Jared McCann W Jake DeBrusk,,JJ Peterka,W,5.07%,10
65,5048244459,cookiesox48,0,138.8,C Dylan Strome C Matty Beniers D Oliver Ekman-Larsson D Martin Fehervary G Philipp Grubauer UTIL Nick Schmaltz W Alex Ovechkin W Clayton Keller W Jordan Eberle,,Nazem Kadri,C,4.98%,3
