Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Ilya Sorokin,,0,G,7600,NYI,@ NJ,7:00 pm,N,55.9%,+79.0,5.5,2.75,2.77,confirm,,59:44,14.3,11.79,38.61,15.03,15.03,100,,59,2,0,60:00,18.6,2.4
Andrei Vasilevskiy,,0,G,8200,TB,vs FLA,7:30 pm,Y,53.8%,-116.5,5.5,3.26,2.75,confirm,,59:25,13,8.43,30.46,13.6,13.6,100,,68,1.7,0,59:56,25.6,3.1
Logan Thompson,,0,G,7900,WSH,vs NSH,7:00 pm,Y,49.9%,-99.5,6.5,3.7,3.25,confirm,,59:06,12.8,10.5,34.21,13.21,13.21,100,,59,1.7,0,59:16,17.9,2.3
Alex Lyon,,0,G,8000,BUF,vs PIT,7:00 pm,Y,44.0%,-78.5,6.5,3.42,3.25,confirm,,54:58,13.5,9.45,32.27,13.37,13.37,100,,65,1.7,0,56:51,4.9,0.6
Jake Allen,,0,G,7800,NJ,vs NYI,7:00 pm,Y,44.1%,-79.0,5.5,2.77,2.75,confirm,,59:06,11.5,10.82,33.32,11.68,11.68,100,,53,1.5,0,57:59,0.7,0.1
Anton Forsberg,,0,G,7100,LA,@ VGK,10:00 pm,N,52.9%,+89.0,6,3,3.26,confirm,,57:11,11.6,7.66,27.88,12.56,12.56,100,,67,1.8,0,60:00,-1.4,
Brandon Bussi,,0,G,8400,CAR,@ NYR,7:00 pm,Y,56.1%,-128.0,6.5,3.25,2.7,confirm,,60:42,12.3,7,24.18,10.18,10.18,100,,72,1.2,0,59:57,21.2,2.5
Daniil Tarasov,,0,G,7200,FLA,@ TB,7:30 pm,N,46.2%,+116.5,5.5,2.75,3.26,confirm,,56:45,10.6,7.67,26.38,11.04,11.04,100,,64,1.5,0,45:59,-3.5,
James Reimer,,0,G,7900,OTT,@ PHI,7:00 pm,Y,46.5%,-87.0,6,3,2.87,confirm,,55:20,4.8,7.25,23.34,8.84,8.84,100,,24,1.1,0,60:47,12.3,1.6
Dan Vladar,,0,G,7500,PHI,vs OTT,7:00 pm,N,53.5%,+87.0,6,2.87,3,confirm,,57:30,10.9,7.46,24.75,9.83,9.83,100,,66,1.3,0,59:43,12.5,1.7
