Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Arturs Silovs,,0,G,7400,PIT,@ BUF,7:00 pm,N,56.0%,+78.5,6.5,3.25,3.42,confirm,,58:18,10.3,8.96,27.66,9.74,9.74,100,,57,1.3,0,59:38,17.9,2.4
Justus Annunen,,0,G,7300,NSH,@ WSH,7:00 pm,N,50.1%,+99.5,6.5,3.25,3.7,confirm,,50:10,7.9,9.13,26.38,8.12,8.12,100,,42,1.1,0,56:41,4.2,0.6
Adin Hill,,0,G,8300,VGK,vs LA,10:00 pm,Y,47.1%,-89.0,6,3.26,3,confirm,,53:23,4.2,6.65,20.7,7.4,7.4,100,,21,0.9,0,59:57,24.9,3
Jonathan Quick,,0,G,7000,NYR,vs CAR,7:00 pm,N,43.9%,+128.0,6.5,2.7,3.25,confirm,,56:07,6.8,10.53,28.48,7.42,7.42,100,,23,1.1,0,59:14,28.2,4
Frederik Andersen,,0,G,8400,CAR,@ NYR,7:00 pm,Y,56.1%,-128.0,6.5,3.25,2.7,unlikely,,60:13,6.6,7.92,0,0,0,100,,40,0,0,00:00,0,
Akira Schmid,,0,G,8300,VGK,vs LA,10:00 pm,Y,47.1%,-89.0,6,3.26,3,unlikely,,58:11,10.5,8.05,0,0,0,100,,62,0,0,00:00,0,
Pyotr Kochetkov,,0,G,8200,CAR,@ NYR,7:00 pm,Y,56.1%,-128.0,6.5,3.25,2.7,unlikely,,55:28,10,9.5,0,0,0,100,,53,0,0,,,
Jonas Johansson,,0,G,8200,TB,vs FLA,7:30 pm,Y,53.8%,-116.5,5.5,3.26,2.75,unlikely,,57:25,9.6,8.76,0,0,0,100,,54,0,0,00:00,0,
Garin Bjorklund,,0,G,8100,WSH,vs NSH,7:00 pm,Y,49.9%,-99.5,6.5,3.7,3.25,unlikely,,,,,0,0,0,100,,0,0,0,,,
Clay Stevenson,,0,G,8100,WSH,vs NSH,7:00 pm,Y,49.9%,-99.5,6.5,3.7,3.25,unlikely,,60:02,11.2,8.62,0,0,0,100,,62,0,0,00:00,0,
Carter Hart,,0,G,8100,VGK,vs LA,10:00 pm,Y,47.1%,-89.0,6,3.26,3,unlikely,,54:56,6.4,9.72,0,0,0,100,,24,0,0,,,
Colten Ellis,,0,G,8000,BUF,vs PIT,7:00 pm,Y,44.0%,-78.5,6.5,3.42,3.25,unlikely,,53:43,11.1,6.09,0,0,0,100,,73,0,0,00:00,0,
Linus Ullmark,,0,G,7900,OTT,@ PHI,7:00 pm,Y,46.5%,-87.0,6,3,2.87,unlikely,,59:14,8.7,8.18,0,0,0,100,,53,0,0,,,
Charlie Lindgren,,0,G,7900,WSH,vs NSH,7:00 pm,Y,49.9%,-99.5,6.5,3.7,3.25,unlikely,,59:17,9.8,9.83,0,0,0,100,,50,0,0,,,
Ukko-Pekka Luukkonen,,0,G,7800,BUF,vs PIT,7:00 pm,Y,44.0%,-78.5,6.5,3.42,3.25,unlikely,,54:51,10.3,8.68,0,0,0,100,,58,0,0,,,
Jacob Markstrom,,0,G,7800,NJ,vs NYI,7:00 pm,Y,44.1%,-79.0,5.5,2.77,2.75,unlikely,,56:55,8.8,9.96,0,0,0,100,,43,0,0,00:00,0,
David Rittich,,0,G,7600,NYI,@ NJ,7:00 pm,N,55.9%,+79.0,5.5,2.75,2.77,unlikely,,59:28,10.1,9.83,0,0,0,100,,51,0,0,00:00,0,
Alexei Kolosov,,0,G,7500,PHI,vs OTT,7:00 pm,N,53.5%,+87.0,6,2.87,3,unlikely,,30:00,0.8,7.56,0,0,0,100,,0,0,0,00:00,2,0.3
Stuart Skinner,,0,G,7400,PIT,@ BUF,7:00 pm,N,56.0%,+78.5,6.5,3.25,3.42,unlikely,,57:22,9.4,10.01,0,0,0,100,,47,0,0,00:00,0,
Semyon Varlamov,,0,G,7400,NYI,@ NJ,7:00 pm,N,55.9%,+79.0,5.5,2.75,2.77,unlikely,,,,,0,0,0,100,,0,0,0,,,
Samuel Ersson,,0,G,7300,PHI,vs OTT,7:00 pm,N,53.5%,+87.0,6,2.87,3,unlikely,,57:39,4.5,8.97,0,0,0,100,,0,0,0,,,
Juuse Saros,,0,G,7300,NSH,@ WSH,7:00 pm,N,50.1%,+99.5,6.5,3.25,3.7,unlikely,,57:12,10.4,9.68,0,0,0,100,,53,0,0,00:00,0,
Sergei Bobrovsky,,0,G,7200,FLA,@ TB,7:30 pm,N,46.2%,+116.5,5.5,2.75,3.26,unlikely,,58:35,7.7,9.88,0,0,0,100,,36,0,0,13:51,-2.1,
Darcy Kuemper,,0,G,7100,LA,@ VGK,10:00 pm,N,52.9%,+89.0,6,3,3.26,unlikely,,57:59,10.2,8.55,0,0,0,100,,58,0,0,00:00,0,
Spencer Martin,,0,G,7000,NYR,vs CAR,7:00 pm,N,43.9%,+128.0,6.5,2.7,3.25,unlikely,,48:26,4,6.31,0,0,0,100,,21,0,0,00:00,0,
Igor Shesterkin,,0,G,6800,NYR,vs CAR,7:00 pm,N,43.9%,+128.0,6.5,2.7,3.25,unlikely,,58:53,12.7,8.94,0,0,0,100,,65,0,0,,,
Sergei Murashov,,0,G,6500,PIT,@ BUF,7:00 pm,N,56.0%,+78.5,6.5,3.25,3.42,unlikely,,51:51,9.3,7.29,0,0,0,100,,61,0,0,,,
Marcus Hogberg,,0,G,6500,NYI,@ NJ,7:00 pm,N,55.9%,+79.0,5.5,2.75,2.77,unlikely,,13:29,-3.5,0,0,0,0,100,,0,0,0,,,
Nico Daws,,0,G,6500,NJ,vs NYI,7:00 pm,Y,44.1%,-79.0,5.5,2.77,2.75,unlikely,,60:00,22.8,0,0,0,0,100,,0,0,0,,,
Mads Sogaard,,0,G,6500,OTT,@ PHI,7:00 pm,Y,46.5%,-87.0,6,3,2.87,unlikely,,33:13,2.2,10.51,0,0,0,100,,0,0,0,,,
Leevi Merilainen,,0,G,6500,OTT,@ PHI,7:00 pm,Y,46.5%,-87.0,6,3,2.87,unlikely,,53:52,4.1,8.71,0,0,0,100,,0,0,0,,,
Pheonix Copley,,0,G,6500,LA,@ VGK,10:00 pm,N,52.9%,+89.0,6,3,3.26,unlikely,,39:17,5.6,1.4,0,0,0,100,,0,0,0,,,
Carl Lindbom,,0,G,6500,VGK,vs LA,10:00 pm,Y,47.1%,-89.0,6,3.26,3,unlikely,,60:05,5.9,5.1,0,0,0,100,,57,0,0,,,
