Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Ilya Sorokin,,0,G,7900,NYI,vs NSH,7:00 pm,Y,44.4%,-80.0,5.5,2.91,2.75,confirm,,59:45,14.3,12.14,38.92,14.8,14.6352193,100,,58,1.9,0,58:50,15.6,2
Jesper Wallstedt,,0,G,7200,MIN,@ EDM,10:00 pm,N,53.5%,+87.0,6.5,3.25,3.42,confirm,,60:25,15.4,12.94,40.24,14.36,14.36,100,,58,2,0,60:00,25.8,3.6
Joseph Woll,,0,G,8300,TOR,@ VAN,7:00 pm,Y,47.5%,-90.5,6.5,3.25,3.07,confirm,,56:17,13,10.84,34.23,12.29,12.55133256,100,,58,1.5,0,65:00,18.6,2.2
Alex Lyon,,0,G,8100,BUF,vs MTL,7:00 pm,Y,44.0%,-78.5,6.5,3.43,3.25,confirm,,54:40,13.3,9.48,33.14,12.36,14.18302622,100,,64,1.8,0,57:43,8.4,1
Casey Desmith,,0,G,7600,DAL,@ UTA,9:00 pm,N,54.2%,+84.5,5.5,2.75,2.81,confirm,,58:59,12.6,7.69,28.13,12.39,12.75017071,100,,69,1.7,0,60:00,7.4,1
Jet Greaves,,0,G,7400,CBJ,@ STL,7:00 pm,N,56.0%,+78.5,6,3,3.06,confirm,,59:23,12.5,8.21,29.43,12.32,13.00526566,100,,67,1.8,0,59:51,15.1,2
Tristan Jarry,,0,G,8200,EDM,vs MIN,10:00 pm,Y,46.5%,-87.0,6.5,3.42,3.25,confirm,,55:08,11.8,10.81,33.14,11.52,11.52,100,,54,1.4,0,35:40,-7,
Akira Schmid,,0,G,8500,VGK,vs SEA,10:00 pm,Y,53.4%,-114.5,6,3.51,3,confirm,,58:06,10.7,8.21,26.25,10.63,9.831040632,100,,62,1.2,0,58:20,3.5,0.4
Karel Vejmelka,,0,G,7800,UTA,vs DAL,9:00 pm,Y,45.8%,-84.5,5.5,2.81,2.75,,,58:45,10.6,8.95,29.19,11.18,11.28617593,100,,58,1.4,0,58:29,9.8,1.3
Anson Thornton,,0,G,7600,UTA,vs DAL,9:00 pm,Y,45.8%,-84.5,5.5,2.81,2.75,,,,,,10.71,10.71,10.71,100,,0,1.4,0,,,
Jake Allen,,0,G,7000,NJ,@ OTT,7:00 pm,N,49.5%,+102.0,5.5,2.75,3.11,confirm,,59:05,11.5,11.02,33.33,11.29,11.29,100,,52,1.6,0,59:17,10.5,1.5
