Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Jacob Markstrom,,0,G,8100,NJ,@ VAN,10:00 pm,Y,47.2%,-89.5,6,3,2.77,confirm,,56:35,8.9,10.38,29.61,8.85,8.85,100,,42,1.1,0,60:00,6.7,0.8
Adin Hill,,0,G,7900,VGK,@ TOR,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.2,confirm,,49:47,5.4,6.71,21.59,8.17,8.17,100,,38,1,0,60:00,8.1,1
Jordan Binnington,,0,G,7200,STL,@ DAL,8:00 pm,N,51.4%,+94.5,5.5,2.75,3.07,confirm,,55:03,7,11.13,30.31,8.05,8.05,100,,21,1.1,0,59:00,0.7,0.1
Arvid Soderblom,,0,G,7000,CHI,vs TB,7:00 pm,N,38.6%,+159.0,6,2.24,3,confirm,,57:38,6.5,10.7,28.75,7.35,7.35,100,,18,1.1,0,65:00,19.5,2.8
Samuel Ersson,,0,G,7100,PHI,@ COL,9:00 pm,N,37.7%,+165.0,6.5,3.25,4.18,confirm,,58:15,4.7,8.72,23.11,5.67,5.67,100,,7,0.8,0,59:54,17.9,2.5
Spencer Martin,,0,G,7400,NYR,@ SJ,10:00 pm,N,55.4%,+80.5,6.5,3.25,3.38,confirm,,43:37,2.7,7.18,18.59,4.23,4.23,100,,0,0.6,0,56:08,9.1,1.2
Jonas Johansson,,0,G,8400,TB,@ CHI,7:00 pm,Y,61.4%,-159.0,6,3,2.24,unlikely,,57:23,10.3,8.36,0,0,0,100,,59,0,0,00:00,2,0.2
Scott Wedgewood,,0,G,8300,COL,vs PHI,9:00 pm,Y,62.3%,-165.0,6.5,4.18,3.25,unlikely,,56:43,13.3,9.11,0,0,0,100,,66,0,0,00:00,0,
Casey Desmith,,0,G,8200,DAL,vs STL,8:00 pm,Y,48.6%,-94.5,5.5,3.07,2.75,unlikely,,58:59,12.6,7.69,0,0,0,100,,69,0,0,00:00,0,
Jake Allen,,0,G,8100,NJ,@ VAN,10:00 pm,Y,47.2%,-89.5,6,3,2.77,unlikely,,59:07,11.9,11.04,0,0,0,100,,54,0,0,00:00,0,
Yaroslav Askarov,,0,G,8000,SJ,vs NYR,10:00 pm,Y,44.6%,-80.5,6.5,3.38,3.25,unlikely,,54:47,9.5,11.22,0,0,0,100,,41,0,0,00:00,0,
Akira Schmid,,0,G,7900,VGK,@ TOR,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.2,unlikely,,57:53,10.8,8.34,0,0,0,100,,61,0,0,00:00,0,
Charlie Lindgren,,0,G,7800,WSH,@ CGY,9:00 pm,Y,45.9%,-85.0,6,3,2.8,unlikely,,58:52,10.1,10.31,0,0,0,100,,49,0,0,00:00,0,
Carey Price,,0,G,7800,SJ,vs NYR,10:00 pm,Y,44.6%,-80.5,6.5,3.38,3.25,unlikely,,,,,0,0,0,100,,0,0,0,,,
Joey Daccord,,0,G,7800,SEA,vs ANA,10:00 pm,Y,47.1%,-89.0,6,3.14,3,unlikely,,58:06,11.5,12.06,0,0,0,100,,48,0,0,00:00,0,
Carter Hart,,0,G,7700,VGK,@ TOR,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.2,unlikely,,54:56,6.4,9.72,0,0,0,100,,24,0,0,,,
Dustin Wolf,,0,G,7600,CGY,vs WSH,9:00 pm,N,54.1%,+85.0,6,2.8,3,unlikely,,55:55,10.1,9.91,0,0,0,100,,51,0,0,00:00,0,
Matt Murray,,0,G,7600,SEA,vs ANA,10:00 pm,Y,47.1%,-89.0,6,3.14,3,unlikely,,43:22,8,8.16,0,0,0,100,,49,0,0,,,
Ville Husso,,0,G,7600,ANA,@ SEA,10:00 pm,N,52.9%,+89.0,6,3,3.14,unlikely,,54:57,9.6,9.1,0,0,0,100,,53,0,0,00:00,0,
Dennis Hildeby,,0,G,7500,TOR,vs VGK,7:00 pm,N,58.3%,+71.5,6.5,3.2,3.25,unlikely,,49:00,11.3,8.01,0,0,0,100,,65,0,0,,,
Joseph Woll,,0,G,7500,TOR,vs VGK,7:00 pm,N,58.3%,+71.5,6.5,3.2,3.25,unlikely,,56:11,13.9,10.67,0,0,0,100,,62,0,0,00:00,0,
Jonathan Quick,,0,G,7400,NYR,@ SJ,10:00 pm,N,55.4%,+80.5,6.5,3.25,3.38,unlikely,,55:21,6.9,11.33,0,0,0,100,,18,0,0,00:00,0,
Petr Mrazek,,0,G,7400,ANA,@ SEA,10:00 pm,N,52.9%,+89.0,6,3,3.14,unlikely,,51:35,4.9,9.67,0,0,0,100,,1,0,0,,,
Jiri Patera,,0,G,7300,VAN,vs NJ,10:00 pm,N,52.8%,+89.5,6,2.77,3,unlikely,,56:49,-1.4,0,0,0,0,100,,0,0,0,00:00,0,
Joel Hofer,,0,G,7200,STL,@ DAL,8:00 pm,N,51.4%,+94.5,5.5,2.75,3.07,unlikely,,53:55,11,11.87,0,0,0,100,,46,0,0,00:00,0,
Igor Shesterkin,,0,G,7200,NYR,@ SJ,10:00 pm,N,55.4%,+80.5,6.5,3.25,3.38,unlikely,,58:53,12.7,8.94,0,0,0,100,,65,0,0,,,
Alexei Kolosov,,0,G,7100,PHI,@ COL,9:00 pm,N,37.7%,+165.0,6.5,3.25,4.18,unlikely,,30:00,0.8,7.56,0,0,0,100,,0,0,0,00:00,0,
Thatcher Demko,,0,G,7100,VAN,vs NJ,10:00 pm,N,52.8%,+89.5,6,2.77,3,unlikely,,56:04,9.6,9.07,0,0,0,100,,53,0,0,,,
Spencer Knight,,0,G,7000,CHI,vs TB,7:00 pm,N,38.6%,+159.0,6,2.24,3,unlikely,,59:43,13,9.9,0,0,0,100,,62,0,0,00:00,2,0.3
Dan Vladar,,0,G,6900,PHI,@ COL,9:00 pm,N,37.7%,+165.0,6.5,3.25,4.18,unlikely,,58:32,11.3,7.64,0,0,0,100,,66,0,0,,,
Carl Lindbom,,0,G,6500,VGK,@ TOR,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.2,unlikely,,60:05,5.9,5.1,0,0,0,100,,57,0,0,,,
Trent Miner,,0,G,6500,COL,vs PHI,9:00 pm,Y,62.3%,-165.0,6.5,4.18,3.25,unlikely,,52:49,12.7,10.8,0,0,0,100,,57,0,0,,,
Nico Daws,,0,G,6500,NJ,@ VAN,10:00 pm,Y,47.2%,-89.5,6,3,2.77,unlikely,,60:00,22.8,0,0,0,0,100,,0,0,0,,,
Nikita Tolopilo,,0,G,6500,VAN,vs NJ,10:00 pm,N,52.8%,+89.5,6,2.77,3,unlikely,,52:46,9.6,7.7,0,0,0,100,,60,0,0,,,
Vyacheslav Buteyets,,0,G,6500,ANA,@ SEA,10:00 pm,N,52.9%,+89.0,6,3,3.14,unlikely,,20:00,-3.5,0,0,0,0,100,,0,0,0,,,
