Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
MacKenzie Blackwood,,0,G,8300,COL,vs PHI,9:00 pm,Y,62.3%,-165.0,6.5,4.18,3.25,confirm,,58:05,15.4,8.65,30.79,13.49,13.49,100,,72,1.6,0,57:38,-11.9,
Logan Thompson,,0,G,7800,WSH,@ CGY,9:00 pm,Y,45.9%,-85.0,6,3,2.8,confirm,,59:03,12.9,10.55,33.59,12.49,12.49,100,,59,1.6,0,59:52,20,2.6
Philipp Grubauer,,0,G,7800,SEA,vs ANA,10:00 pm,Y,47.1%,-89.0,6,3.14,3,confirm,,55:24,13.9,9.86,32.36,12.64,12.64,100,,65,1.6,0,58:41,8.4,1.1
Andrei Vasilevskiy,,0,G,8400,TB,@ CHI,7:00 pm,Y,61.4%,-159.0,6,3,2.24,confirm,,58:56,12.5,8.48,28.91,11.95,11.95,100,,66,1.4,0,65:00,14.4,1.7
Jake Oettinger,,0,G,8200,DAL,vs STL,8:00 pm,Y,48.6%,-94.5,5.5,3.07,2.75,confirm,,59:02,11.7,9.58,30.92,11.76,11.76,100,,59,1.4,0,59:48,12.3,1.5
Alex Nedeljkovic,,0,G,8000,SJ,vs NYR,10:00 pm,Y,44.6%,-80.5,6.5,3.38,3.25,confirm,,57:13,10.5,9.77,31.01,11.47,11.47,100,,53,1.4,0,60:00,22.1,2.8
Anthony Stolarz,,0,G,7300,TOR,vs VGK,7:00 pm,N,58.3%,+71.5,6.5,3.2,3.25,confirm,,54:03,9.2,9.36,30.56,11.84,11.84,100,,49,1.6,0,58:20,0,
Devin Cooley,,0,G,7600,CGY,vs WSH,9:00 pm,N,54.1%,+85.0,6,2.8,3,confirm,,53:28,11.3,9.2,29.68,11.28,11.28,100,,59,1.5,0,58:20,20.5,2.7
Lukas Dostal,,0,G,7600,ANA,@ SEA,10:00 pm,N,52.9%,+89.0,6,3,3.14,confirm,,57:02,10.1,9.56,29.29,10.17,10.17,100,,53,1.3,0,60:00,13,1.7
Kevin Lankinen,,0,G,7300,VAN,vs NJ,10:00 pm,N,52.8%,+89.5,6,2.77,3,confirm,,58:01,9.3,9.55,29.04,9.94,9.94,100,,49,1.4,0,56:16,-4.2,
