Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5050714415,Firedog50 (1/2),0,236.3,C Connor McDavid C Elias Lindholm D Charlie McAvoy D Hampus Lindholm G John Gibson UTIL Evan Bouchard W Cole Caufield W Viktor Arvidsson W Eetu Luostarinen,,Connor McDavid,C,36.14%,52.8
2,5049995172,FantasySultan,0,199.2,C Connor McDavid C Pavel Buchnevich D Nikita Zadorov D Hampus Lindholm G Jeremy Swayman UTIL Evan Bouchard W Zach Hyman W Jordan Kyrou W Jake Neighbours,,Viktor Arvidsson,W,27.71%,17.1
3,5050844492,bizzell88 (1/2),0,189.00002,C Connor McDavid C Pavel Buchnevich D Evan Bouchard D Mattias Ekholm G Joel Hofer UTIL Leon Draisaitl W Viktor Arvidsson W Alex Iafallo W Casey Mittelstadt,,Zach Hyman,W,25.30%,26.8
4,5050706474,CosaSpeciale (1/2),0,188.50002,C Connor McDavid C Pavel Buchnevich D Evan Bouchard D Philip Broberg G Joel Hofer UTIL Brayden Schenn W Zach Hyman W Ryan Nugent-Hopkins W Brendan Gallagher,,Pavel Zacha,C,24.10%,9.3
5,5051091602,drscoopy007,0,176.50002,C Connor McDavid C Elias Lindholm D Mattias Ekholm D Hampus Lindholm G Filip Gustavsson UTIL Pavel Zacha W Zach Hyman W Cole Caufield W Viktor Arvidsson,,Ryan Hartman,UTIL,24.10%,4.3
5,5051171064,Bears21 (2/2),0,176.5,C Connor McDavid C Logan Stankoven D Sean Walker D Alexandre Carrier G Filip Gustavsson UTIL Evan Bouchard W Zach Hyman W Jackson Blake W Taylor Hall,,Elias Lindholm,C,22.89%,2.8
7,5050757257,FatsoFat6969,0,166.20001,C Alex Laferriere C Pavel Zacha D Charlie McAvoy D Jake Walman G Darcy Kuemper UTIL Connor McDavid W Zach Hyman W Viktor Arvidsson W Corey Perry,,Joel Hofer,G,20.48%,4.8
8,5050714416,Firedog50 (2/2),0,164.59999,C Elias Lindholm C Pavel Zacha D Evan Bouchard D Charlie McAvoy G John Gibson UTIL David Pastrnak W Brandon Hagel W Viktor Arvidsson W Marat Khusnutdinov,,Cole Caufield,W,19.28%,43.5
9,5050711175,craiglit,0,162.59999,C Connor McDavid C Ryan Hartman D Erik Gudbranson D Joel Edmundson G John Gibson UTIL Zach Hyman W Adrian Kempe W Jordan Kyrou W Corey Perry,,Kirill Kaprizov,UTIL,19.28%,28.3
10,5050681714,finnismybiotch,0,158.50002,C Connor McDavid C Leon Draisaitl D Hampus Lindholm D Erik Gudbranson G Joel Hofer UTIL Sean Walker W David Pastrnak W Viktor Arvidsson W Trevor Moore,,David Pastrnak,UTIL,18.07%,17
11,5050687929,jtmistre,0,154.70001,C Connor McDavid C Elias Lindholm D Jake Walman D Damon Severson G Darcy Kuemper UTIL Charlie Coyle W Zach Hyman W Morgan Geekie W Vasily Podkolzin,,Filip Gustavsson,G,18.07%,9
12,5050320560,goldengoat29,0,154.3,C Connor McDavid C Elias Lindholm D Sean Walker D Erik Gudbranson G Filip Gustavsson UTIL Jake Middleton W David Pastrnak W Cole Caufield W Viktor Arvidsson,,Charlie McAvoy,D,16.87%,20.6
13,5051104701,ejamiec,0,153.90001,C Adam Fantilli C Charlie Coyle D Zach Werenski D Hampus Lindholm G Jet Greaves UTIL Connor McDavid W Viktor Arvidsson W Kent Johnson W Jack Roslovic,,Mats Zuccarello,W,16.87%,6.5
14,5050894032,mpgoldberg16 (1/2),0,153.7,C Connor McDavid C Charlie Coyle D Noah Dobson D Jake Walman G Filip Gustavsson UTIL Zach Hyman W Ryan Nugent-Hopkins W Cole Sillinger W Mathieu Olivier,,Quinn Hughes,D,15.66%,9.1
15,5050479217,tide182,0,152.7,C Connor McDavid C Pavel Zacha D Quinn Hughes D Hampus Lindholm G John Gibson UTIL Vladimir Tarasenko W Zach Hyman W Viktor Arvidsson W Casey Mittelstadt,,Hampus Lindholm,D,14.46%,7.6
